size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
3175,EMN,67.57,1200133,2025-09-03T20:00:35Z,False,214534.75,prior_reference_price,0,71.48,extended_hours_trade,L,1,0,57635656946955,,regular,
2013,EMN,67.57,1195679,2025-09-03T20:00:35Z,False,136018.41,prior_reference_price,0,71.48,extended_hours_trade,L,1,0,57635640397776,,regular,
4134,EMN,67.57,1191144,2025-09-03T20:00:35Z,False,279334.38,prior_reference_price,0,71.48,extended_hours_trade,L,1,0,57635331487712,,regular,
4876,EMN,67.57,1185965,2025-09-03T20:00:35Z,False,329471.32,prior_reference_price,0,71.48,extended_hours_trade,L,1,0,57635301705699,,regular,
3558,EMN,67.57,1181089,2025-09-03T20:00:35Z,False,240414.06,prior_reference_price,0,71.48,extended_hours_trade,L,1,0,57635292073510,,regular,
6400,EMN,67.57,1177529,2025-09-03T20:00:09Z,False,432448.00,average_price_trade,0,71.48,extended_hours_trade,L,1,0,57609552494729,,regular,
12467,EMN,67.57,1168260,2025-09-03T20:00:05Z,False,842395.19,,0,70.31,extended_hours_trade,L,15,0,57605399497982,,regular,
34000,EMN,67.57,1155084,2025-09-03T20:00:02Z,False,2297380.00,,65.83,69.33,extended_hours_trade,L,100,100,57602789491217,,regular,
2500,EMN,67.51,656069,2025-09-03T19:42:32Z,False,168775.00,,67.49,67.53,,L,466,213,56552815420677,,regular,
2500,EMN,67.4903,649956,2025-09-03T19:42:11Z,False,168725.7500,,67.49,67.52,,L,473,207,56531379953367,,regular,
2077,EMN,67.50,635575,2025-09-03T19:37:57Z,False,140197.50,,67.52,67.55,,L,100,24,56277029825513,,regular,
1500,EMN,67.9327,512739,2025-09-03T18:27:23Z,False,101899.0500,,67.92,67.98,,L,26,164,52043748097531,,regular,
1500,EMN,67.6132,495022,2025-09-03T18:12:55Z,False,101419.8000,,67.59,67.63,,L,305,621,51175533422367,,regular,
7560,EMN,67.92,470234,2025-09-03T17:52:16Z,False,513475.20,,67.93,67.99,,L,36,205,49936835714409,,regular,
6850,EMN,67.91,442459,2025-09-03T17:46:06Z,False,465183.50,,67.88,67.94,,L,24,5,49566258666916,,regular,
1607,EMN,68.335,390898,2025-09-03T17:11:24Z,False,109814.345,,68.31,68.35,,L,3,990,47484948275764,,regular,
5369,EMN,68.175,386209,2025-09-03T17:08:00Z,False,366031.575,,68.12,68.22,,L,15,100,47280479752624,,regular,
1900,EMN,67.84,331705,2025-09-03T16:51:33Z,False,128896.00,,67.87,67.92,,L,100,6,46293554884078,,regular,
1600,EMN,67.78,304495,2025-09-03T16:41:31Z,False,108448.00,,67.78,67.81,,L,20,15,45691764849318,,regular,
1600,EMN,67.8201,299912,2025-09-03T16:40:47Z,False,108512.1600,,67.83,67.86,,L,133,1,45647545910214,,regular,
3164,EMN,68.20,176316,2025-09-03T15:03:47Z,False,215784.80,,68.17,68.23,,L,211,11,39827851846110,,regular,
1767,EMN,68.20,169407,2025-09-03T15:01:30Z,False,120509.40,,68.18,68.20,,L,11,12,39690004463665,,regular,
2031,EMN,68.20,171438,2025-09-03T15:01:30Z,False,138514.20,,68.18,68.20,,L,11,12,39690004830895,,regular,
2335,EMN,68.185,147212,2025-09-03T14:49:06Z,False,159211.975,,68.16,68.21,,L,200,5,38946551603579,,regular,
2000,EMN,68.812,65347,2025-09-03T13:59:06Z,False,137624.000,,68.77,68.87,,L,105,1,35946297550213,,regular,
1595,EMN,69.12,49508,2025-09-03T13:51:45Z,False,110246.40,,69.01,69.23,,L,70,205,35505968370050,,regular,
1918,EMN,69.20,45401,2025-09-03T13:48:36Z,False,132725.60,,69.11,69.29,,L,101,5,35316243916898,,regular,
