size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
9840,ENPH,35.85,13055701,2025-06-20T21:55:12Z,False,352764.00,,35.95,36.05,extended_hours_trade,L,100,10,64512838501198,,,
479700,ENPH,35.85,13045654,2025-06-20T21:45:01Z,False,17197245.00,prior_reference_price,35.95,36.05,extended_hours_trade,L,100,10,63901396126138,,,
65156,ENPH,35.85,12561036,2025-06-20T21:02:48Z,False,2335842.60,,35.80,36.05,extended_hours_trade_late_or_out_of_sequence,L,100,101,61368649839376,,,
67597,ENPH,35.85,12488700,2025-06-20T20:13:21Z,False,2423352.45,prior_reference_price,35.80,36.02,extended_hours_trade,L,2,101,58401491981309,,,
3300,ENPH,35.85,12421004,2025-06-20T20:12:11Z,False,118305.00,prior_reference_price,35.80,36.02,extended_hours_trade,L,2,101,58331456104105,,,
6100,ENPH,35.85,12417429,2025-06-20T20:11:41Z,False,218685.00,prior_reference_price,35.80,36.02,extended_hours_trade,L,2,101,58301672687317,,,
2869,ENPH,35.85,12406409,2025-06-20T20:06:18Z,False,102853.65,,35.80,36.02,extended_hours_trade,L,2,101,57978698355190,,,
6190,ENPH,35.85,12399118,2025-06-20T20:05:40Z,False,221911.50,prior_reference_price,35.80,36.02,extended_hours_trade,L,2,101,57940644842255,,,
13371,ENPH,35.8525,12390195,2025-06-20T20:05:02Z,False,479383.7775,average_price_trade,35.80,36.02,extended_hours_trade,L,2,101,57902790467359,,,
3318,ENPH,35.85,12374898,2025-06-20T20:04:39Z,False,118950.30,prior_reference_price,35.80,36.02,extended_hours_trade,L,2,101,57879104838812,,,
133003,ENPH,35.85,12369933,2025-06-20T20:04:13Z,False,4768157.55,,35.80,36.02,extended_hours_trade,L,2,101,57853586818413,,,
35883,ENPH,35.85,12236262,2025-06-20T20:02:04Z,False,1286405.55,prior_reference_price,35.80,36.02,extended_hours_trade,L,2,1,57724096655365,,,
3491,ENPH,35.85,12200275,2025-06-20T20:01:19Z,False,125152.35,prior_reference_price,35.80,36.02,extended_hours_trade,L,2,121,57679490687440,,,
85601,ENPH,35.849,12194534,2025-06-20T20:01:11Z,False,3068710.249,average_price_trade,35.80,36.02,extended_hours_trade,L,2,121,57671091645661,,,
37430,ENPH,35.85,12108933,2025-06-20T20:01:10Z,False,1341865.50,prior_reference_price,35.80,36.02,extended_hours_trade,L,2,121,57670437001574,,,
6354,ENPH,35.85,12071503,2025-06-20T20:01:10Z,False,227790.90,prior_reference_price,35.80,36.02,extended_hours_trade,L,2,121,57670202221977,,,
2816,ENPH,35.85,12058763,2025-06-20T20:00:36Z,False,100953.60,prior_reference_price,35.83,36.02,extended_hours_trade,L,2,10,57636263051457,,,
3804,ENPH,35.85,12054785,2025-06-20T20:00:36Z,False,136373.40,prior_reference_price,35.83,36.02,extended_hours_trade,L,2,10,57636150559457,,,
5836,ENPH,35.85,12049186,2025-06-20T20:00:36Z,False,209220.60,prior_reference_price,35.83,36.02,extended_hours_trade,L,2,10,57636144460067,,,
16251,ENPH,35.85,12043350,2025-06-20T20:00:36Z,False,582598.35,prior_reference_price,35.83,36.02,extended_hours_trade,L,2,10,57636140101427,,,
5313,ENPH,35.85,12025682,2025-06-20T20:00:36Z,False,190471.05,prior_reference_price,35.83,36.02,extended_hours_trade,L,2,10,57636103342244,,,
18869,ENPH,35.85,12019292,2025-06-20T20:00:36Z,False,676453.65,prior_reference_price,35.83,36.02,extended_hours_trade,L,2,10,57636091452325,,,
13764,ENPH,35.85,11993214,2025-06-20T20:00:35Z,False,493439.40,prior_reference_price,35.83,36.02,extended_hours_trade,L,2,10,57635660717781,,,
10612,ENPH,35.85,11972720,2025-06-20T20:00:35Z,False,380440.20,prior_reference_price,35.83,36.02,extended_hours_trade,L,2,10,57635638607906,,,
19994,ENPH,35.8473,11960084,2025-06-20T20:00:20Z,False,716730.9162,,35.83,35.85,extended_hours_trade_late_or_out_of_sequence,L,37313,7608,57620318863983,,,
7296,ENPH,35.85,11940085,2025-06-20T20:00:15Z,False,261561.60,average_price_trade,35.83,35.85,extended_hours_trade,L,10165,259,57615432616915,,,
232213,ENPH,35.85,11932789,2025-06-20T20:00:15Z,False,8324836.05,average_price_trade,35.83,35.84,extended_hours_trade,L,3473,1302,57615071427841,,,
5341,ENPH,35.85,11700576,2025-06-20T20:00:13Z,False,191474.85,,35.82,35.83,extended_hours_trade,L,3439,232,57613981695910,,,
13707,ENPH,35.85,11692852,2025-06-20T20:00:08Z,False,491395.95,,35.82,35.83,extended_hours_trade,L,3439,232,57608999787707,,,
11004,ENPH,35.85,11678944,2025-06-20T20:00:07Z,False,394493.40,average_price_trade,35.82,35.83,extended_hours_trade,L,3439,232,57607588019471,,,
11744,ENPH,35.85,11667009,2025-06-20T20:00:06Z,False,421022.40,average_price_trade,35.82,35.83,extended_hours_trade,L,3439,232,57606129455267,,,
35152,ENPH,35.85,11652657,2025-06-20T20:00:03Z,False,1260199.20,,35.82,35.83,extended_hours_trade,L,3439,232,57603114730495,,,
5008,ENPH,35.85,7385890,2025-06-20T20:00:01Z,False,179536.80,,35.82,35.83,extended_hours_trade,L,3439,232,57601070675331,,,
