size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
4689,ENPH,38.01,7127260,2025-08-26T21:43:29Z,False,178228.89,,38.25,38.08,extended_hours_trade,L,101,1,63809603999861,,regular,
11426,ENPH,37.96,7122032,2025-08-26T21:06:11Z,False,433730.96,prior_reference_price,38.25,37.97,extended_hours_trade,L,100,100,61571286321397,,regular,
3300,ENPH,38.14,7107921,2025-08-26T20:36:05Z,False,125862.00,,38.25,37.97,extended_hours_trade,L,100,100,59765704116315,,regular,
34882,ENPH,37.96,7103735,2025-08-26T20:22:42Z,False,1324120.72,prior_reference_price,38.25,38,extended_hours_trade,L,100,300,58962588914527,,regular,
3284,ENPH,37.96,7062308,2025-08-26T20:07:35Z,False,124660.64,prior_reference_price,38.14,37.95,extended_hours_trade,L,500,100,58055171797776,,regular,
3079,ENPH,37.96,7058940,2025-08-26T20:05:15Z,False,116878.84,,38.14,37.95,extended_hours_trade,L,500,100,57915469741237,,regular,
3540,ENPH,37.96,7055858,2025-08-26T20:04:33Z,False,134378.40,prior_reference_price,38.14,37.95,extended_hours_trade,L,500,100,57873508961308,,regular,
2855,ENPH,37.9619,7052106,2025-08-26T20:03:53Z,False,108381.2245,average_price_trade,38.14,37.95,extended_hours_trade,L,500,100,57833015420157,,regular,
29037,ENPH,37.96,7049251,2025-08-26T20:03:46Z,False,1102244.52,,38.14,37.95,extended_hours_trade,L,500,100,57826485326851,,regular,
7019,ENPH,37.96,7020214,2025-08-26T20:03:46Z,False,266441.24,,38.14,37.95,extended_hours_trade,L,500,100,57826484585508,,regular,
7019,ENPH,37.96,7013195,2025-08-26T20:03:46Z,False,266441.24,,38.14,37.95,extended_hours_trade,L,500,100,57826477119658,,regular,
7019,ENPH,37.96,7006176,2025-08-26T20:03:46Z,False,266441.24,,38.14,37.95,extended_hours_trade,L,500,100,57826475270539,,regular,
7019,ENPH,37.96,6999157,2025-08-26T20:03:46Z,False,266441.24,,38.14,37.95,extended_hours_trade,L,500,100,57826472311081,,regular,
299014,ENPH,37.96,6992138,2025-08-26T20:03:46Z,False,11350571.44,,38.14,37.95,extended_hours_trade,L,500,100,57826470347804,,regular,
3000,ENPH,37.985,5315349,2025-08-26T19:59:33Z,False,113955.000,,38,37.99,,L,1696,62,57573015647994,,regular,
2900,ENPH,38.015,5144820,2025-08-26T19:58:25Z,False,110243.500,,38.02,38.01,,L,3327,3085,57505490330982,,regular,
4407,ENPH,38.08,4949140,2025-08-26T19:56:01Z,False,167818.56,,38.06,38.05,,L,1369,854,57361000506843,,regular,
3265,ENPH,38.05,4530954,2025-08-26T19:36:31Z,False,124233.25,,38.05,38.03,,L,150,150,56191991393710,,regular,
5000,ENPH,37.9501,4372465,2025-08-26T19:21:17Z,False,189750.5000,,37.97,37.95,,L,95,100,55277266110447,,regular,
2700,ENPH,37.915,4334036,2025-08-26T19:18:26Z,False,102370.500,,37.93,37.90,,L,565,430,55106259131796,,regular,
3298,ENPH,38.12,4070605,2025-08-26T18:48:24Z,False,125719.76,,38.16,38.14,,L,685,352,53304662526400,,regular,
2894,ENPH,38.28,3809514,2025-08-26T18:17:04Z,False,110782.32,,38.29,38.28,,L,298,305,51424567343668,,regular,
3514,ENPH,38.3102,3653085,2025-08-26T17:55:07Z,False,134622.0428,,38.34,38.31,,L,310,8,50107086577580,,regular,
3545,ENPH,38.3147,3649021,2025-08-26T17:55:03Z,False,135825.6115,,38.32,38.31,,L,308,100,50103557128813,,regular,
5000,ENPH,38.36,3642244,2025-08-26T17:54:35Z,False,191800.00,,38.36,38.34,,L,100,310,50075019892824,,regular,
5146,ENPH,38.36,3632468,2025-08-26T17:54:27Z,False,197400.56,,38.38,38.36,,L,76,100,50067836258138,,regular,
4400,ENPH,38.3705,3625313,2025-08-26T17:54:27Z,False,168830.2000,,38.39,38.37,,L,311,115,50067640910169,,regular,
5000,ENPH,38.3655,3620313,2025-08-26T17:54:26Z,False,191827.5000,,38.39,38.37,,L,311,115,50066716620566,,regular,
2617,ENPH,38.3794,3613895,2025-08-26T17:54:26Z,False,100438.8898,,38.39,38.37,,L,311,165,50066338826405,,regular,
3995,ENPH,38.41,3603823,2025-08-26T17:54:25Z,False,153447.95,,38.41,38.40,,L,201,150,50065184027143,,regular,
7155,ENPH,38.3999,3595028,2025-08-26T17:54:21Z,False,274751.2845,,38.43,38.41,,L,100,250,50061793599957,,regular,
4978,ENPH,38.38,3587751,2025-08-26T17:54:21Z,False,191055.64,,38.40,38.38,,L,50,252,50061582316833,,regular,
3995,ENPH,38.3905,3582773,2025-08-26T17:54:21Z,False,153370.0475,,38.40,38.38,,L,50,252,50061375660337,,regular,
3545,ENPH,38.3894,3578778,2025-08-26T17:54:21Z,False,136090.4230,,38.40,38.38,,L,50,252,50061232397128,,regular,
5000,ENPH,38.4301,3362297,2025-08-26T17:14:29Z,False,192150.5000,,38.45,38.43,,L,343,250,47669872257401,,regular,
3900,ENPH,38.443,3349817,2025-08-26T17:14:29Z,False,149927.700,,38.45,38.43,,L,343,250,47669087951590,,regular,
3795,ENPH,38.44,3345917,2025-08-26T17:14:28Z,False,145879.80,,38.45,38.43,,L,393,200,47668163433614,,regular,
5000,ENPH,38.4301,3341922,2025-08-26T17:14:26Z,False,192150.5000,,38.45,38.43,,L,393,250,47666735885077,,regular,
2859,ENPH,38.443,3336132,2025-08-26T17:14:09Z,False,109908.537,,38.45,38.43,,L,286,250,47649608100366,,regular,
3085,ENPH,38.4441,3331195,2025-08-26T17:13:59Z,False,118600.0485,,38.46,38.43,,L,493,150,47639588681067,,regular,
3000,ENPH,38.445,3324303,2025-08-26T17:13:37Z,False,115335.000,,38.46,38.43,,L,510,150,47617682944353,,regular,
3200,ENPH,38.40,3311415,2025-08-26T17:13:30Z,False,122880.00,,38.41,38.39,,L,342,100,47610840821337,,regular,
5000,ENPH,38.445,3305179,2025-08-26T17:13:30Z,False,192225.000,,38.46,38.43,,L,490,668,47610762713888,,regular,
3900,ENPH,38.45,3300080,2025-08-26T17:13:30Z,False,149955.00,,38.46,38.45,,L,260,99,47610562563187,,regular,
5000,ENPH,38.47,3286703,2025-08-26T17:13:30Z,False,192350.00,,38.48,38.46,,L,142,545,47610163413949,,regular,
3795,ENPH,38.47,3291044,2025-08-26T17:13:30Z,False,145993.65,,38.48,38.46,,L,142,545,47610163650539,,regular,
4155,ENPH,38.47,3281703,2025-08-26T17:13:29Z,False,159842.85,,38.48,38.46,,L,142,545,47609963503891,,regular,
5000,ENPH,38.52,3141162,2025-08-26T16:49:48Z,False,192600.00,,38.53,38.51,,L,287,437,46188646060605,,regular,
4160,ENPH,38.60,3120838,2025-08-26T16:47:11Z,False,160576.00,,38.61,38.59,,L,50,150,46031852092901,,regular,
4000,ENPH,38.46,3045041,2025-08-26T16:38:07Z,False,153840.00,,38.48,38.46,,L,299,106,45487161210472,,regular,
5000,ENPH,38.49,3037321,2025-08-26T16:37:36Z,False,192450.00,,38.51,38.48,,L,10272,150,45456059870569,,regular,
2687,ENPH,38.32,2911882,2025-08-26T16:19:41Z,False,102965.84,,38.34,38.31,,L,266,126,44381114910376,,regular,
