size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
1219,ENS,239.63,288107,2026-05-14T20:00:41Z,False,292108.97,prior_reference_price,234,241.64,extended_hours_trade,L,1,1,32246686499701,,regular,2026-05-14T20:00:41Z
2235,ENS,239.63,286680,2026-05-14T20:00:41Z,False,535573.05,prior_reference_price,234,241.64,extended_hours_trade,L,1,1,32246686499509,,regular,2026-05-14T20:00:41Z
549,ENS,239.63,284388,2026-05-14T20:00:41Z,False,131556.87,prior_reference_price,234,241.64,extended_hours_trade,L,1,1,32246686499499,,regular,2026-05-14T20:00:41Z
625,ENS,239.1,203884,2026-05-14T19:58:18Z,False,149437.5,,238.99,239.19,,2,142,35,32246686356602,,regular,2026-05-14T19:58:18Z
1000,ENS,239.178,198628,2026-05-14T19:58:10Z,False,239178.000,,238.95,239.18,,L,114,10,32246686349153,,regular,2026-05-14T19:58:10Z
1000,ENS,238,141455,2026-05-14T19:12:43Z,False,238000,,237.3,238.11,,L,122,9,32246683621773,,regular,2026-05-14T19:12:43Z
847,ENS,237.415,140107,2026-05-14T19:09:56Z,False,201090.505,,237.3,238.11,,L,110,9,32246683454576,,regular,2026-05-14T19:09:56Z
500,ENS,237.4467,128192,2026-05-14T18:34:31Z,False,118723.3500,,237.21,237.49,,L,40,6,32246681329665,,regular,2026-05-14T18:34:30Z
1255,ENS,237.1025,116788,2026-05-14T17:56:51Z,False,297563.6375,,237.25,238.43,,L,231,27,32246679070206,,regular,2026-05-14T17:56:51Z
483,ENS,237.7865,100190,2026-05-14T17:13:37Z,False,114850.8795,,237.41,237.86,,L,5,10,32246676476040,,regular,2026-05-14T17:13:36Z
842,ENS,238,68413,2026-05-14T15:52:26Z,False,200396,,237.07,238.09,,L,36,50,32246671605263,,regular,2026-05-14T15:52:25Z
3151,ENS,234.6999,38115,2026-05-14T14:13:51Z,False,739539.3849,,233.76,234.7,,L,115,122,32246665689917,,regular,2026-05-14T14:13:51Z
464,ENS,234.2,30123,2026-05-14T13:58:35Z,False,108668.8,,233.04,235.1,,L,6,1,32246664774064,,regular,2026-05-14T13:58:35Z
500,ENS,234.355,5629,2026-05-14T13:37:48Z,False,117177.500,,231.77,237.99,,L,22,15,32246663527357,,regular,2026-05-14T13:37:48Z
