size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
1844,ENTG,87.58,1662804,2025-07-11T20:32:21Z,False,161497.52,prior_reference_price,84,88.49,extended_hours_trade,L,15,10,59541866322781,,regular,
5800,ENTG,87.58,1660960,2025-07-11T20:29:09Z,False,507964.00,,84,88.49,extended_hours_trade,L,15,10,59349561595364,,regular,
2357,ENTG,87.58,1655115,2025-07-11T20:01:51Z,False,206426.06,prior_reference_price,84,88.49,extended_hours_trade,L,15,10,57711375470278,,regular,
1539,ENTG,87.58,1652680,2025-07-11T20:01:13Z,False,134785.62,prior_reference_price,84,88.49,extended_hours_trade,L,15,10,57673143642149,,regular,
3104,ENTG,87.58,1648763,2025-07-11T20:00:10Z,False,271848.32,prior_reference_price,87.39,87.71,extended_hours_trade,L,2285,2285,57610767183647,,regular,
4584,ENTG,87.58,1645659,2025-07-11T20:00:10Z,False,401466.72,prior_reference_price,87.39,87.71,extended_hours_trade,L,2285,2285,57610761983408,,regular,
1283,ENTG,87.58,1641075,2025-07-11T20:00:10Z,False,112365.14,prior_reference_price,87.39,87.71,extended_hours_trade,L,2285,2285,57610759337867,,regular,
1360,ENTG,87.58,1639792,2025-07-11T20:00:10Z,False,119108.80,prior_reference_price,87.39,87.71,extended_hours_trade,L,2285,2285,57610758343962,,regular,
4100,ENTG,87.58,1638140,2025-07-11T20:00:10Z,False,359078.00,,87.39,87.71,extended_hours_trade,L,2285,2285,57610560083560,,regular,
2496,ENTG,87.58,1632857,2025-07-11T20:00:10Z,False,218599.68,,87.39,87.71,extended_hours_trade,L,2285,2285,57610534377165,,regular,
1584,ENTG,87.58,1630361,2025-07-11T20:00:10Z,False,138726.72,,87.39,87.71,extended_hours_trade,L,2285,2285,57610531329077,,regular,
1834,ENTG,87.58,1249798,2025-07-11T20:00:00Z,False,160621.72,,87.51,87.59,extended_hours_trade,L,1671,239,57600651820180,,regular,
1300,ENTG,87.6677,1127518,2025-07-11T19:58:43Z,False,113968.0100,average_price_trade,87.62,87.67,,L,420,212,57523222367671,,regular,
2317,ENTG,87.6006,1124387,2025-07-11T19:58:35Z,False,202970.5902,average_price_trade,87.59,87.65,,L,116,542,57515220107918,,regular,
1440,ENTG,87.7371,1067337,2025-07-11T19:56:58Z,False,126341.4240,average_price_trade,87.62,87.69,,L,644,551,57418251783945,derivative_priced,regular,
1222,ENTG,87.7685,1063259,2025-07-11T19:56:40Z,False,107253.1070,average_price_trade,87.63,87.75,,L,283,50,57400202781325,derivative_priced,regular,
1200,ENTG,87.7491,1053470,2025-07-11T19:56:06Z,False,105298.9200,average_price_trade,87.72,87.75,,L,22,103,57366117602867,derivative_priced,regular,
1463,ENTG,87.7701,1041317,2025-07-11T19:55:32Z,False,128407.6563,average_price_trade,87.74,87.82,,L,51,96,57332738303758,,regular,
1359,ENTG,88.04,828750,2025-07-11T19:21:54Z,False,119646.36,,87.99,88.04,,L,170,20,55314961322162,,regular,
2152,ENTG,88.065,791407,2025-07-11T19:19:28Z,False,189515.880,,88.02,88.10,,L,2,1398,55168060419159,,regular,
2207,ENTG,87.855,636092,2025-07-11T18:19:29Z,False,193895.985,,87.83,87.89,,L,5,20,51569228682372,,regular,
5294,ENTG,87.78,546282,2025-07-11T17:25:11Z,False,464707.32,,87.67,87.76,,L,18,10,48311235726746,,regular,
2098,ENTG,87.65,521002,2025-07-11T17:10:41Z,False,183889.70,,87.57,87.65,,L,12,2,47441908450884,,regular,
1686,ENTG,87.422,510435,2025-07-11T17:02:46Z,False,147393.492,,87.41,87.50,,L,321,20,46966064932753,,regular,
1390,ENTG,87.65,491758,2025-07-11T16:55:58Z,False,121833.50,,87.65,87.71,,L,1,8,46558174177854,,regular,
12815,ENTG,87.08,300700,2025-07-11T15:01:41Z,False,1115930.20,,86.94,87.15,,L,3,74,39701540856868,,regular,
1900,ENTG,86.805,159842,2025-07-11T14:13:27Z,False,164929.500,,86.70,86.93,,L,272,12,36807927321821,,regular,
2956,ENTG,86.805,165329,2025-07-11T14:13:27Z,False,256595.580,,86.70,86.93,,L,272,12,36807927633987,,regular,
1255,ENTG,86.905,154837,2025-07-11T14:11:55Z,False,109065.775,,86.71,86.94,,L,3,12,36715547091819,,regular,
1850,ENTG,86.905,153082,2025-07-11T14:11:55Z,False,160774.250,,86.71,86.94,,L,3,12,36715545732124,,regular,
4200,ENTG,87.185,141029,2025-07-11T14:08:19Z,False,366177.000,,87.06,87.31,,L,100,100,36499844206158,,regular,
10500,ENTG,87.11,107357,2025-07-11T14:00:15Z,False,914655.00,,86.97,87.17,,L,171,262,36015875060180,,regular,
1400,ENTG,87.11,96463,2025-07-11T14:00:10Z,False,121954.00,,86.97,87.18,,L,32,262,36010828417727,,regular,
1400,ENTG,87.11,94876,2025-07-11T14:00:10Z,False,121954.00,,86.97,87.18,,L,32,334,36010644957305,,regular,
2400,ENTG,87.01,84939,2025-07-11T13:57:42Z,False,208824.00,,86.96,87.12,,L,276,8,35862072178192,,regular,
