type,ticker,iv,created_at,delta,theta,gamma,price,open_interest,volume,expiry,strike,option_chain,rho,theo,underlying_price,vega,total_premium,trade_count,iv_end,iv_start,has_floor,has_multileg,has_sweep,all_opening_trades,total_size,alert_rule,total_bid_side_prem,total_ask_side_prem,volume_oi_ratio,has_singleleg,expiry_count
put,A,0.3468948954669135,2026-09-25T14:02:26.584756Z,-0.2842046746688057,-0.06396852275218416,0.014659880230877822,4.4,143,60,2026-11-20,160,A261120P00160000,-0.0809674178033188,4.398928571428571,170.21,0.2260443137294401,12317,9,0.346499854292488,0.346942300407845,False,False,False,False,28,RepeatedHits,440,4837,0.41958041958042,True,1
call,A,0.30941820974160844,2026-09-24T19:41:11.014406Z,0.2697914406414504,-0.06652547014154299,0.015549174016449584,3.3,8,701,2026-11-20,190,A261120C00190000,0.0680886472267641,3.3000000000000047,173.8403,0.2270576348671727,19800,19,0.309418209741608,0.309418209741608,False,False,True,False,60,RepeatedHits,19470,330,87.625,True,1
call,A,0.307487651527622,2026-09-24T19:36:45.051781Z,0.27115373123747777,-0.0663921885131774,0.01566963277888747,3.31,8,635,2026-11-20,190,A261120C00190000,0.06852722317629761,3.306060606060604,174.025,0.2278709670071147,10910,12,0.307222416875419,0.307222416875419,False,False,False,False,33,RepeatedHitsAscendingFill,10910,0,79.375,True,1
put,A,0.33265588427030274,2026-09-24T18:53:33.787346Z,-0.25942687397060954,-0.09884229761644456,0.022942113887806117,2.31,22,118,2026-10-16,165,A261016P00165000,-0.02843121531838309,2.3072815533980546,172.93,0.13755195638632914,23765,8,0.335763192780123,0.328489266041226,False,False,False,False,103,RepeatedHitsAscendingFill,9900,13865,5.36363636363636,True,1
call,A,0.3112050618449896,2026-09-24T18:53:30.582694Z,0.25723008702610073,-0.06482524281121921,0.015167633060699194,3.1,8,578,2026-11-20,190,A261120C00190000,0.06462497895610872,3.100136986301364,172.93,0.22043834098092674,45262,12,0.311198849797736,0.311198849797736,False,False,True,False,146,RepeatedHitsAscendingFill,42162,3100,72.25,True,1
call,A,0.3111988497977357,2026-09-24T18:53:30.582694Z,0.25722510228513723,-0.06482335359391002,0.015167782942730032,3.1,8,432,2026-11-20,190,A261120C00190000,0.06462384672535948,3.099999999999993,172.93,0.2204361221455806,29760,5,0.311198849797736,0.311198849797736,False,False,True,False,96,RepeatedHits,25110,4650,54,True,1
call,A,0.3112571936533368,2026-09-24T18:53:10.725223Z,0.2571961317660715,-0.06482866377223381,0.01516449028446081,3.1,8,305,2026-11-20,190,A261120C00190000,0.0646140148460803,3.100000000000002,172.925,0.22041684138352255,38440,7,0.311257193653337,0.311257193653337,False,False,True,False,124,RepeatedHits,33170,5270,38.125,True,1
call,A,0.3112571936533369,2026-09-24T18:53:10.725223Z,0.2571961317660715,-0.0648286637722338,0.015164490284460808,3.1,8,181,2026-11-20,190,A261120C00190000,0.06461401484608031,3.100000000000002,172.925,0.2204168413835226,56110,32,0.311257193653337,0.311257193653337,False,False,False,False,181,RepeatedHits,0,53940,22.625,True,1
call,A,0.3173544465018003,2026-09-24T17:18:49.894199Z,0.9075500868596541,-0.0652523828261892,0.012438537221373346,16.9,151,51,2026-10-16,155,A261016C00155000,0.08331796246963862,16.90000000000001,170.935,0.06951935062400631,52390,11,0.3173544465018,0.3173544465018,False,False,False,False,31,RepeatedHits,52390,0,0.337748344370861,True,1
call,A,0.3384345726593241,2026-09-24T16:01:17.014621Z,0.3272331100899707,-0.0567108602473678,0.011320739308638016,6.2,1577,115,2027-01-15,190,A270115C00190000,0.15232462445280606,6.199999999999981,169.305,0.3399966662742179,53320,14,0.338434572659324,0.338434572659324,False,False,True,False,86,RepeatedHits,0,53320,0.0729232720355105,True,1
put,A,0.3205478385353585,2026-09-24T13:58:10.953158Z,-0.5885856137268088,-0.10718258699826971,0.028911428325066525,7.4,0,31,2026-10-16,175,A261016P00175000,-0.06512490626959598,7.399999999999979,171,0.16333694851533703,22940,11,0.320547838535359,0.320547838535359,False,False,False,False,31,RepeatedHits,0,22940,0,True,1
put,A,0.32195695060091767,2026-09-23T19:31:54.903971Z,-0.2309476959777634,-0.08314389621456152,0.023025173546885054,1.85,672,170,2026-10-16,155,A261016P00155000,-0.024966969878760393,1.8500000000000008,163.55,0.12495015122980609,29230,28,0.321956950600918,0.321956950600918,False,False,False,False,158,RepeatedHits,29230,0,0.25297619047619,True,1
call,A,0.30092450234651535,2026-09-23T18:18:13.494410Z,0.23437731954764565,-0.08706243752681185,0.02464950963381739,1.64,571,101,2026-10-16,175,A261016C00175000,0.023302283249908164,1.6444999999999994,164.795,0.1269370959674308,16445,10,0.300570023217762,0.300570023217762,False,False,False,False,100,RepeatedHitsAscendingFill,0,16445,0.176882661996497,True,1
call,A,,2026-09-22T18:20:30.805717Z,,,,10.1,377,73,2026-12-18,170,A261218C00170000,,,166.28,,28280,10,0.340722785218948,0.340722785218948,False,False,False,False,28,RepeatedHits,0,28280,0.193633952254642,True,1
put,A,,2026-09-21T19:06:12.955273Z,,,,2.73,61,642,2026-10-16,155,A261016P00155000,,,161.7,,131262,31,0.336225718024331,0.336225718024331,False,False,False,False,481,RepeatedHitsAscendingFill,54542,76720,10.5245901639344,True,1
call,A,,2026-09-21T18:56:05.876315Z,,,,3.7,481,1381,2026-10-16,165,A261016C00165000,,,161.67,,41440,8,0.294242961979908,0.294242961979908,False,False,True,False,112,RepeatedHits,41440,0,2.87110187110187,True,1
call,A,,2026-09-21T18:54:54.799364Z,,,,3.8,481,1264,2026-10-16,165,A261016C00165000,,,161.75,,100700,96,0.298214271306925,0.298214271306925,False,False,False,False,265,RepeatedHits,0,760,2.62785862785863,True,1
call,A,,2026-09-21T18:53:04.768334Z,,,,3.9,481,999,2026-10-16,165,A261016C00165000,,,161.85,,58500,32,0.301639085345898,0.301639085345898,False,False,True,False,150,RepeatedHits,58500,0,2.07692307692308,True,1
call,A,,2026-09-21T18:52:59.744037Z,,,,4,481,773,2026-10-16,165,A261016C00165000,,,161.965,,13200,13,0.304638149397017,0.304638149397017,False,False,False,False,33,RepeatedHits,0,7200,1.60706860706861,True,1
call,A,,2026-09-21T18:52:56.735682Z,,,,4.1,481,740,2026-10-16,165,A261016C00165000,,,162.07,,267320,61,0.307862845316446,0.307862845316446,False,False,False,False,652,RepeatedHits,0,249280,1.53846153846154,True,1
put,A,,2026-09-21T18:33:37.520267Z,,,,2.5,61,99,2026-10-16,155,A261016P00155000,,,162.49,,14750,15,0.33771933707829,0.33771933707829,False,False,False,False,59,RepeatedHits,13750,0,1.62295081967213,True,1
call,A,,2026-09-21T15:50:38.928021Z,,,,1.77,93,241,2026-10-16,170,A261016C00170000,,,160.88,,17130,15,0.288627773682168,0.288627773682168,False,False,False,False,97,RepeatedHits,11550,5400,2.59139784946237,True,1
call,A,,2026-09-21T15:50:38.928021Z,,,,5.53,968,146,2026-10-16,160,A261016C00160000,,,160.88,,74160,22,0.293872182790639,0.293872182790639,False,False,False,False,134,RepeatedHits,48960,25200,0.150826446280992,True,1
call,A,,2026-09-21T15:50:20.872034Z,,,,2.15,38,255,2026-11-20,180,A261120C00180000,,,160.73,,36512,22,0.299304591668992,0.298767236487727,False,False,False,False,170,RepeatedHitsAscendingFill,0,36512,6.71052631578947,True,1
put,A,,2026-09-18T19:27:14.716667Z,,,,4,30,30,2026-09-18,160,A260918P00160000,,,155.91,,12000,5,1.5162694273459,4.86879699733138,False,False,False,False,30,RepeatedHits,5200,6800,1,True,1
call,A,,2026-09-18T19:27:14.716667Z,,,,1.1,1057,178,2026-09-18,155,A260918C00155000,,,155.89,,14300,8,1.10600096425873,1.34142263000314,False,False,False,False,130,RepeatedHits,4180,10120,0.168401135288552,True,1
call,A,,2026-09-18T19:27:14.716667Z,,,,1.1,1057,434,2026-09-18,155,A260918C00155000,,,155.99,,18700,6,0.892187655434777,1.06756382823968,False,False,False,False,170,RepeatedHits,7150,11550,0.410596026490066,True,1
call,A,,2026-09-17T19:46:41.391652Z,,,,6.7,178,164,2026-11-20,160,A261120C00160000,,,156.52,,77710,29,0.296555263548102,0.296555263548102,False,False,False,False,116,RepeatedHits,660,76380,0.921348314606742,True,1
call,A,,2026-09-17T17:36:53.972428Z,,,,5.3,57,366,2026-12-18,170,A261218C00170000,,,155.7,,193964,45,0.320253539462312,0.320253539462312,False,False,False,False,366,RepeatedHitsDescendingFill,0,193964,6.42105263157895,True,1
put,A,,2026-09-17T16:20:06.706535Z,,,,13.2,27,69,2027-06-17,150,A270617P00150000,,,156.125,,47520,11,0.351515552054112,0.351515552054112,False,False,False,False,36,RepeatedHits,2640,44880,2.55555555555556,True,1
put,A,,2026-09-16T19:29:56.284726Z,,,,3.5,38,108,2026-10-16,150,A261016P00150000,,,153.67,,12945,9,0.307007091092124,0.307007091092124,False,False,False,False,37,RepeatedHits,0,12945,2.84210526315789,True,1
call,A,,2026-09-16T17:18:31.027822Z,,,,13.4,14,12,2026-12-18,150,A261218C00150000,,,154.21,,13400,7,0.336448736943556,0.336448736943556,False,False,False,False,10,RepeatedHits,0,13400,0.857142857142857,True,1
call,A,,2026-09-16T16:30:06.546907Z,,,,5.4,129,95,2026-11-20,160,A261120C00160000,,,153.46,,13500,5,0.296698134322648,0.296698134322648,False,False,False,False,25,RepeatedHits,0,13500,0.736434108527132,True,1
put,A,,2026-09-16T14:02:04.594738Z,,,,10.3,154,139,2026-10-16,160,A261016P00160000,,,151.685,,55620,12,0.312094034128369,0.312094034128369,False,False,False,False,54,RepeatedHits,3090,52530,0.902597402597403,True,1
put,A,,2026-09-16T14:01:58.785399Z,,,,10.2,154,85,2026-10-16,160,A261016P00160000,,,151.675,,11220,7,0.305022767212135,0.305022767212135,False,False,False,False,11,RepeatedHits,8160,0,0.551948051948052,True,1
put,A,,2026-09-16T14:01:54.377649Z,,,,10.2,154,74,2026-10-16,160,A261016P00160000,,,151.67,,34680,8,0.304789746332603,0.304789746332603,False,False,False,False,34,RepeatedHits,5100,29580,0.480519480519481,True,1
put,A,,2026-09-16T14:01:48.967925Z,,,,10.1,154,20,2026-10-16,160,A261016P00160000,,,151.81,,20200,12,0.304662784221901,0.30350786125412,False,False,False,False,20,RepeatedHits,9090,5050,0.12987012987013,True,1
put,A,,2026-09-16T14:01:48.967925Z,,,,10.2,154,40,2026-10-16,160,A261016P00160000,,,151.72,,20400,9,0.307110579688232,0.307110579688232,False,False,False,False,20,RepeatedHits,3060,14280,0.25974025974026,True,1
put,A,,2026-09-15T16:00:33.742431Z,,,,11,123,23,2026-10-16,160,A261016P00160000,,,150.47,,12100,5,0.297408531416688,0.297408531416688,False,False,False,False,11,RepeatedHits,1100,11000,0.186991869918699,True,1
put,A,,2026-09-14T15:10:21.300027Z,,,,15.3,92,25,2026-10-16,160,A261016P00160000,,,145.15,,32130,7,0.296877318502197,0.296877318502197,False,False,False,False,21,RepeatedHits,26010,6120,0.271739130434783,True,1
call,A,,2026-09-03T19:58:59.397693Z,,,,14.01,0,62,2027-09-17,175,A270917C00175000,,,149.845,,21015,6,0.343849145803397,0.344680587577272,False,False,False,False,15,RepeatedHitsDescendingFill,0,16800,0,True,1
call,A,,2026-09-03T19:57:35.086197Z,,,,7.53,2,69,2027-09-17,200,A270917C00200000,,,149.83,,30120,5,0.331311604641598,0.331311604641598,False,False,False,False,40,RepeatedHits,0,30120,34.5,True,1
put,A,,2026-09-02T14:24:57.863180Z,,,,2.3,461,187,2026-10-16,140,A261016P00140000,,,151.28,,42550,5,0.329611324229815,0.329611324229815,False,False,False,False,185,RepeatedHits,42550,0,0.405639913232104,True,1
put,A,,2026-09-01T16:23:19.822888Z,,,,13.3,32,13,2027-01-15,155,A270115P00155000,,,149.88,,14630,5,0.318177402937317,0.318177402937317,False,False,False,False,11,RepeatedHits,0,14630,0.40625,True,1
put,A,,2026-08-28T18:37:54.532817Z,,,,8.5,11,70,2026-10-16,160,A261016P00160000,,,155.21,,15300,17,0.274436736767135,0.274436736767135,False,False,False,False,18,RepeatedHits,2550,850,6.36363636363636,True,1
put,A,,2026-08-28T18:06:49.837310Z,,,,8.5,11,48,2026-10-16,160,A261016P00160000,,,155.28,,14450,17,0.276258270306532,0.276258270306532,False,False,False,False,17,RepeatedHits,1700,1700,4.36363636363636,True,1
put,A,,2026-08-28T17:54:50.962848Z,,,,8.9,11,14,2026-10-16,160,A261016P00160000,,,154.92,,12460,14,0.28486254011561,0.28486254011561,False,False,False,False,14,RepeatedHits,0,1780,1.27272727272727,True,1
call,A,,2026-08-27T16:25:57.638723Z,,,,15.22,115,26,2027-01-15,155,A270115C00155000,,,158.115,,39580,5,0.321911756237116,0.321911756237116,False,False,False,False,26,RepeatedHitsDescendingFill,39580,0,0.226086956521739,True,1
call,A,,2026-08-26T19:42:25.850493Z,,,,1.85,91,224,2026-09-18,170,A260918C00170000,,,154.15,,18315,22,0.434459535166844,0.434459535166844,False,False,True,False,99,RepeatedHits,0,18315,2.46153846153846,True,1
put,A,,2026-08-26T19:30:51.694183Z,,,,3.3,88,634,2026-09-18,145,A260918P00145000,,,153.67,,62700,32,0.461612338229935,0.461612338229935,False,False,False,False,190,RepeatedHits,0,62700,7.20454545454545,True,1
