type,ticker,iv,created_at,delta,theta,gamma,price,open_interest,volume,expiry,strike,option_chain,rho,theo,underlying_price,vega,total_premium,trade_count,iv_end,iv_start,has_floor,has_multileg,has_sweep,all_opening_trades,total_size,alert_rule,total_bid_side_prem,total_ask_side_prem,volume_oi_ratio,has_singleleg,expiry_count
call,AFRM,0.620216959183054,2026-09-25T19:40:13.448289Z,0.4876161311553721,-0.0654554207806086,0.022857283355235097,5.8,1064,186,2026-11-20,75,AFRM261120C00075000,0.044824109731040174,5.8,71.81,0.11215877713565635,99180,9,0.620216959183054,0.620216959183054,False,False,False,False,171,RepeatedHits,99180,0,0.174812030075188,True,1
put,AFRM,0.5159154769959602,2026-09-25T17:35:19.255966Z,-0.27479828814892093,-0.11991106461963605,0.06504417036592182,0.9,481,595,2026-10-02,69,AFRM261002P00069000,-0.003955243851232542,0.9001243781094517,71.775,0.033154183645074595,36185,18,0.515878008973712,0.515878008973712,False,False,False,False,402,RepeatedHitsAscendingFill,36093,92,1.23700623700624,True,1
put,AFRM,0.645655452382463,2026-09-25T17:13:04.889788Z,-0.0938887316962436,-0.01437435782199562,0.005215252472341559,1.72,115,1455,2027-03-19,45,AFRM270319P00045000,-0.04059670953661217,1.719999999999998,71.865,0.0833789083111054,18576,12,0.645655452382463,0.645655452382463,False,False,False,False,108,RepeatedHits,0,18576,12.6521739130435,True,1
put,AFRM,0.6470225316143718,2026-09-25T17:12:50.054580Z,-0.0941187634155443,-0.014434683557137375,0.005212551144488729,1.73,115,1347,2027-03-19,45,AFRM270319P00045000,-0.040730682876825526,1.7299999999999995,71.88,0.083547037517864,34600,12,0.647022531614372,0.647022531614372,False,False,False,False,200,RepeatedHits,0,34600,11.7130434782609,True,1
put,AFRM,0.531233960216602,2026-09-24T19:54:05.810169Z,-0.3986152440656809,-0.07848672049226606,0.04133437953982914,2.86,2961,612,2026-10-16,70,AFRM261016P00070000,-0.018926540615130424,2.859999999999998,71.6,0.06785050967560123,28600,36,0.531233960216602,0.531233960216602,False,False,False,False,100,RepeatedHits,28600,0,0.206686930091185,True,1
put,AFRM,0.530640550040142,2026-09-24T19:53:52.321914Z,-0.39794011243374994,-0.0783811744788988,0.04135328022279591,2.85,2961,475,2026-10-16,70,AFRM261016P00070000,-0.018894974940897154,2.849999999999998,71.615,0.06783412192731239,28500,11,0.530640550040142,0.530640550040142,False,False,False,False,100,RepeatedHits,28500,0,0.160418777440054,True,1
put,AFRM,0.5320158459836886,2026-09-24T19:53:35.264447Z,-0.39723646255967565,-0.07858194692608497,0.04121535475315927,2.85,2961,375,2026-10-16,70,AFRM261016P00070000,-0.01887022010455146,2.851311475409837,71.64,0.06782109580581688,34786,7,0.536528733065691,0.531812886624272,False,False,False,False,122,RepeatedHitsAscendingFill,28504,6282,0.126646403242148,True,1
call,AFRM,0.683303807528647,2026-09-24T19:39:45.125669Z,0.593552892461245,-0.5008523181712871,0.1515889534817096,1.32,458,445,2026-09-25,71,AFRM260925C00071000,0.001127361902893207,1.32,71.55,0.01452806610207376,26400,6,0.683303807528647,0.683303807528647,False,False,False,False,200,RepeatedHits,0,26400,0.971615720524017,True,1
call,AFRM,0.551514339215191,2026-09-24T19:36:11.370259Z,0.6086602857468378,-0.10683269533428821,0.04795882238395051,4.1,17,89,2026-10-09,70,AFRM261009C00070000,0.01623094231504818,4.100000000000001,71.625,0.0557638799515342,35260,11,0.551514339215191,0.551514339215191,False,False,True,False,86,RepeatedHits,410,34850,5.23529411764706,True,1
call,AFRM,0.5667166575717021,2026-09-24T18:21:55.918660Z,0.34722233111263867,-0.03869886726201074,0.016610830618495543,4.4,931,1178,2027-01-15,85,AFRM270115C00085000,0.06217147726572659,4.400709219858156,70.51,0.14489196610356397,496400,53,0.566667716494976,0.566667716494976,False,False,False,False,1128,RepeatedHitsAscendingFill,496400,0,1.26530612244898,True,1
call,AFRM,0.5664619025270631,2026-09-24T18:21:55.918660Z,0.282815240325442,-0.03521646456838709,0.015220422752846114,3.35,1092,385,2027-01-15,90,AFRM270115C00090000,0.05136485461025209,3.349999999999998,70.51,0.13270412730798212,128640,27,0.566461902527063,0.566461902527063,False,False,False,False,384,RepeatedHits,128640,0,0.352564102564103,True,1
call,AFRM,0.5785886735181047,2026-09-24T17:35:00.695671Z,0.23500401015149167,-0.036979932314896574,0.015709610587852335,2.36,330,57,2026-12-18,90,AFRM261218C00090000,0.03284535290008626,2.3601999999999994,70.06,0.10389667956066635,11801,14,0.578569434722008,0.579531374526846,False,False,False,False,50,RepeatedHitsDescendingFill,11564,237,0.172727272727273,True,1
put,AFRM,0.6336127985904079,2026-09-24T14:53:29.084205Z,-0.4385062912486148,-0.05646284332278319,0.022467894069518414,6.7,1162,108,2026-11-20,70,AFRM261120P00070000,-0.05844629430641248,6.700000000000001,70.07,0.10915221042718642,72360,35,0.633612798590408,0.633612798590408,False,False,False,False,108,RepeatedHits,0,72360,0.0929432013769363,True,1
put,AFRM,0.634740013268766,2026-09-24T14:53:29.084205Z,-0.38212100863850196,-0.055182548895952005,0.021700032798837986,5.45,479,60,2026-11-20,67.5,AFRM261120P00067500,-0.05031910924087925,5.446666666666667,70.07,0.10560901755193829,32680,19,0.630320985673644,0.635055658096989,False,False,False,False,60,RepeatedHits,2160,30520,0.125260960334029,True,1
call,AFRM,0.625406916554141,2026-09-23T17:43:27.111330Z,0.35965072986589214,-0.0571949940461082,0.02198171615866994,3.65,368,50,2026-11-20,77.5,AFRM261120C00077500,0.03320200316335543,3.6499999999999995,68.245,0.1017421898454727,12775,5,0.625406916554141,0.625406916554141,False,False,False,False,35,RepeatedHits,2555,10220,0.135869565217391,True,1
