type,ticker,iv,created_at,delta,theta,gamma,price,open_interest,volume,expiry,strike,option_chain,rho,theo,underlying_price,vega,total_premium,trade_count,iv_end,iv_start,has_floor,has_multileg,has_sweep,all_opening_trades,total_size,alert_rule,total_bid_side_prem,total_ask_side_prem,volume_oi_ratio,has_singleleg,expiry_count
call,AZN,0.3007156128357493,2026-09-24T18:06:44.837884Z,0.45825515975363607,-0.0763184950245706,0.02015511723607457,6.4,861,114,2026-11-20,170,AZN261120C00170000,0.10854981181237859,6.400000000000021,165.65,0.259720468195493,40320,9,0.300715612835749,0.300715612835749,False,False,False,False,63,RepeatedHits,40320,0,0.132404181184669,True,1
put,AZN,0.2760243484471626,2026-09-24T14:19:14.838267Z,-0.640402930290664,-0.0827737583464364,0.03341965761052021,7.1,683,362,2026-10-16,170,AZN261016P00170000,-0.0680190188859108,7.100000000000009,165.13,0.15161115899722316,257020,5,0.276024348447163,0.276024348447163,False,False,False,False,362,RepeatedHits,257020,0,0.530014641288433,True,1
call,AZN,0.28141676266773086,2026-09-24T14:19:14.838267Z,0.532181630130395,-0.11218614309061922,0.034855709201732483,4.81,2614,212,2026-10-16,165,AZN261016C00165000,0.0500682821981297,4.811320754716988,165.13,0.16120735547702775,102000,8,0.28691766269423,0.28691766269423,False,False,False,False,212,RepeatedHitsDescendingFill,90240,11760,0.0811017597551645,True,1
put,AZN,0.26716736391250867,2026-09-23T19:31:41.468040Z,-0.3323027814049323,-0.08060272400333848,0.033029781291925346,2.5,3529,164,2026-10-16,160,AZN261016P00160000,-0.035903184036295034,2.4990740740740742,163.94,0.14944925126597597,13495,18,0.267229329851491,0.267229329851491,False,False,False,False,54,RepeatedHits,0,13495,0.0464720884103145,True,1
put,AZN,0.2974090294836232,2026-09-23T18:16:23.017262Z,-0.28082424141987306,-0.050879202703927304,0.017358018857274053,3.6,61,148,2026-11-20,155,AZN261120P00155000,-0.0788193288012434,3.5999999999999934,163.81,0.22012544927154737,40320,16,0.297409029483623,0.297409029483623,False,False,False,False,112,RepeatedHits,3240,37080,2.42622950819672,True,1
put,AZN,0.283865790685297,2026-09-23T18:07:10.967264Z,-0.3782828875527913,-0.035222128823576275,0.014634907015320988,7.49,1865,72,2027-01-15,160,AZN270115P00160000,-0.21689896680480408,7.494333333333324,163.77,0.34800333658884774,44966,6,0.283453908085681,0.283453908085681,False,False,False,False,60,RepeatedHitsAscendingFill,0,44966,0.0386058981233244,True,1
put,AZN,0.25847094431286266,2026-09-23T14:07:08.723891Z,-0.4170087103197279,-0.0837291040369499,0.03612911533106161,3.4,3526,285,2026-10-16,165,AZN261016P00165000,-0.0458914779223568,3.400000000000006,166.49,0.16310990512342108,16660,12,0.258470944312863,0.258470944312863,False,False,False,False,49,RepeatedHits,16660,0,0.080828133862734,True,1
put,AZN,0.2612544081936558,2026-09-23T14:05:46.882125Z,-0.422264612523783,-0.0847965030948159,0.03586982912626912,3.5,3526,236,2026-10-16,165,AZN261016P00165000,-0.0464713052495206,3.5,166.36,0.16342772302153294,16100,6,0.261254408193656,0.261254408193656,False,False,False,False,46,RepeatedHits,8750,7350,0.0669313669880885,True,1
call,AZN,,2026-09-22T15:56:32.633803Z,,,,6.9,2619,43,2026-10-16,165,AZN261016C00165000,,,168.49,,15870,5,0.27489058600161,0.27489058600161,False,False,False,False,23,RepeatedHits,15870,0,0.0164184803360061,True,1
call,AZN,,2026-09-21T18:55:28.724404Z,,,,4.5,18718,394,2026-10-16,170,AZN261016C00170000,,,168.73,,39150,5,0.277176270003302,0.277176270003302,False,False,False,False,87,RepeatedHits,0,39150,0.0210492573992948,True,1
