type,ticker,iv,created_at,delta,theta,gamma,price,open_interest,volume,expiry,strike,option_chain,rho,theo,underlying_price,vega,total_premium,trade_count,iv_end,iv_start,has_floor,has_multileg,has_sweep,all_opening_trades,total_size,alert_rule,total_bid_side_prem,total_ask_side_prem,volume_oi_ratio,has_singleleg,expiry_count
put,CHH,,2026-09-18T19:02:44.400823Z,,,,3.67,914,101,2026-09-18,100,CHH260918P00100000,,,96.31,,10284,8,4.68068033480628,4.68068033480628,False,False,False,False,28,RepeatedHitsAscendingFill,0,10284,0.110503282275711,True,1
call,CHH,,2026-09-10T14:44:10.439089Z,,,,4.8,132,38,2026-10-16,100,CHH261016C00100000,,,100.44,,18240,10,0.350045752852077,0.350045752852077,False,False,False,False,38,RepeatedHits,18240,0,0.287878787878788,True,1
call,CHH,,2026-09-09T15:19:02.128547Z,,,,4.2,35,97,2026-10-16,100,CHH261016C00100000,,,98.935,,36960,17,0.35921299273158,0.35921299273158,False,False,False,False,88,RepeatedHits,36960,0,2.77142857142857,True,1
call,CHH,,2026-08-31T16:28:15.897093Z,,,,7.6,0,19,2026-10-16,100,CHH261016C00100000,,,103.66,,14440,5,0.366601887174822,0.366601887174822,False,False,False,False,19,RepeatedHits,14440,0,0,True,1
call,CHH,,2026-08-20T14:17:58.003929Z,,,,7.01,1,15,2027-03-19,125,CHH270319C00125000,,,109.88,,10508,5,0.347832854163739,0.347832854163739,False,False,False,False,15,RepeatedHitsDescendingFill,10508,0,15,True,1
call,CHH,,2026-08-11T18:54:54.011973Z,,,,4.4,0,289,2026-08-21,100,CHH260821C00100000,,,102.48,,32560,18,0.438408580989992,0.438408580989992,False,False,False,False,74,RepeatedHits,29480,3080,0,True,1
put,CHH,,2026-08-10T17:08:51.676354Z,,,,3.5,828,50,2026-09-18,100,CHH260918P00100000,,,103.305,,17500,11,0.38920238661334,0.38920238661334,False,False,False,False,50,RepeatedHits,17500,0,0.0603864734299517,True,1
call,CHH,,2026-08-05T14:23:16.134669Z,,,,5.6,41,189,2026-08-21,110,CHH260821C00110000,,,112.58,,91840,15,0.438449703535473,0.438449703535473,False,False,False,False,164,RepeatedHits,78400,0,4.60975609756098,True,1
call,CHH,,2026-08-05T14:23:11.526608Z,,,,5.6,41,25,2026-08-21,110,CHH260821C00110000,,,112.58,,14000,16,0.438449703535473,0.438449703535473,False,False,False,False,25,RepeatedHits,4480,1120,0.609756097560976,True,1
put,CHH,,2026-08-05T13:56:17.127449Z,,,,1.41,162,152,2026-08-21,105,CHH260821P00105000,,,110.64,,10550,31,0.411790697496574,0.391277605010535,False,False,False,False,75,RepeatedHitsAscendingFill,290,4020,0.938271604938272,True,1
