type,ticker,iv,created_at,delta,theta,gamma,price,open_interest,volume,expiry,strike,option_chain,rho,theo,underlying_price,vega,total_premium,trade_count,iv_end,iv_start,has_floor,has_multileg,has_sweep,all_opening_trades,total_size,alert_rule,total_bid_side_prem,total_ask_side_prem,volume_oi_ratio,has_singleleg,expiry_count
call,COP,0.28675965970361994,2026-09-25T19:39:39.728120Z,0.5455618198666898,-0.15059164211622586,0.07835176948391584,2.26,31,104,2026-10-02,127,COP261002C00127000,0.012893752716203096,2.2619540229885104,127.38,0.06991481594521563,19679,6,0.286480187447992,0.286480187447992,False,False,False,False,87,RepeatedHitsAscendingFill,19679,0,3.35483870967742,True,1
call,COP,0.2998415892829645,2026-09-25T19:20:06.948900Z,0.4618892841765129,-0.09282588799484541,0.04331029578846416,3.1,63,66,2026-10-16,129,COP261016C00129000,0.03209620716802564,3.100000000000009,127.49,0.12143998179183949,10230,14,0.299841589282965,0.299841589282965,False,False,True,False,33,RepeatedHits,10230,0,1.04761904761905,True,1
put,COP,0.3317399963315266,2026-09-25T17:27:42.242757Z,-0.3967792200439199,-0.03338586748820292,0.016484919595601135,7.35,1748,74,2027-01-15,125,COP270115P00125000,-0.17749429689842175,7.349999999999988,127.26,0.2717650879663015,49980,30,0.331739996331527,0.331739996331527,False,False,False,False,68,RepeatedHits,0,49980,0.0423340961098398,True,1
call,COP,0.3099792687226067,2026-09-25T17:20:05.084739Z,0.6014336837032591,-0.06110241483387911,0.024992070050477523,7.7,4457,26,2026-11-20,125,COP261120C00125000,0.10555748534354341,7.700000000000001,127.1975,0.1923035017305241,10780,7,0.309979268722607,0.309979268722607,False,False,False,False,14,RepeatedHits,10780,0,0.00583352030513799,True,1
call,COP,0.3212709922320587,2026-09-25T15:13:27.788665Z,0.1303395727025644,-0.032363453817040325,0.01312115285029021,1,12389,100,2026-11-20,150,COP261120C00150000,0.024132293500190475,0.999999999999995,128.35,0.1065443484351201,10000,5,0.321270992232059,0.321270992232059,False,False,False,False,100,RepeatedHits,0,10000,0.00807167648720639,True,1
call,COP,0.2990784130559658,2026-09-24T19:54:00.792668Z,0.18660356954281293,-0.03201764898088359,0.014383300287432173,1.79,3267,383,2026-12-18,150,COP261218C00150000,0.052019586282873065,1.78535410764872,129.275,0.16741668392086126,63023,7,0.29875858512173,0.29875858512173,False,False,False,False,353,RepeatedHits,29192,0,0.117232935414754,True,1
call,COP,0.3149886828219123,2026-09-24T19:33:16.891266Z,0.24945098552990871,-0.03530820112585719,0.01398807530841963,3.1,2636,134,2027-01-15,150,COP270115C00150000,0.09038891391536909,3.1000000000000005,129.47,0.2286529385833071,13950,8,0.314988682821912,0.314988682821912,False,False,False,False,45,RepeatedHits,0,13950,0.050834597875569,True,1
call,COP,0.31572851962027154,2026-09-24T19:14:47.315275Z,0.4217499676935725,-0.06123617591816128,0.0241472751381403,4.65,3786,135,2026-11-20,135,COP261120C00135000,0.07827199957608137,4.646907216494856,129.86,0.20077667336848254,45075,27,0.313391714467362,0.315882594685299,False,False,False,False,97,RepeatedHitsDescendingFill,0,43235,0.0356576862123613,True,1
put,COP,0.3401343214274848,2026-09-24T17:27:02.940605Z,-0.2972174047767491,-0.02478845157289488,0.01130940559903542,6.55,903,76,2027-03-19,120,COP270319P00120000,-0.21735571668036266,6.552777777777776,129.615,0.3116162829243837,11795,12,0.340045209800964,0.340045209800964,False,False,False,False,18,RepeatedHits,11140,655,0.0841638981173865,True,1
call,COP,0.3181802281270786,2026-09-24T14:50:06.695063Z,0.46367357817184085,-0.09816912656675668,0.03901714575921016,3.45,37,544,2026-10-16,132,COP261016C00132000,0.034350047126668205,3.4499999999999957,130.35,0.12713952141774224,26910,16,0.318180228127079,0.318180228127079,False,False,True,False,78,RepeatedHits,26910,0,14.7027027027027,True,1
call,COP,0.3181802281270785,2026-09-24T14:49:56.271157Z,0.46367357817184107,-0.0981691265667567,0.03901714575921016,3.45,37,405,2026-10-16,132,COP261016C00132000,0.03435004712666821,3.449999999999996,130.35,0.1271395214177422,31395,16,0.318180228127079,0.318180228127079,False,False,False,False,91,RepeatedHits,6210,0,10.9459459459459,True,1
call,COP,0.312529859627711,2026-09-24T14:43:41.315562Z,0.46003251251575694,-0.09637078785578956,0.039706334183211595,3.35,37,177,2026-10-16,132,COP261016C00132000,0.03410731776346806,3.349943181818182,130.2888,0.12696829263253637,58959,53,0.312534334716877,0.312534334716877,False,False,True,False,176,RepeatedHits,2680,54269,4.78378378378378,True,1
call,COP,0.289357945291631,2026-09-24T13:30:10.710771Z,0.34990172396928443,-0.04434756824563363,0.020387236163739737,3.97,1145,123,2026-12-18,140,COP261218C00140000,0.09676625215400474,3.9692622950819687,130.0989,0.23252036848565283,48425,39,0.288529808643717,0.29067977879099,False,False,False,False,122,RepeatedHitsDescendingFill,47220,0,0.107423580786026,True,1
put,COP,0.34330892139417624,2026-09-23T19:49:42.704113Z,-0.2755653705559261,-0.04618209351499839,0.019045281204891486,3.2,617,310,2026-11-20,120,COP261120P00120000,-0.061199855609069424,3.199999999999996,128.15,0.17062585040999653,15360,16,0.343308921394176,0.343308921394176,False,False,False,False,48,RepeatedHits,0,15360,0.502431118314425,True,1
call,COP,0.30541174860080184,2026-09-23T18:30:28.174995Z,0.525327935992973,-0.0509467375114549,0.02089491428881482,7.5,1285,155,2026-12-18,130,COP261218C00130000,0.1414179278557043,7.5,128.53,0.24839390517771565,31500,15,0.305411748600802,0.305411748600802,False,False,False,False,42,RepeatedHits,0,31500,0.120622568093385,True,1
call,COP,0.30843504017562157,2026-09-23T16:56:29.011207Z,0.4138516821389126,-0.03555687421133207,0.014183491676993546,7.3,514,41,2027-03-19,140,COP270319C00140000,0.22126208269282083,7.3000000000000105,127.89,0.346976806531938,10950,7,0.308435040175622,0.308435040175622,False,False,False,False,15,RepeatedHits,0,10950,0.0797665369649805,True,1
call,COP,0.306438580080263,2026-09-23T15:19:14.464195Z,0.5204368577709821,-0.0509690474107336,0.020878566370381945,7.4,1285,49,2026-12-18,130,COP261218C00130000,0.13987804453632266,7.400000000000002,128.29,0.2481048835989453,17020,11,0.306438580080263,0.306438580080263,False,False,True,False,23,RepeatedHits,14060,2960,0.0381322957198444,True,1
