type,ticker,iv,created_at,delta,theta,gamma,price,open_interest,volume,expiry,strike,option_chain,rho,theo,underlying_price,vega,total_premium,trade_count,iv_end,iv_start,has_floor,has_multileg,has_sweep,all_opening_trades,total_size,alert_rule,total_bid_side_prem,total_ask_side_prem,volume_oi_ratio,has_singleleg,expiry_count
put,CPRT,0.34950642353145894,2026-09-23T13:41:40.979729Z,-0.34631669039473023,-0.01144793914269683,0.09262870350057119,1,1261,154,2026-11-20,27.5,CPRT261120P00027500,-0.017322390512590293,1.0000000000000018,28.5899,0.04204953030894832,15300,15,0.349506423531459,0.349506423531459,False,False,False,False,153,RepeatedHits,12400,2800,0.122125297383029,True,1
call,CPRT,,2026-09-22T18:56:28.612145Z,,,,1.15,2858,283,2026-11-20,30,CPRT261120C00030000,,,28.84,,22195,9,0.337246724350085,0.337246724350085,False,False,False,False,193,RepeatedHits,22195,0,0.0990202939118265,True,1
call,CPRT,,2026-09-22T18:12:14.774398Z,,,,2.15,1042,64,2028-01-21,40,CPRT280121C00040000,,,28.94,,12255,14,0.357076289983594,0.357076289983594,False,False,False,False,57,RepeatedHits,12255,0,0.0614203454894434,True,1
put,CPRT,,2026-09-22T15:58:59.798302Z,,,,2.45,1119,106,2026-12-18,30,CPRT261218P00030000,,,28.8109,,25725,24,0.346456324121449,0.346456324121449,False,False,False,False,105,RepeatedHits,245,25480,0.0947274352100089,True,1
call,CPRT,,2026-09-22T15:16:09.501069Z,,,,1.6,133,192,2026-12-18,30,CPRT261218C00030000,,,28.88,,24160,27,0.348290774213638,0.348290774213638,False,False,False,False,151,RepeatedHits,0,24160,1.44360902255639,True,1
call,CPRT,,2026-09-21T14:34:15.354049Z,,,,1.93,1005,164,2027-01-15,30,CPRT270115C00030000,,,28.75,,30692,23,0.351037779694096,0.351037779694096,False,False,False,False,159,RepeatedHitsAscendingFill,12167,18525,0.16318407960199,True,1
put,CPRT,,2026-09-17T19:42:38.643125Z,,,,2.35,1202,188,2027-01-15,30,CPRT270115P00030000,,,29.655,,16221,11,0.352603811294721,0.352603811294721,False,False,False,False,69,RepeatedHits,16221,0,0.156405990016639,True,1
call,CPRT,,2026-09-17T19:33:08.278802Z,,,,1.5,683,140,2027-01-15,32.5,CPRT270115C00032500,,,29.745,,18600,5,0.352256070352942,0.352256070352942,False,False,False,False,124,RepeatedHits,3600,15000,0.20497803806735,True,1
call,CPRT,,2026-09-17T14:38:19.024876Z,,,,2.13,460,65,2027-03-19,32.5,CPRT270319C00032500,,,29.665,,13828,7,0.356419992989161,0.356419992989161,False,False,False,False,65,RepeatedHitsDescendingFill,13828,0,0.141304347826087,True,1
call,CPRT,,2026-09-16T17:59:11.950107Z,,,,0.7,1869,169,2027-01-15,37.5,CPRT270115C00037500,,,30.825,,10920,24,0.354629189570502,0.354629189570502,False,False,False,False,156,RepeatedHits,10920,0,0.0904226859283039,True,1
put,CPRT,,2026-09-16T16:48:42.980493Z,,,,1.9,911,350,2027-01-15,30,CPRT270115P00030000,,,30.845,,17100,14,0.357689965242243,0.357689965242243,False,False,False,False,90,RepeatedHits,1900,12160,0.384193194291987,True,1
put,CPRT,,2026-09-16T16:48:32.970981Z,,,,1.9,911,246,2027-01-15,30,CPRT270115P00030000,,,30.845,,13490,8,0.357689965242243,0.357689965242243,False,False,False,False,71,RepeatedHits,0,13490,0.270032930845225,True,1
put,CPRT,,2026-09-16T16:48:20.561197Z,,,,1.9,911,140,2027-01-15,30,CPRT270115P00030000,,,30.8515,,22800,8,0.358055213498206,0.358055213498206,False,False,False,False,120,RepeatedHits,4370,18430,0.153677277716795,True,1
call,CPRT,,2026-09-15T14:46:37.787636Z,,,,0.85,1187,125,2026-10-16,32.5,CPRT261016C00032500,,,31.64,,10285,16,0.318964441722048,0.318964441722048,False,False,False,False,121,RepeatedHits,0,10285,0.10530749789385,True,1
