type,ticker,iv,created_at,delta,theta,gamma,price,open_interest,volume,expiry,strike,option_chain,rho,theo,underlying_price,vega,total_premium,trade_count,iv_end,iv_start,has_floor,has_multileg,has_sweep,all_opening_trades,total_size,alert_rule,total_bid_side_prem,total_ask_side_prem,volume_oi_ratio,has_singleleg,expiry_count
call,CRSP,0.6064335450867064,2026-09-25T16:08:51.082677Z,0.1875798969027123,-0.02340094029192229,0.014469242126915503,1.65,4650,149,2027-01-15,80,CRSP270115C00080000,0.026817567407478732,1.650396825396825,55.39,0.08260701204871738,20795,12,0.606385758886867,0.606385758886867,False,False,False,False,126,RepeatedHits,20795,0,0.0320430107526882,True,1
call,CRSP,0.5982902201298891,2026-09-25T14:00:59.325046Z,0.6703176581175291,-0.01698296739784686,0.00954355811592077,16.2,524,74,2028-01-21,55,CRSP280121C00055000,0.2745101748551319,16.199999999999992,55.115,0.22951766452491748,74520,6,0.598290220129889,0.598290220129889,False,False,True,False,46,RepeatedHits,19440,55080,0.141221374045802,True,1
call,CRSP,0.615298789454147,2026-09-23T19:06:07.043693Z,0.6323282658239738,-0.01792939281916045,0.00953746071712481,15.2,950,44,2028-01-21,60,CRSP280121C00060000,0.26602827224936293,15.2,55.7,0.2419235169177255,34960,6,0.615298789454147,0.615298789454147,False,False,False,False,23,RepeatedHits,33440,0,0.0463157894736842,True,1
call,CRSP,,2026-09-22T19:53:15.498623Z,,,,2.25,510,243,2026-10-16,62.5,CRSP261016C00062500,,,59.125,,33750,6,0.585368691172183,0.585368691172183,False,False,False,False,150,RepeatedHits,0,5850,0.476470588235294,True,1
call,CRSP,,2026-09-22T14:05:17.852846Z,,,,2.1,35,162,2026-10-16,62,CRSP261016C00062000,,,58.235,,10500,13,0.590170008223482,0.590170008223482,False,False,False,False,50,RepeatedHits,5250,5250,4.62857142857143,True,1
put,CRSP,,2026-09-21T17:23:48.910928Z,,,,3.6,693,79,2027-01-15,50,CRSP270115P00050000,,,58.335,,25560,19,0.60121362696429,0.60121362696429,False,False,False,False,71,RepeatedHits,25560,0,0.113997113997114,True,1
call,CRSP,,2026-09-21T15:52:11.487030Z,,,,2.8,676,183,2026-10-16,60,CRSP261016C00060000,,,58.5,,12600,5,0.555269390861799,0.555269390861799,False,False,False,False,45,RepeatedHits,0,12600,0.270710059171598,True,1
call,CRSP,,2026-09-21T15:51:32.781542Z,,,,2.8,676,138,2026-10-16,60,CRSP261016C00060000,,,58.53,,28840,12,0.552966108332583,0.552966108332583,False,False,False,False,103,RepeatedHits,19040,4200,0.20414201183432,True,1
call,CRSP,,2026-09-21T15:21:55.537550Z,,,,2,349,231,2026-10-16,62.5,CRSP261016C00062500,,,58.515,,30000,6,0.56973298370894,0.56973298370894,False,False,False,False,150,RepeatedHits,0,1000,0.66189111747851,True,1
call,CRSP,,2026-09-21T14:37:00.858148Z,,,,1.01,33,304,2026-10-02,64,CRSP261002C00064000,,,58.83,,12875,23,0.686817431680065,0.656420397634595,False,False,True,False,128,RepeatedHitsAscendingFill,2935,9940,9.21212121212121,True,1
