type,ticker,iv,created_at,delta,theta,gamma,price,open_interest,volume,expiry,strike,option_chain,rho,theo,total_premium,vega,underlying_price,trade_count,iv_end,iv_start,has_floor,has_multileg,has_sweep,all_opening_trades,total_size,alert_rule,total_bid_side_prem,total_ask_side_prem,volume_oi_ratio,has_singleleg,expiry_count
call,FR,,2026-08-10T15:10:34.765719Z,,,,1,255,1571,2026-09-18,65,FR260918C00065000,,,157000,,62.79,2,0.217548491086713,0.217548491086713,True,True,False,True,1570,LowHistoricVolumeFloor,0,157000,6.16078431372549,False,1
call,FR,,2026-02-19T17:21:11.579943Z,,,,0.95,870,264,2026-02-20,60,FR260220C00060000,,,23370,,60.405,35,0.580370537234014,0.580370537234014,False,False,False,False,246,RepeatedHits,23370,0,0.303448275862069,True,1
call,FR,,2026-02-06T14:59:58.887281Z,,,,1.15,508,145,2026-02-20,60,FR260220C00060000,,,16675,,60.13,23,0.230650849960631,0.230650849960631,False,False,False,False,145,RepeatedHits,0,1035,0.285433070866142,True,1
call,FR,,2026-02-05T15:53:05.981285Z,,,,1.9,3433,481,2026-03-20,60,FR260320C00060000,,,54344,,59.585,34,0.255913387653408,0.255913387653408,False,False,False,False,286,RepeatedHits,25274,27930,0.140110690358287,True,1
call,FR,,2026-02-05T15:52:00.641767Z,,,,1.9,3433,175,2026-03-20,60,FR260320C00060000,,,14060,,59.485,11,0.261853804801192,0.261853804801192,False,False,False,False,74,RepeatedHits,570,10450,0.0509758228954267,True,1
call,FR,,2026-02-05T15:51:18.546744Z,,,,1.9,3433,101,2026-03-20,60,FR260320C00060000,,,19000,,59.435,16,0.264800500956831,0.264800500956831,False,False,True,False,100,RepeatedHits,7600,9880,0.0294203320710749,True,1
call,FR,,2025-12-08T14:47:50.856770Z,,,,2.1,10219,148,2026-03-20,60,FR260320C00060000,,,15750,,57.25,8,0.265655992029538,0.265655992029538,False,False,False,False,75,RepeatedHits,0,15750,0.0144828261082298,True,1
call,FR,,2025-05-19T16:52:08.082641Z,,,,1.3,11,303,2025-09-19,55,FR250919C00055000,,,28600,,50.84,16,0.237654063401498,0.237654063401498,False,False,False,False,220,RepeatedHits,21450,5070,27.5454545454545,True,1
call,FR,,2024-08-22T19:57:28.873862Z,,,,3.6,35,63,2025-03-21,55,FR250321C00055000,,,21960,,54.97,8,,,False,False,True,False,61,RepeatedHits,0,21960,1.8,True,1
call,FR,,2024-02-21T20:45:49.667547Z,,,,1,1,1400,2024-03-15,55,FR240315C00055000,,,144200,,54.79,2,,,True,False,False,False,1400,LowHistoricVolumeFloor,0,144200,1400,True,1
