type,ticker,iv,created_at,delta,theta,gamma,price,open_interest,volume,expiry,strike,option_chain,rho,theo,total_premium,vega,underlying_price,trade_count,iv_end,iv_start,has_floor,has_multileg,has_sweep,all_opening_trades,total_size,alert_rule,total_bid_side_prem,total_ask_side_prem,has_singleleg,volume_oi_ratio,expiry_count
call,HON,0.32297115694574086,2026-09-25T15:59:22.806006Z,0.2707728941981299,-0.11785141429125548,0.01749823765257448,3,97,278,2026-10-23,225,HON261023C00225000,0.04163905354991448,2.999817518248175,82195,0.19400289262968493,211.54,31,0.32298056617755,0.32298056617755,False,False,False,False,274,RepeatedHits,0,82195,True,2.8659793814433,1
call,HON,0.29455695950867183,2026-09-24T17:50:28.764842Z,0.23096574219899202,-0.05911635387702717,0.010103760584712233,3.78,2240,171,2026-12-18,240,HON261218C00240000,0.10517261370032363,3.78390243902439,15514,0.3112561632151123,211.92,5,0.296358354210049,0.291856033569818,False,False,False,False,41,RepeatedHitsAscendingFill,15514,0,True,0.0763392857142857,1
call,HON,0.2944656562737752,2026-09-24T16:34:07.350952Z,0.32777623235284653,-0.07116379027372,0.012009614959232919,6,400,42,2026-12-18,230,HON261218C00230000,0.14756764779426848,5.999999999999989,22200,0.3688453042523354,211.63,10,0.294465656273775,0.294465656273775,False,False,False,False,37,RepeatedHits,22200,0,True,0.105,1
put,HON,0.2739056477297649,2026-09-23T19:09:23.206746Z,-0.3594980068784684,-0.10962761468381865,0.02569398038439544,3.7,3,107,2026-10-16,207.5,HON261016P00207500,-0.05028067470203114,3.7000990099009794,37371,0.19868516253265817,211.665,18,0.273900664942907,0.273900664942907,False,False,False,False,101,RepeatedHits,37371,0,True,35.6666666666667,1
call,HON,0.30205782290912514,2026-09-23T17:58:36.774600Z,0.2959500286665758,-0.08283179697944956,0.013493466353934322,4.5,597,92,2026-11-20,230,HON261120C00230000,0.0928670858040158,4.499999999999995,25200,0.29295171620387767,212.6663,21,0.302181392226366,0.302042994591056,False,False,False,False,56,RepeatedHits,0,25200,True,0.154103852596315,1
put,HON,0.2705641013828132,2026-09-23T17:05:03.619351Z,-0.42621228452052634,-0.11220938703774953,0.027276666735406813,4.68,366,121,2026-10-16,210,HON261016P00210000,-0.05979401161000079,4.682666666666657,14048,0.20832016286713043,211.65,6,0.271876126380167,0.271876126380167,False,False,False,False,30,RepeatedHitsDescendingFill,14048,0,True,0.330601092896175,1
call,HON,0.2873749167383734,2026-09-23T14:29:30.944816Z,0.4705804252287003,-0.06967363433991994,0.01169719838623354,11.23,272,76,2027-01-15,220,HON270115C00220000,0.27618777508780484,11.233333333333333,84250,0.47089934651199294,211.785,26,0.289215293958249,0.28666706568685,False,False,True,False,75,RepeatedHitsAscendingFill,84250,0,True,0.279411764705882,1
call,HON,0.3127910027231002,2026-09-23T14:22:18.587907Z,0.374778938841469,-0.1284019506738584,0.01991986725681175,4.7,11,40,2026-10-23,220,HON261023C00220000,0.061514861901134296,4.69999999999999,18800,0.23068723122206358,212.24,7,0.3127910027231,0.3127910027231,False,False,False,False,40,RepeatedHits,0,15510,True,3.63636363636364,1
put,HON,0.30672912992521834,2026-09-23T14:05:20.760919Z,-0.4174990803767297,-0.05037580488505186,0.010761252151740695,12.21,295,10,2027-01-15,210,HON270115P00210000,-0.31409140700069504,12.211111111111132,10990,0.4617018859341387,211.625,5,0.308654333882525,0.306488479430555,False,False,False,False,9,RepeatedHits,9760,1230,True,0.0338983050847458,1
call,HON,0.29234289190534263,2026-09-23T13:58:50.844186Z,0.4064559824557749,-0.09116973908923041,0.015762431027120983,6.72,1244,91,2026-11-20,220,HON261120C00220000,0.1257198025083224,6.722666666666669,60504,0.32657817063115807,211.19,19,0.293180071036071,0.293180071036071,False,False,False,False,90,RepeatedHitsDescendingFill,60504,0,True,0.0731511254019293,1
