type,ticker,iv,created_at,delta,theta,gamma,price,open_interest,volume,expiry,strike,option_chain,rho,theo,total_premium,vega,underlying_price,trade_count,iv_end,iv_start,has_floor,has_multileg,has_sweep,all_opening_trades,total_size,alert_rule,total_bid_side_prem,total_ask_side_prem,has_singleleg,volume_oi_ratio,expiry_count
put,LPX,,2026-09-08T15:49:37.255484Z,,,,1.35,92,79,2026-09-18,65,LPX260918P00065000,,,10395,,66.72,8,0.489066648099796,0.489066648099796,False,False,False,False,77,RepeatedHits,10260,135,True,0.858695652173913,1
put,LPX,,2026-07-15T14:16:19.296325Z,,,,4,4769,483,2026-08-21,75,LPX260821P00075000,,,33200,,77.13,25,0.53153700074793,0.528620270504695,False,False,False,False,83,RepeatedHits,33200,0,True,0.101279094149717,1
put,LPX,,2026-07-15T14:07:53.831364Z,,,,4,4769,400,2026-08-21,75,LPX260821P00075000,,,32000,,77.21,7,0.534855111245516,0.534855111245516,False,False,False,False,80,RepeatedHits,32000,0,True,0.0838750262109457,1
put,LPX,,2026-07-15T14:07:05.363625Z,,,,4,4769,280,2026-08-21,75,LPX260821P00075000,,,15600,,77.435,10,0.544102002327644,0.544102002327644,False,False,False,False,39,RepeatedHits,15600,0,True,0.058712518347662,1
put,LPX,,2026-07-15T14:07:02.954123Z,,,,4,4769,173,2026-08-21,75,LPX260821P00075000,,,18000,,77.1,12,0.530288514567235,0.530288514567235,False,False,False,False,45,RepeatedHits,18000,0,True,0.036275948836234,1
put,LPX,,2026-07-15T14:07:02.954123Z,,,,4,4769,128,2026-08-21,75,LPX260821P00075000,,,51200,,77.1,30,0.530288514567235,0.530288514567235,False,False,False,False,128,RepeatedHits,51200,0,True,0.0268400083875026,1
put,LPX,,2026-07-15T14:07:02.954123Z,,,,4,4769,241,2026-08-21,75,LPX260821P00075000,,,27200,,77.435,19,0.544102002327644,0.544102002327644,False,False,False,False,68,RepeatedHits,27200,0,True,0.0505347032920948,1
put,LPX,,2026-07-07T18:53:12.861526Z,,,,5.5,19,4750,2026-08-21,75,LPX260821P00075000,,,2200000,,74.975,3,0.541082256274831,0.541082256274831,True,True,False,True,4000,LowHistoricVolumeFloor,0,2200000,False,250,1
call,LPX,,2026-06-24T17:10:22.167847Z,,,,7.1,55,96,2026-07-17,75,LPX260717C00075000,,,11360,,80.31,5,0.481485536647361,0.481485536647361,False,False,False,False,16,RepeatedHits,11360,0,True,1.74545454545455,1
call,LPX,,2026-06-24T14:23:58.969768Z,,,,6.5,23,597,2026-11-20,85,LPX261120C00085000,,,85150,,78.035,11,0.439662635891044,0.439662635891044,False,False,False,False,131,RepeatedHits,0,85150,True,25.9565217391304,1
call,LPX,,2026-06-24T13:53:52.213398Z,,,,6,23,313,2026-11-20,85,LPX261120C00085000,,,35400,,77.1,7,0.435543861642141,0.435543861642141,False,False,False,False,59,RepeatedHits,0,35400,True,13.6086956521739,1
call,LPX,,2026-06-24T13:53:52.213398Z,,,,6,23,374,2026-11-20,85,LPX261120C00085000,,,35400,,77.1,7,0.435543861642141,0.435543861642141,False,False,False,False,59,RepeatedHits,1800,3600,True,16.2608695652174,1
call,LPX,,2026-06-24T13:50:37.373020Z,,,,6,23,254,2026-11-20,85,LPX261120C00085000,,,37800,,76.715,6,0.444239364040615,0.444239364040615,False,False,False,False,63,RepeatedHits,0,37800,True,11.0434782608696,1
call,LPX,,2026-06-24T13:50:21.323570Z,,,,6,23,130,2026-11-20,85,LPX261120C00085000,,,25200,,76.69,5,0.444803489616018,0.444803489616018,False,False,False,False,42,RepeatedHits,0,25200,True,5.65217391304348,1
call,LPX,,2026-06-24T13:41:06.975839Z,,,,4.2,198,85,2026-08-21,80,LPX260821C00080000,,,16800,,76.54,8,0.449099755558615,0.449099755558615,False,False,False,False,40,RepeatedHits,0,16800,True,0.429292929292929,1
call,LPX,,2026-06-24T13:41:06.975839Z,,,,4.2,198,462,2026-08-21,80,LPX260821C00080000,,,158340,,76.66,17,0.44461663619687,0.44461663619687,False,False,False,False,377,RepeatedHits,420,157920,True,2.33333333333333,1
call,LPX,,2026-06-24T13:41:06.975839Z,,,,6,23,62,2026-11-20,85,LPX261120C00085000,,,37200,,76.54,6,0.448187037509748,0.448187037509748,False,False,False,False,62,RepeatedHits,0,37200,True,2.69565217391304,1
call,LPX,,2026-06-24T13:36:14.652100Z,,,,4.2,198,44,2026-08-21,80,LPX260821C00080000,,,18480,,75.81,9,0.47612190107518,0.47612190107518,False,False,False,False,44,RepeatedHits,0,18480,True,0.222222222222222,1
call,LPX,,2026-06-23T13:31:34.912396Z,,,,4.2,74,69,2026-08-21,80,LPX260821C00080000,,,23100,,75.98,9,0.465576373014282,0.465576373014282,False,False,False,False,55,RepeatedHits,17640,840,True,0.932432432432432,1
put,LPX,,2026-06-16T13:44:50.846360Z,,,,2.5,868,320,2026-07-17,75,LPX260717P00075000,,,28750,,78.74,21,0.459951019055578,0.459951019055578,False,False,False,False,115,RepeatedHits,28750,0,True,0.368663594470046,1
put,LPX,,2026-06-16T13:35:36.702569Z,,,,2.5,868,205,2026-07-17,75,LPX260717P00075000,,,51250,,78.44,28,0.447863765965854,0.447863765965854,False,False,False,False,205,RepeatedHits,51250,0,True,0.236175115207373,1
put,LPX,,2026-06-15T13:59:52.986501Z,,,,2.5,1007,500,2026-07-17,75,LPX260717P00075000,,,29250,,78.89,12,0.4585961352887,0.449968820814751,False,False,False,False,117,RepeatedHits,9500,19750,True,0.496524329692155,1
put,LPX,,2026-06-15T13:58:30.820725Z,,,,2.5,1007,383,2026-07-17,75,LPX260717P00075000,,,25000,,78.72,15,0.451939255167926,0.451939255167926,False,False,False,False,100,RepeatedHits,25000,0,True,0.380337636544191,1
put,LPX,,2026-06-15T13:56:09.566775Z,,,,2.5,1007,283,2026-07-17,75,LPX260717P00075000,,,19750,,78.73,12,0.452332651213528,0.452332651213528,False,False,False,False,79,RepeatedHits,19750,0,True,0.28103277060576,1
