type,ticker,iv,created_at,delta,theta,gamma,price,open_interest,volume,expiry,strike,option_chain,rho,theo,total_premium,vega,underlying_price,trade_count,iv_end,iv_start,has_singleleg,has_multileg,has_floor,has_sweep,all_opening_trades,total_size,alert_rule,total_bid_side_prem,total_ask_side_prem,volume_oi_ratio,expiry_count
call,ON,0.5462515691735329,2026-09-25T19:19:16.829943Z,0.47650405496941906,-0.08663718345079931,0.03411003739641635,3.95,162,146,2026-10-23,79,ON261023C00079000,0.02517838087166359,3.950000000000003,31205,0.0851210673076692,77.17,6,0.546251569173533,0.546251569173533,True,False,False,False,False,79,RepeatedHits,0,31205,0.901234567901235,1
call,ON,0.5863996419476436,2026-09-25T17:51:57.967953Z,0.5921089110472217,-0.01904893489662462,0.005609430974190862,22.01,11,6,2029-01-19,105,ON290119C00105000,0.5539045602658195,22.009999999999994,11005,0.4582860755572692,77.485,5,0.586181293910729,0.586181293910729,True,False,False,False,False,5,RepeatedHits,4405,6600,0.545454545454545,1
call,ON,0.581647477564762,2026-09-25T16:53:17.583152Z,0.4369740982193052,-0.05391486274975779,0.01822813774585884,6,531,353,2026-12-18,85,ON261218C00085000,0.06408355115935359,6.0,30000,0.1463819367665011,77.455,5,0.581647477564762,0.581647477564762,True,False,False,False,False,50,RepeatedHits,0,12600,0.664783427495292,1
call,ON,0.5610991122226362,2026-09-25T16:08:38.028721Z,0.14804735749679876,-0.058433475322687424,0.02221323331275267,0.75,4451,629,2026-10-16,90,ON261016C00090000,0.006153563969365015,0.7500609756097512,12301,0.04285970197179429,77.31,23,0.563412253810648,0.561084921169949,True,False,False,False,False,164,RepeatedHits,0,12301,0.141316558076837,1
call,ON,0.5591461585822569,2026-09-25T15:42:15.815085Z,0.698567336322414,-0.05677802754262521,0.02090603199997208,10.15,6899,44,2026-11-20,70,ON261120C00070000,0.06598944001292048,10.150000000000007,26390,0.103863136268183,76.1,11,0.559146158582257,0.559146158582257,True,False,False,False,False,26,RepeatedHits,26390,0,0.00637773590375417,1
put,ON,0.585152806611468,2026-09-25T15:02:46.994302Z,-0.4853837599909484,-0.04577148634368155,0.018456417666856895,9.9,1125,286,2026-12-18,80,ON261218P00080000,-0.10873867542719585,9.89926315789473,282129,0.14717033893280698,76.95,27,0.585202873440839,0.585202873440839,True,False,False,False,False,285,RepeatedHitsDescendingFill,990,281139,0.254222222222222,1
call,ON,0.579461771228177,2026-09-25T15:02:46.994302Z,0.4270751472698698,-0.05309433758604119,0.0183377326288434,5.75,531,191,2026-12-18,85,ON261218C00085000,0.062398036628026995,5.75,39675,0.1448018450995486,76.95,9,0.579461771228177,0.579461771228177,True,False,False,False,False,69,RepeatedHits,1150,38525,0.35969868173258,1
call,ON,0.579982700133807,2026-09-25T15:02:46.994302Z,0.513753235364092,-0.054526525261669095,0.018622372745323516,7.55,1116,82,2026-12-18,80,ON261218C00080000,0.0736054291163402,7.55,46055,0.14718166943745817,76.95,9,0.579982700133807,0.579982700133807,True,False,False,False,False,61,RepeatedHits,0,46055,0.0734767025089606,1
call,ON,0.581083206799799,2026-09-25T14:45:16.971391Z,0.6114876785618949,-0.03740262394880961,0.012547100403065116,13.18,117,11,2027-03-19,75,ON270319C00075000,0.15938973417461197,13.180000000000012,10544,0.20147595862545323,75.92,6,0.577608849321529,0.577608849321529,True,False,False,False,False,8,RepeatedHitsAscendingFill,0,10544,0.094017094017094,1
call,ON,0.542852248770633,2026-09-25T14:17:42.720324Z,0.788387952594835,-0.0889910272966354,0.035982560596530856,6.8,138,97,2026-10-09,70,ON261009C00070000,0.020275551133605428,6.799999999999989,55760,0.04290557604742259,75.675,27,0.542852248770633,0.542852248770633,True,False,False,False,False,82,RepeatedHits,0,17680,0.702898550724638,1
call,ON,0.553857155191012,2026-09-25T14:14:42.650250Z,0.7998581481302899,-0.0884904343541348,0.03392110031009804,7.2,138,14,2026-10-09,70,ON261009C00070000,0.02059158441916404,7.2,10080,0.04175422549297069,76.12,5,0.553857155191012,0.553857155191012,True,False,False,False,False,14,RepeatedHits,0,10080,0.101449275362319,1
put,ON,0.604886172225658,2026-09-24T18:54:06.657329Z,-0.0922619478297547,-0.01701415230977761,0.006744355885316679,1.22,8762,866,2027-01-15,50,ON270115P00050000,-0.02459105423654871,1.220000000000002,35746,0.06706520457423651,72.87,8,0.604886172225658,0.604886172225658,True,False,False,False,False,293,RepeatedHits,0,35746,0.0988358822186715,1
put,ON,0.605092493611265,2026-09-24T18:54:02.447341Z,-0.09221669030494868,-0.01701767528972854,0.006738221098638821,1.22,8762,573,2027-01-15,50,ON270115P00050000,-0.024585126642055047,1.22,10126,0.0670546527587066,72.885,9,0.605092493611265,0.605092493611265,True,False,False,False,False,83,RepeatedHits,2684,7320,0.0653960283040402,1
put,ON,0.5603359976880679,2026-09-24T18:09:53.972144Z,-0.3818117430795072,-0.033908444847906304,0.016923991471732024,7.25,985,54,2027-01-15,70,ON270115P00070000,-0.10786585463949011,7.250000000000009,37700,0.15331791855194898,72.265,19,0.560335997688068,0.560335997688068,True,False,False,False,False,52,RepeatedHits,37700,0,0.0548223350253807,1
put,ON,0.564192635538738,2026-09-24T17:24:21.014052Z,-0.46133143787446296,-0.03495044153867321,0.01741515362706109,9.85,1426,27,2027-01-15,75,ON270115P00075000,-0.13422697982490178,9.85,21670,0.16046206993803808,72.63,10,0.564192635538738,0.564192635538738,True,False,False,False,False,22,RepeatedHits,21670,0,0.0189340813464236,1
