type,ticker,iv,created_at,delta,theta,gamma,price,open_interest,volume,expiry,strike,option_chain,rho,theo,total_premium,vega,underlying_price,trade_count,iv_end,iv_start,has_singleleg,has_multileg,has_floor,has_sweep,all_opening_trades,total_size,alert_rule,total_bid_side_prem,total_ask_side_prem,volume_oi_ratio,expiry_count
call,SSD,,2026-05-19T19:37:12.713016Z,,,,7.3,0,138,2026-12-18,210,SSD261218C00210000,,,13138,,178.345,7,0.322698131610682,0.322698131610682,True,False,False,False,False,18,RepeatedHits,0,13138,0,1
call,SSD,,2026-05-19T19:26:32.230536Z,,,,7.3,0,105,2026-12-18,210,SSD261218C00210000,,,11680,,178.66,8,0.320714163433953,0.320714163433953,True,False,False,False,False,16,RepeatedHits,0,11680,0,1
call,SSD,,2026-01-09T14:34:32.383272Z,,,,13.5,73,73,2026-02-20,170,SSD260220C00170000,,,98550,,175.7201,5,0.443671660553805,0.443671660553805,True,False,False,False,False,73,RepeatedHits,18900,41850,1,1
call,SSD,,2025-10-14T16:26:32.511482Z,,,,6.8,12,25,2025-12-19,175,SSD251219C00175000,,,17008,,167.88,5,0.341911675328208,0.341911675328208,True,False,False,False,False,25,RepeatedHits,17008,0,2.08333333333333,1
put,SSD,,2025-10-14T16:26:32.511482Z,,,,9.6,0,36,2025-12-19,170,SSD251219P00170000,,,34560,,168.1057,11,0.301978111155403,0.297933068105664,True,False,False,False,False,36,RepeatedHits,34560,0,0,1
call,SSD,,2025-08-13T19:43:27.779297Z,,,,14.9,35,33,2025-12-19,195,SSD251219C00195000,,,49170,,194.53,6,0.327993014601782,0.327993014601782,True,False,False,False,False,33,RepeatedHits,0,49170,0.942857142857143,1
call,SSD,,2025-07-30T14:34:16.626522Z,,,,18.2,100,80,2025-09-19,170,SSD250919C00170000,,,67340,,184.29,12,0.353724130052225,0.353724130052225,True,False,False,False,False,37,RepeatedHits,67340,0,0.8,1
call,SSD,,2025-06-23T15:06:15.997639Z,,,,9,0,13,2025-12-19,170,SSD251219C00170000,,,10801,,154.765,7,0.340279725868405,0.340039814120289,True,False,False,False,False,12,RepeatedHits,2701,8100,0,1
call,SSD,,2024-10-23T19:58:17.355325Z,,,,2.75,3,66,2024-11-15,185,SSD241115C00185000,,,18150,,176.765,6,,,True,False,False,False,False,66,RepeatedHits,17875,275,22,1
put,SSD,,2024-10-17T17:09:21.062682Z,,,,17.3,0,50,2025-06-20,190,SSD250620P00190000,,,86500,,191.56,10,,,True,False,False,False,False,50,RepeatedHits,86500,0,0,1
