type,ticker,iv,created_at,delta,theta,gamma,price,open_interest,volume,expiry,strike,option_chain,rho,theo,total_premium,vega,underlying_price,trade_count,iv_end,iv_start,has_floor,has_multileg,has_sweep,all_opening_trades,total_size,alert_rule,total_bid_side_prem,total_ask_side_prem,volume_oi_ratio,has_singleleg,expiry_count
call,TRGP,,2026-09-22T19:23:51.934884Z,,,,13.16,3,70,2026-11-20,290,TRGP261120C00290000,,,92104,,284.92,8,0.321602337908725,0.315597134351454,False,False,False,False,70,RepeatedHits,92104,0,23.3333333333333,True,1
call,TRGP,,2026-09-22T14:05:15.239371Z,,,,11.54,100,70,2026-11-20,300,TRGP261120C00300000,,,80780,,291.45,6,0.317871078476717,0.273780861661167,False,False,False,False,70,RepeatedHits,15000,65780,0.7,True,1
put,TRGP,,2026-09-21T18:35:05.933694Z,,,,17.6,54,95,2026-12-18,290,TRGP261218P00290000,,,84480,,290.835,23,0.343142873617288,0.343142873617288,False,False,False,False,48,RepeatedHits,84480,0,1.75925925925926,True,1
call,TRGP,,2026-09-14T15:01:07.469380Z,,,,2.2,712,679,2026-10-16,320,TRGP261016C00320000,,,55440,,290.4,39,0.307950502183541,0.307950502183541,False,False,True,False,252,RepeatedHits,46640,8800,0.953651685393258,True,1
call,TRGP,,2026-09-10T14:47:39.044157Z,,,,26.87,146,70,2027-03-19,300,TRGP270319C00300000,,,188060,,290.01,5,0.338267486686785,0.341871021970396,False,False,False,False,70,RepeatedHits,0,188060,0.479452054794521,True,1
call,TRGP,,2026-09-03T14:32:13.961568Z,,,,9.9,135,91,2026-10-16,300,TRGP261016C00300000,,,90090,,292.3648,36,0.316224631452663,0.316224631452663,False,False,False,False,91,RepeatedHits,90090,0,0.674074074074074,True,1
call,TRGP,,2026-09-01T16:49:00.832550Z,,,,16.5,43,53,2026-12-18,310,TRGP261218C00310000,,,54450,,294.8295,10,0.334582785399773,0.334582785399773,False,False,False,False,33,RepeatedHits,54450,0,1.23255813953488,True,1
put,TRGP,,2026-08-31T17:12:40.604720Z,,,,25.8,460,113,2026-12-18,300,TRGP261218P00300000,,,152220,,290.49,20,0.354927112871139,0.354927112871139,False,False,False,False,59,RepeatedHits,152220,0,0.245652173913043,True,1
put,TRGP,,2026-08-31T13:54:27.345865Z,,,,25,460,41,2026-12-18,300,TRGP261218P00300000,,,77500,,291.915,10,0.353514652862323,0.353514652862323,False,False,False,False,31,RepeatedHits,77500,0,0.0891304347826087,True,1
call,TRGP,,2026-08-27T15:08:31.820579Z,,,,18.63,75,361,2027-01-15,300,TRGP270115C00300000,,,484480,,285.295,30,0.327502821908526,0.327502821908526,False,False,True,False,260,RepeatedHitsDescendingFill,378400,39480,4.81333333333333,True,1
