type,ticker,iv,created_at,delta,theta,gamma,price,open_interest,volume,expiry,strike,option_chain,rho,theo,underlying_price,vega,total_premium,trade_count,iv_end,iv_start,has_floor,has_multileg,has_sweep,all_opening_trades,total_size,alert_rule,total_bid_side_prem,total_ask_side_prem,volume_oi_ratio,has_singleleg,expiry_count
put,VLO,0.5416304039748262,2026-09-25T19:51:56.992075Z,-0.335596941392093,-0.4206164264531763,0.00725480113202168,12,919,1252,2026-10-16,370,VLO261016P00370000,-0.08158865165862172,11.99995000000003,386.8,0.33824229141294665,239999,24,0.541631882255094,0.541631882255094,False,False,True,False,200,RepeatedHits,130800,83999,1.36235038084875,True,1
call,VLO,1.1440618187778544,2026-09-25T19:04:14.068355Z,0.4123286564086942,-22.882219008582684,0.08538664323810373,1.35,173,183,2026-09-25,387.5,VLO260925C00387500,0.00016798980424928726,1.3489361702127598,386.46,0.015512024693414967,12680,39,1.11249196648693,1.14474811991461,False,False,True,False,94,RepeatedHitsDescendingFill,130,12550,1.05780346820809,True,1
put,VLO,0.5606480391563162,2026-09-25T18:55:28.698523Z,-0.3006933650921752,-0.7276198085483604,0.011678933848878501,5.93,233,317,2026-10-02,370,VLO261002P00370000,-0.02327397495534184,5.9329999999999945,383.86,0.18502094744252376,148325,28,0.563191507795179,0.563191507795179,False,False,False,False,250,RepeatedHitsDescendingFill,0,148325,1.36051502145923,True,1
call,VLO,1.0192269467963377,2026-09-25T18:53:48.482519Z,0.4826376239631909,-19.062822137117212,0.09060120634713159,1.65,477,431,2026-09-25,385,VLO260925C00385000,0.00023235018416345145,1.6493406593406557,385.06,0.017218480287166334,15009,26,0.938012845872961,1.05302706781201,False,False,True,False,91,RepeatedHitsDescendingFill,165,14844,0.90356394129979,True,1
call,VLO,0.5156578459130032,2026-09-25T18:50:41.083519Z,0.579047609128327,-0.2418235261821564,0.004123168236391915,41.06,817,14,2026-12-18,380,VLO261218C00380000,0.41646561316488356,41.06000000000001,383.43,0.7193670165353794,20530,5,0.516213888869244,0.514823781478642,False,False,False,False,5,RepeatedHitsAscendingFill,0,16420,0.0171358629130967,True,1
call,VLO,0.5216328701016616,2026-09-25T18:28:14.736877Z,0.3912570695667562,-0.39046897061150465,0.0070097002109595795,13.96,512,505,2026-10-23,400,VLO261023C00400000,0.10310666242490502,13.958759689922472,379.2025,0.40333564482509077,180068,14,0.520424220153231,0.524638225456529,False,False,False,False,129,RepeatedHitsDescendingFill,180068,0,0.986328125,True,1
put,VLO,0.8643052535864498,2026-09-25T18:26:38.898442Z,-0.8539697239105596,-7.69687040507347,0.05224353170632921,5,395,311,2026-09-25,385,VLO260925P00385000,-0.000586453604027511,5.0,380.325,0.011614775682861591,10000,19,0.86430525358645,0.86430525358645,False,False,False,False,20,RepeatedHits,0,10000,0.787341772151899,True,1
put,VLO,0.5218952706078859,2026-09-25T18:13:48.829971Z,-0.45228583167878683,-0.7560607128357102,0.014440799454667178,9.8,73,58,2026-10-02,377.5,VLO261002P00377500,-0.03479718662615606,9.800000000000043,379.5,0.20816290218127045,51940,18,0.521895270607886,0.521895270607886,False,False,False,False,53,RepeatedHits,0,51940,0.794520547945205,True,1
put,VLO,0.519645682057409,2026-09-25T18:13:48.829971Z,-0.4886827703228259,-0.7563260808300892,0.014602041523801778,11,144,122,2026-10-02,380,VLO261002P00380000,-0.037676322722262685,10.99999999999994,379.5,0.20957990445979727,102300,25,0.519645682057409,0.519645682057409,False,False,False,False,93,RepeatedHits,0,102300,0.847222222222222,True,1
call,VLO,0.5102913167499197,2026-09-25T18:04:50.761997Z,0.800906364428906,-0.5637297292358644,0.010444193573759366,24.1,0,15,2026-10-02,357.5,VLO261002C00357500,0.053477504133947626,24.10000000000002,377.83,0.14623800838030446,36150,7,0.508673537704412,0.508673537704412,False,False,False,False,15,RepeatedHits,36150,0,0,True,1
call,VLO,0.5159548785833958,2026-09-25T18:04:50.761997Z,0.612088232990262,-0.546232485748039,0.010022096063057442,19.9,21,103,2026-10-09,370,VLO261009C00370000,0.0811772689002134,19.899999999999988,378.28,0.28381295559352865,199000,10,0.515954878583396,0.515954878583396,False,False,False,False,100,RepeatedHits,179100,19900,4.90476190476191,True,1
call,VLO,0.5255996618902131,2026-09-25T18:04:50.761997Z,0.6063616246772789,-0.5573126513769769,0.00989073763704806,19.9,21,128,2026-10-09,370,VLO261009C00370000,0.08024171444179248,19.900000000000013,377.83,0.2846504054992572,49750,10,0.525599661890213,0.525599661890213,False,False,False,False,25,RepeatedHits,49750,0,6.09523809523809,True,1
put,VLO,1.0348008560797326,2026-09-25T17:30:02.870397Z,-0.8836997174142953,-1.009562545975037,0.029474931513022933,8,395,240,2026-09-25,385,VLO260925P00385000,-0.0009776858073505556,8.37223134483782,376.97,0.012410535302977834,16000,19,1.00812783000009,1.00812783000009,False,False,False,False,20,RepeatedHits,800,800,0.607594936708861,True,1
put,VLO,0.521142804341538,2026-09-25T16:52:38.701153Z,-0.3911951118549801,-0.511657534016841,0.00995302066136989,11.3,55,127,2026-10-09,370,VLO261009P00370000,-0.06105517990596919,11.30000000000001,378.02,0.2842996846907916,11300,5,0.521142804341538,0.521142804341538,False,False,False,False,10,RepeatedHits,9040,2260,2.30909090909091,True,1
put,VLO,0.0,2026-09-25T16:50:10.166403Z,0.0,0.0,0.0,6.5,395,215,2026-09-25,385,VLO260925P00385000,0.0,0.0,378.02,0.0,13000,19,0,0,False,False,False,False,20,RepeatedHits,5200,650,0.544303797468354,True,1
