type,ticker,iv,created_at,delta,theta,gamma,price,open_interest,volume,expiry,strike,option_chain,rho,vega,theo,underlying_price,total_premium,trade_count,iv_end,iv_start,has_singleleg,has_multileg,total_size,has_floor,has_sweep,all_opening_trades,alert_rule,total_bid_side_prem,total_ask_side_prem,volume_oi_ratio,expiry_count
call,WEC,,2026-09-09T15:11:35.331346Z,,,,4.6,6,95,2027-04-16,110,WEC270416C00110000,,,,105.91,43700,24,0.159882427315221,0.159882427315221,True,False,95,False,True,False,RepeatedHits,43700,0,15.8333333333333,1
put,WEC,,2026-09-01T17:48:28.188094Z,,,,4,42,58,2027-01-15,105,WEC270115P00105000,,,,105.91,15602,17,0.201626069825188,0.201626069825188,True,False,39,False,False,False,RepeatedHitsAscendingFill,15602,0,1.38095238095238,1
call,WEC,,2026-08-11T15:33:32.613296Z,,,,2.55,22,1000,2026-11-20,110,WEC261120C00110000,,,,106.04,255000,14,0.167593505398093,0.167593505398093,False,True,1000,True,False,False,LowHistoricVolumeFloor,255000,0,45.4545454545455,2
call,WEC,,2026-08-04T19:58:31.866401Z,,,,2.4,1494,159,2026-09-18,110,WEC260918C00110000,,,,109.235,34320,13,0.16445772112624,0.16445772112624,True,False,143,False,False,False,RepeatedHits,0,34320,0.106425702811245,1
call,WEC,,2026-08-03T19:59:09.872310Z,,,,2.4,9,1504,2026-09-18,110,WEC260918C00110000,,,,109.355,68640,13,0.158510683912903,0.158510683912903,True,False,286,False,False,False,RepeatedHits,0,68640,167.111111111111,1
put,WEC,,2026-07-29T19:05:36.681134Z,,,,2.9,15,1352,2026-09-18,110,WEC260918P00110000,,,,110.79,28132,36,0.21633771512472,0.21633771512472,True,False,97,False,False,False,RepeatedHits,28132,0,90.1333333333333,1
put,WEC,,2026-07-29T18:48:33.032171Z,,,,2.7,15,1252,2026-09-18,110,WEC260918P00110000,,,,111.235,27001,43,0.215316561673472,0.215316561673472,True,False,100,False,False,False,RepeatedHits,27001,0,83.4666666666667,1
put,WEC,,2026-07-29T18:21:00.358523Z,,,,2.5,15,1142,2026-09-18,110,WEC260918P00110000,,,,111.93,22500,14,0.219698138409947,0.219698138409947,True,False,90,False,False,False,RepeatedHits,0,22500,76.1333333333333,1
put,WEC,,2026-07-29T17:41:55.677708Z,,,,2.4,15,1008,2026-09-18,110,WEC260918P00110000,,,,112.15,13440,28,0.21852189895562,0.21852189895562,True,False,56,False,False,False,RepeatedHits,480,12480,67.2,1
put,WEC,,2026-07-29T17:15:54.002061Z,,,,2.6,15,950,2026-09-18,110,WEC260918P00110000,,,,111.71,26000,13,0.220735504931329,0.220735504931329,True,False,100,False,False,False,RepeatedHits,0,26000,63.3333333333333,1
put,WEC,,2026-07-29T15:27:47.572870Z,,,,2.35,15,816,2026-09-18,110,WEC260918P00110000,,,,112.42,15510,10,0.221533988194012,0.221533988194012,True,False,66,False,False,False,RepeatedHits,0,15510,54.4,1
put,WEC,,2026-07-29T14:54:00.910001Z,,,,2.15,15,677,2026-09-18,110,WEC260918P00110000,,,,112.7625,40420,29,0.216325065773009,0.21670958313371,True,False,188,False,False,False,RepeatedHits,40420,0,45.1333333333333,1
put,WEC,,2026-07-29T14:53:25.859625Z,,,,2.2,15,441,2026-09-18,110,WEC260918P00110000,,,,112.79,12540,57,0.220168031982115,0.220168031982115,True,False,57,False,False,False,RepeatedHits,0,12540,29.4,1
put,WEC,,2026-07-29T14:47:44.928284Z,,,,2,15,384,2026-09-18,110,WEC260918P00110000,,,,113.185,20000,5,0.215650906720071,0.215650906720071,True,False,100,False,False,False,RepeatedHits,0,20000,25.6,1
