timestamp,date,ticker,call_volume,put_volume,call_volume_ask_side,call_volume_bid_side,put_volume_ask_side,put_volume_bid_side,strike,put_premium,call_premium,call_premium_bid_side,put_premium_bid_side,call_premium_ask_side,put_premium_ask_side,call_trades,put_trades,call_otm_premium,call_otm_trades,call_otm_volume,put_otm_premium,put_otm_trades,put_otm_volume
2025-06-16T13:48:56.284000Z,2025-06-16,AAON,1,0,0,1,0,0,50,0,2850.00,2850.00,0,0,0,1,0,2850.00,1,1,0,0,0
2025-06-16T15:30:00.533000Z,2025-06-16,AAON,4,0,0,4,0,0,55,0,9688.00,9688.00,0,0,0,1,0,9688.00,1,4,0,0,0
2025-06-16T18:03:32.879000Z,2025-06-16,AAON,0,123,0,0,51,35,60,20815.00,0,0,1980.00,0,2555.00,0,7,0,0,0,0,0,0
2025-06-16T15:37:02.367000Z,2025-06-16,AAON,3,10,0,3,8,2,65,1020.00,3039.00,3039.00,180.00,0,840.00,2,4,3039.00,2,3,0,0,0
2025-06-16T19:54:25.529000Z,2025-06-16,AAON,132,3,83,49,2,1,70,691.00,82080.00,36490.00,251.00,45590.00,440.00,7,2,82080.00,7,132,0,0,0
2025-06-16T18:22:21.674000Z,2025-06-16,AAON,56,8,33,18,0,6,75,3500.00,17029.00,2175.00,1380.00,12479.00,0,17,5,4410.00,5,15,3080.00,3,6
2025-06-16T19:55:00.103000Z,2025-06-16,AAON,52,0,40,12,0,0,80,0,13328.00,1870.00,0,11458.00,0,11,0,0,0,0,0,0,0
2025-06-16T19:54:45.639000Z,2025-06-16,AAON,6,0,2,4,0,0,85,0,1373.00,343.00,0,1030.00,0,6,0,0,0,0,0,0,0
2025-06-16T16:40:45.524000Z,2025-06-16,AAON,6,0,5,1,0,0,90,0,2200.00,50.00,0,2150.00,0,2,0,0,0,0,0,0,0
2025-06-16T16:09:32.766000Z,2025-06-16,AAON,27,0,17,10,0,0,95,0,1118.00,300.00,0,818.00,0,4,0,0,0,0,0,0,0
2025-06-16T18:19:10.264000Z,2025-06-16,AAON,38,0,0,1,0,0,100,0,17780.00,20.00,0,0,0,2,0,0,0,0,0,0,0
