timestamp,date,ticker,call_volume,put_volume,call_volume_ask_side,call_volume_bid_side,put_volume_ask_side,put_volume_bid_side,strike,put_premium,call_premium,call_premium_bid_side,put_premium_bid_side,call_premium_ask_side,put_premium_ask_side,call_trades,put_trades,call_otm_premium,call_otm_trades,call_otm_volume,put_otm_premium,put_otm_trades,put_otm_volume
2026-06-04T19:37:32.836000Z,2026-06-04,BBWI,252,0,5,244,0,0,2.5,0,380874.00,368560.00,0,7684.00,0,15,0,380874.00,15,252,0,0,0
2026-06-04T19:37:22.174000Z,2026-06-04,BBWI,32,0,20,12,0,0,5,0,41118.00,15430.00,0,25688.00,0,19,0,41118.00,19,32,0,0,0
2026-06-04T19:37:32.836000Z,2026-06-04,BBWI,744,5,404,336,5,0,7,18.00,826827.00,365938.00,0,456459.00,18.00,19,5,826827.00,19,744,0,0,0
2026-06-04T19:37:32.836000Z,2026-06-04,BBWI,10,0,10,0,0,0,7.5,0,10900.00,0,0,10900.00,0,1,0,10900.00,1,10,0,0,0
2026-06-04T19:37:32.836000Z,2026-06-04,BBWI,749,2,686,61,2,0,8,7.00,754978.00,59962.00,0,692976.00,7.00,27,2,754978.00,27,749,0,0,0
2026-06-04T19:37:32.836000Z,2026-06-04,BBWI,2165,3,876,1194,3,0,9,11.00,1945304.00,1067503.00,0,793121.00,11.00,795,3,1945304.00,795,2165,0,0,0
2026-06-04T19:37:22.174000Z,2026-06-04,BBWI,1409,2,305,855,2,0,10,8.00,1119199.00,682441.00,0,239558.00,8.00,772,2,1119199.00,772,1409,0,0,0
2026-06-04T19:37:22.174000Z,2026-06-04,BBWI,1592,1,441,935,1,0,11,4.00,1107616.00,654827.00,0,303349.00,4.00,857,1,1107616.00,857,1592,0,0,0
2026-06-04T18:41:24.279000Z,2026-06-04,BBWI,1715,0,392,1158,0,0,12,0,1019685.00,693013.00,0,229757.00,0,938,0,1019685.00,938,1715,0,0,0
2026-06-04T19:37:32.836000Z,2026-06-04,BBWI,16,21,0,16,1,10,12.5,1180.00,8371.00,8371.00,276.00,0,4.00,2,6,8371.00,2,16,0,0,0
2026-06-04T17:23:39.462000Z,2026-06-04,BBWI,3,3,1,2,3,0,13,10.00,1501.00,1000.00,0,501.00,10.00,3,3,1501.00,3,3,0,0,0
2026-06-04T14:16:47.259000Z,2026-06-04,BBWI,1,1,1,0,1,0,14.5,3.00,378.00,0,0,378.00,3.00,1,1,378.00,1,1,0,0,0
2026-06-04T19:37:32.836000Z,2026-06-04,BBWI,40,83,20,0,50,27,15,1925.00,13600.00,0,1039.00,7000.00,751.00,2,22,13600.00,2,40,0,0,0
2026-06-04T19:37:32.836000Z,2026-06-04,BBWI,40,16,40,0,0,15,15.5,169.00,11900.00,0,154.00,11900.00,0,2,7,11900.00,2,40,0,0,0
2026-06-04T19:53:22.112000Z,2026-06-04,BBWI,30,12,30,0,2,10,16,296.00,6920.00,0,226.00,6920.00,70.00,3,5,6920.00,3,30,0,0,0
