timestamp,date,ticker,call_volume,put_volume,call_volume_ask_side,call_volume_bid_side,put_volume_ask_side,put_volume_bid_side,strike,put_premium,call_premium,call_premium_bid_side,put_premium_bid_side,call_premium_ask_side,put_premium_ask_side,call_trades,put_trades,call_otm_premium,call_otm_trades,call_otm_volume,put_otm_premium,put_otm_trades,put_otm_volume
2025-06-25T14:10:36.523000Z,2025-06-25,BEKE,0,3,0,0,3,0,14,60.00,0,0,0,0,60.00,0,1,0,0,0,0,0,0
2025-06-25T17:39:31.939000Z,2025-06-25,BEKE,0,10,0,0,10,0,15,1080.00,0,0,0,0,1080.00,0,1,0,0,0,0,0,0
2025-06-25T15:06:36.807000Z,2025-06-25,BEKE,0,2,0,0,0,2,16,224.00,0,0,224.00,0,0,0,2,0,0,0,0,0,0
2025-06-25T14:43:15.266000Z,2025-06-25,BEKE,0,1,0,0,1,0,16.5,29.00,0,0,0,0,29.00,0,1,0,0,0,0,0,0
2025-06-25T18:38:34.488000Z,2025-06-25,BEKE,472,127,19,453,111,16,17,6185.00,85117.00,77897.00,995.00,7220.00,5190.00,27,13,85117.00,27,472,0,0,0
2025-06-25T17:37:03.337000Z,2025-06-25,BEKE,1,8,1,0,6,1,17.5,44.00,127.00,0,10.00,127.00,31.00,1,6,127.00,1,1,0,0,0
2025-06-25T19:03:45.724000Z,2025-06-25,BEKE,92,52,67,17,4,48,18,7403.00,14083.00,2440.00,6950.00,10259.00,453.00,19,23,14083.00,19,92,0,0,0
2025-06-25T19:27:45.684000Z,2025-06-25,BEKE,125,8,116,7,4,2,18.5,352.00,8530.00,157.00,94.00,8323.00,158.00,14,6,276.00,5,9,352.00,6,8
2025-06-25T19:52:52.626000Z,2025-06-25,BEKE,183,17,100,78,0,17,19,3218.00,17559.00,4543.00,3218.00,12734.00,0,22,7,0,0,0,3218.00,7,17
2025-06-25T17:37:03.337000Z,2025-06-25,BEKE,0,2,0,0,1,1,19.5,238.00,0,0,119.00,0,119.00,0,2,0,0,0,238.00,2,2
2025-06-25T13:56:10.701000Z,2025-06-25,BEKE,10,0,6,4,0,0,19.85,0,2045.00,830.00,0,1215.00,0,7,0,0,0,0,0,0,0
2025-06-25T19:27:42.008000Z,2025-06-25,BEKE,181,0,8,148,0,0,20,0,30499.00,29013.00,0,861.00,0,14,0,0,0,0,0,0,0
2025-06-25T18:55:05.238000Z,2025-06-25,BEKE,52,0,30,19,0,0,20.5,0,517.00,190.00,0,270.00,0,5,0,0,0,0,0,0,0
2025-06-25T18:42:36.726000Z,2025-06-25,BEKE,67,0,1,66,0,0,21,0,3010.00,2902.00,0,108.00,0,6,0,0,0,0,0,0,0
2025-06-25T15:51:47.964000Z,2025-06-25,BEKE,831,0,805,25,0,0,22,0,48206.00,128.00,0,47890.00,0,10,0,0,0,0,0,0,0
2025-06-25T15:32:01.910000Z,2025-06-25,BEKE,9,0,9,0,0,0,23,0,99.00,0,0,99.00,0,2,0,0,0,0,0,0,0
2025-06-25T15:29:29.374000Z,2025-06-25,BEKE,14,0,14,0,0,0,23.5,0,126.00,0,0,126.00,0,1,0,0,0,0,0,0,0
2025-06-25T15:51:39.626000Z,2025-06-25,BEKE,2000,0,1934,66,0,0,24.85,0,177273.00,5921.00,0,171352.00,0,71,0,0,0,0,0,0,0
2025-06-25T14:46:18.220000Z,2025-06-25,BEKE,1,0,0,1,0,0,25,0,20.00,20.00,0,0,0,1,0,0,0,0,0,0,0
2025-06-25T15:24:01.033000Z,2025-06-25,BEKE,11,0,0,11,0,0,28,0,99.00,99.00,0,0,0,3,0,0,0,0,0,0,0
2025-06-25T17:58:38.057000Z,2025-06-25,BEKE,1,0,0,1,0,0,29,0,6.00,6.00,0,0,0,1,0,0,0,0,0,0,0
2025-06-25T15:19:50.860000Z,2025-06-25,BEKE,1,0,1,0,0,0,30,0,180.00,0,0,180.00,0,1,0,0,0,0,0,0,0
