timestamp,date,ticker,call_volume,put_volume,call_volume_ask_side,call_volume_bid_side,put_volume_ask_side,put_volume_bid_side,strike,put_premium,call_premium,call_premium_bid_side,put_premium_bid_side,call_premium_ask_side,put_premium_ask_side,call_trades,put_trades,call_otm_premium,call_otm_trades,call_otm_volume,put_otm_premium,put_otm_trades,put_otm_volume
2025-05-20T16:31:11.164000Z,2025-05-20,BILI,2,0,1,0,0,0,5,0,2703.00,0,0,1353.00,0,2,0,2703.00,2,2,0,0,0
2025-05-20T13:32:36.048000Z,2025-05-20,BILI,1,0,0,1,0,0,8,0,1100.00,1100.00,0,0,0,1,0,1100.00,1,1,0,0,0
2025-05-20T13:30:11.487000Z,2025-05-20,BILI,0,2,0,0,0,2,9,40.00,0,0,40.00,0,0,0,1,0,0,0,0,0,0
2025-05-20T17:13:37.102000Z,2025-05-20,BILI,0,23,0,0,22,0,10,831.00,0,0,0,0,770.00,0,3,0,0,0,0,0,0
2025-05-20T15:15:30.628000Z,2025-05-20,BILI,3,0,0,3,0,0,12,0,2220.00,2220.00,0,0,0,1,0,2220.00,1,3,0,0,0
2025-05-20T18:29:14.002000Z,2025-05-20,BILI,11,11,6,3,3,8,13,1213.00,6263.00,1731.00,997.00,3392.00,216.00,4,6,6263.00,4,11,0,0,0
2025-05-20T13:30:08.291000Z,2025-05-20,BILI,0,1,0,0,1,0,13.5,1.00,0,0,0,0,1.00,0,1,0,0,0,0,0,0
2025-05-20T18:19:38.096000Z,2025-05-20,BILI,30,1304,0,0,578,356,14,5766.00,13800.00,0,1755.00,0,2621.00,1,154,13800.00,1,30,0,0,0
2025-05-20T18:38:50.422000Z,2025-05-20,BILI,0,826,0,0,466,35,14.5,3369.00,0,0,255.00,0,2129.00,0,95,0,0,0,0,0,0
2025-05-20T19:56:41.430000Z,2025-05-20,BILI,106,1964,63,43,800,1134,15,76552.00,51595.00,17341.00,73402.00,34254.00,2737.00,22,143,51595.00,22,106,0,0,0
2025-05-20T18:35:44.844000Z,2025-05-20,BILI,0,543,0,0,75,417,15.5,2076.00,0,0,1311.00,0,440.00,0,81,0,0,0,0,0,0
2025-05-20T19:48:38.952000Z,2025-05-20,BILI,413,855,319,52,238,506,16,7953.00,113898.00,13410.00,5039.00,89698.00,1988.00,34,176,113898.00,34,413,0,0,0
2025-05-20T19:28:34.755000Z,2025-05-20,BILI,260,391,226,25,243,130,16.5,3133.00,55692.00,5928.00,1209.00,47786.00,1523.00,24,96,55692.00,24,260,0,0,0
2025-05-20T19:59:25.082000Z,2025-05-20,BILI,230,787,124,87,418,248,17,25636.00,49170.00,21337.00,7285.00,24495.00,15893.00,51,168,49170.00,51,230,0,0,0
2025-05-20T19:59:44.250000Z,2025-05-20,BILI,376,2864,193,155,1343,1160,17.5,68311.00,52119.00,22609.00,29722.00,25523.00,32103.00,70,193,52119.00,70,376,0,0,0
2025-05-20T19:58:56.223000Z,2025-05-20,BILI,2849,2141,1055,1549,798,1049,18,77545.00,345828.00,181980.00,34427.00,133855.00,31732.00,445,304,345828.00,445,2849,0,0,0
2025-05-20T19:59:57.384000Z,2025-05-20,BILI,3358,659,1706,1496,538,118,18.5,34114.00,212764.00,86424.00,8251.00,116460.00,25704.00,578,96,101636.00,228,1358,11170.00,49,165
2025-05-20T19:59:19.860000Z,2025-05-20,BILI,3890,252,1492,1938,75,147,19,35039.00,229050.00,125416.00,20334.00,82777.00,11735.00,648,40,35888.00,78,533,34619.00,37,249
2025-05-20T19:58:12.454000Z,2025-05-20,BILI,997,23,456,493,0,22,19.5,3913.00,37374.00,16788.00,3758.00,18823.00,0,206,6,0,0,0,3913.00,6,23
2025-05-20T19:58:12.741000Z,2025-05-20,BILI,4872,196,1575,2366,49,121,20,43242.00,219878.00,107306.00,24837.00,89411.00,13059.00,500,40,0,0,0,43242.00,40,196
2025-05-20T19:43:00.424000Z,2025-05-20,BILI,423,42,153,247,16,26,20.5,10315.00,8995.00,5312.00,6426.00,2989.00,3889.00,89,12,0,0,0,10315.00,12,42
2025-05-20T19:59:35.089000Z,2025-05-20,BILI,3005,49,1269,1464,18,20,21,14093.00,39406.00,17190.00,5560.00,18361.00,5023.00,480,14,0,0,0,14093.00,14,49
2025-05-20T19:56:41.430000Z,2025-05-20,BILI,309,40,50,237,15,20,21.5,13255.00,2510.00,1730.00,6420.00,524.00,5035.00,58,8,0,0,0,13255.00,8,40
2025-05-20T19:55:00.090000Z,2025-05-20,BILI,685,41,201,445,11,20,22,14949.00,21959.00,9084.00,7185.00,11825.00,4039.00,76,9,0,0,0,14949.00,9,41
2025-05-20T18:28:11.143000Z,2025-05-20,BILI,235,0,70,163,0,0,22.5,0,2353.00,1334.00,0,1005.00,0,33,0,0,0,0,0,0,0
2025-05-20T19:54:36.207000Z,2025-05-20,BILI,218,9,12,179,0,4,23,3958.00,13022.00,12422.00,1708.00,383.00,0,105,2,0,0,0,3958.00,2,9
2025-05-20T14:37:35.632000Z,2025-05-20,BILI,33,0,2,25,0,0,23.5,0,85.00,57.00,0,9.00,0,12,0,0,0,0,0,0,0
2025-05-20T18:39:34.925000Z,2025-05-20,BILI,48,0,12,35,0,0,24,0,720.00,444.00,0,271.00,0,16,0,0,0,0,0,0,0
2025-05-20T15:04:55.391000Z,2025-05-20,BILI,170,0,79,84,0,0,24.5,0,350.00,99.00,0,237.00,0,164,0,0,0,0,0,0,0
2025-05-20T19:43:08.945000Z,2025-05-20,BILI,1612,1,423,1096,1,0,25,740.00,15911.00,5457.00,0,8842.00,740.00,203,1,0,0,0,740.00,1,1
2025-05-20T13:55:31.914000Z,2025-05-20,BILI,5,0,4,1,0,0,25.5,0,5.00,1.00,0,4.00,0,2,0,0,0,0,0,0,0
2025-05-20T17:01:53.296000Z,2025-05-20,BILI,10,0,3,5,0,0,26,0,452.00,334.00,0,114.00,0,8,0,0,0,0,0,0,0
2025-05-20T13:36:41.206000Z,2025-05-20,BILI,10,0,0,10,0,0,26.5,0,20.00,20.00,0,0,0,2,0,0,0,0,0,0,0
2025-05-20T19:22:23.409000Z,2025-05-20,BILI,36,0,2,31,0,0,27,0,7118.00,6615.00,0,320.00,0,8,0,0,0,0,0,0,0
2025-05-20T13:35:43.309000Z,2025-05-20,BILI,7,0,0,7,0,0,27.5,0,14.00,14.00,0,0,0,1,0,0,0,0,0,0,0
2025-05-20T17:08:39.639000Z,2025-05-20,BILI,35,0,23,11,0,0,30,0,4103.00,1096.00,0,2965.00,0,10,0,0,0,0,0,0,0
2025-05-20T13:38:14.154000Z,2025-05-20,BILI,1,0,0,1,0,0,31,0,31.00,31.00,0,0,0,1,0,0,0,0,0,0,0
2025-05-20T14:31:44.251000Z,2025-05-20,BILI,3,0,0,3,0,0,32,0,90.00,90.00,0,0,0,1,0,0,0,0,0,0,0
2025-05-20T16:05:19.738000Z,2025-05-20,BILI,4,0,0,2,0,0,35,0,131.00,89.00,0,0,0,4,0,0,0,0,0,0,0
2025-05-20T15:15:48.413000Z,2025-05-20,BILI,100,0,0,100,0,0,40,0,3900.00,3900.00,0,0,0,1,0,0,0,0,0,0,0
2025-05-20T14:37:16.486000Z,2025-05-20,BILI,6,0,0,6,0,0,47,0,255.00,255.00,0,0,0,2,0,0,0,0,0,0,0
