timestamp,date,ticker,call_volume,put_volume,call_volume_ask_side,call_volume_bid_side,put_volume_ask_side,put_volume_bid_side,strike,put_premium,call_premium,call_premium_bid_side,put_premium_bid_side,call_premium_ask_side,put_premium_ask_side,call_trades,put_trades,call_otm_premium,call_otm_trades,call_otm_volume,put_otm_premium,put_otm_trades,put_otm_volume
2026-05-18T19:47:10.419000Z,2026-05-18,CHRD,0,2,0,0,0,2,90,35.00,0,0,35.00,0,0,0,2,0,0,0,0,0,0
2026-05-18T13:58:27.470000Z,2026-05-18,CHRD,14,0,14,0,0,0,95,0,71580.00,0,0,71580.00,0,14,0,71580.00,14,14,0,0,0
2026-05-18T19:57:47.553000Z,2026-05-18,CHRD,0,22,0,0,11,11,105,4914.00,0,0,489.00,0,4425.00,0,11,0,0,0,0,0,0
2026-05-18T19:57:47.553000Z,2026-05-18,CHRD,0,12,0,0,10,2,110,696.00,0,0,172.00,0,524.00,0,6,0,0,0,0,0,0
2026-05-18T17:05:53.778000Z,2026-05-18,CHRD,1,0,0,1,0,0,115,0,3830.00,3830.00,0,0,0,1,0,3830.00,1,1,0,0,0
2026-05-18T18:39:17.472000Z,2026-05-18,CHRD,0,4,0,0,2,1,120,949.00,0,0,59.00,0,830.00,0,4,0,0,0,0,0,0
2026-05-18T17:53:33.867000Z,2026-05-18,CHRD,0,7,0,0,2,4,125,790.00,0,0,440.00,0,240.00,0,3,0,0,0,0,0,0
2026-05-18T19:15:01.775000Z,2026-05-18,CHRD,3,12,2,1,2,8,130,4448.00,7968.00,2998.00,2840.00,4970.00,348.00,3,8,7968.00,3,3,0,0,0
2026-05-18T18:15:28.619000Z,2026-05-18,CHRD,2,20,2,0,5,15,135,8222.00,3310.00,0,6331.00,3310.00,1891.00,2,10,3310.00,2,2,0,0,0
2026-05-18T19:02:01.142000Z,2026-05-18,CHRD,31,6,2,28,2,4,140,4744.00,49127.00,44263.00,3216.00,3654.00,1528.00,9,3,49127.00,9,31,0,0,0
2026-05-18T17:58:05.565000Z,2026-05-18,CHRD,1,15,0,1,10,0,145,20650.00,1092.00,1092.00,0,0,17900.00,1,2,1092.00,1,1,0,0,0
2026-05-18T19:39:15.583000Z,2026-05-18,CHRD,38,0,16,20,0,0,150,0,32636.00,16760.00,0,13241.00,0,14,0,21190.00,6,21,0,0,0
2026-05-18T18:15:19.004000Z,2026-05-18,CHRD,6,5,4,2,0,0,155,5200.00,5885.00,2583.00,0,3302.00,0,6,1,0,0,0,5200.00,1,5
2026-05-18T19:51:50.983000Z,2026-05-18,CHRD,45,20,34,10,5,5,160,27530.00,19730.00,5811.00,7000.00,13294.00,6930.00,16,5,0,0,0,27530.00,5,20
2026-05-18T16:24:46.203000Z,2026-05-18,CHRD,6,0,6,0,0,0,165,0,2779.00,0,0,2779.00,0,2,0,0,0,0,0,0,0
2026-05-18T16:11:56.059000Z,2026-05-18,CHRD,6,0,1,1,0,0,170,0,1427.00,65.00,0,182.00,0,3,0,0,0,0,0,0,0
2026-05-18T19:57:37.399000Z,2026-05-18,CHRD,4,0,3,1,0,0,175,0,670.00,251.00,0,419.00,0,4,0,0,0,0,0,0,0
2026-05-18T16:24:46.203000Z,2026-05-18,CHRD,11,0,10,0,0,0,180,0,10170.00,0,0,10100.00,0,2,0,0,0,0,0,0,0
2026-05-18T18:57:34.164000Z,2026-05-18,CHRD,1,0,1,0,0,0,185,0,51.00,0,0,51.00,0,1,0,0,0,0,0,0,0
2026-05-18T15:19:52.582000Z,2026-05-18,CHRD,2,0,2,0,0,0,195,0,1150.00,0,0,1150.00,0,1,0,0,0,0,0,0,0
2026-05-18T19:02:47.047000Z,2026-05-18,CHRD,110,0,110,0,0,0,200,0,66000.00,0,0,66000.00,0,1,0,0,0,0,0,0,0
