timestamp,date,ticker,call_volume,put_volume,call_volume_ask_side,call_volume_bid_side,put_volume_ask_side,put_volume_bid_side,strike,put_premium,call_premium,call_premium_bid_side,put_premium_bid_side,call_premium_ask_side,put_premium_ask_side,call_trades,put_trades,call_otm_premium,call_otm_trades,call_otm_volume,put_otm_premium,put_otm_trades,put_otm_volume
2026-09-08T18:40:08.132000Z,2026-09-08,DY,1,0,0,1,0,0,200,0,11840.00,11840.00,0,0,0,1,0,0,0,0,0,0,0
2026-09-08T14:10:19.354000Z,2026-09-08,DY,0,1,0,0,0,1,210,1040.00,0,0,1040.00,0,0,0,1,0,0,0,1040.00,1,1
2026-09-08T15:37:59.531000Z,2026-09-08,DY,0,3,0,0,2,0,230,1625.00,0,0,0,0,1065.00,0,3,0,0,0,1625.00,3,3
2026-09-08T15:27:36.491000Z,2026-09-08,DY,0,1,0,0,0,1,250,272.00,0,0,272.00,0,0,0,1,0,0,0,272.00,1,1
2026-09-08T16:26:51.487000Z,2026-09-08,DY,0,12,0,0,3,3,260,8485.00,0,0,2785.00,0,5340.00,0,8,0,0,0,8485.00,8,12
2026-09-08T19:15:06.948000Z,2026-09-08,DY,11,55,5,6,48,2,270,84055.00,42980.00,24480.00,1870.00,18500.00,81585.00,4,22,0,0,0,84055.00,22,55
2026-09-08T19:57:32.053000Z,2026-09-08,DY,2,17,2,0,5,12,280,9440.00,5600.00,0,7180.00,5600.00,2260.00,1,11,0,0,0,9440.00,11,17
2026-09-08T18:43:58.626000Z,2026-09-08,DY,9,20,4,3,3,17,290,12056.00,22065.00,7392.00,8659.00,10093.00,3397.00,9,7,0,0,0,12056.00,7,20
2026-09-08T19:28:48.428000Z,2026-09-08,DY,44,78,36,7,74,4,300,217844.00,108551.00,9976.00,8054.00,97635.00,209790.00,17,15,8498.00,3,6,216802.00,14,77
2026-09-08T19:37:10.644000Z,2026-09-08,DY,224,0,200,22,0,0,310,0,275366.00,20937.00,0,253284.00,0,24,0,275366.00,24,224,0,0,0
2026-09-08T19:52:52.580000Z,2026-09-08,DY,941,8,382,508,6,1,320,37170.00,1083718.00,584063.00,2020.00,438425.00,32430.00,67,4,1083718.00,67,941,0,0,0
2026-09-08T19:24:44.972000Z,2026-09-08,DY,50,1,47,3,1,0,330,6270.00,95981.00,1770.00,0,94211.00,6270.00,24,1,95981.00,24,50,0,0,0
2026-09-08T19:58:55.908000Z,2026-09-08,DY,11,0,5,6,0,0,340,0,20597.00,7167.00,0,13430.00,0,6,0,20597.00,6,11,0,0,0
2026-09-08T19:10:29.287000Z,2026-09-08,DY,946,3,175,739,1,2,350,15224.00,394449.00,300625.00,9625.00,79329.00,5599.00,89,3,394449.00,89,946,0,0,0
2026-09-08T13:37:09.068000Z,2026-09-08,DY,0,1,0,0,1,0,360,8115.00,0,0,0,0,8115.00,0,1,0,0,0,0,0,0
2026-09-08T13:30:02.315000Z,2026-09-08,DY,2,0,2,0,0,0,390,0,1420.00,0,0,1420.00,0,1,0,1420.00,1,2,0,0,0
2026-09-08T18:07:51.017000Z,2026-09-08,DY,3,0,3,0,0,0,400,0,3500.00,0,0,3500.00,0,2,0,3500.00,2,3,0,0,0
2026-09-08T15:42:18.581000Z,2026-09-08,DY,2,0,0,2,0,0,410,0,790.00,790.00,0,0,0,2,0,790.00,2,2,0,0,0
2026-09-08T14:02:33.063000Z,2026-09-08,DY,1,0,0,1,0,0,420,0,85.00,85.00,0,0,0,1,0,85.00,1,1,0,0,0
2026-09-08T17:54:47.618000Z,2026-09-08,DY,5,0,5,0,0,0,430,0,1860.00,0,0,1860.00,0,2,0,1860.00,2,5,0,0,0
