timestamp,date,ticker,call_volume,put_volume,call_volume_ask_side,call_volume_bid_side,put_volume_ask_side,put_volume_bid_side,strike,put_premium,call_premium,call_premium_bid_side,put_premium_bid_side,call_premium_ask_side,put_premium_ask_side,call_trades,put_trades,call_otm_premium,call_otm_trades,call_otm_volume,put_otm_premium,put_otm_trades,put_otm_volume
2025-08-29T13:34:01.319000Z,2025-08-29,GWRE,0,2,0,0,2,0,120,93.00,0,0,0,0,93.00,0,2,0,0,0,0,0,0
2025-08-29T13:34:01.319000Z,2025-08-29,GWRE,4,0,4,0,0,0,125,0,38058.00,0,0,38058.00,0,2,0,38058.00,2,4,0,0,0
2025-08-29T13:34:01.319000Z,2025-08-29,GWRE,0,2,0,0,1,1,130,114.00,0,0,39.00,0,75.00,0,2,0,0,0,0,0,0
2025-08-29T17:34:08.181000Z,2025-08-29,GWRE,0,1,0,0,0,1,155,40.00,0,0,40.00,0,0,0,1,0,0,0,0,0,0
2025-08-29T17:18:31.584000Z,2025-08-29,GWRE,0,2,0,0,0,2,180,357.00,0,0,357.00,0,0,0,2,0,0,0,0,0,0
2025-08-29T19:24:30.602000Z,2025-08-29,GWRE,0,12,0,0,0,2,190,3098.00,0,0,548.00,0,0,0,4,0,0,0,0,0,0
2025-08-29T17:38:55.862000Z,2025-08-29,GWRE,1,1,1,0,0,1,195,350.00,2720.00,0,350.00,2720.00,0,1,1,2720.00,1,1,0,0,0
2025-08-29T18:16:59.208000Z,2025-08-29,GWRE,0,5,0,0,2,1,200,2311.00,0,0,470.00,0,941.00,0,5,0,0,0,0,0,0
2025-08-29T19:24:30.602000Z,2025-08-29,GWRE,9,17,4,5,14,3,210,13873.00,14611.00,7982.00,2875.00,6629.00,10998.00,7,7,14611.00,7,9,0,0,0
2025-08-29T18:13:36.711000Z,2025-08-29,GWRE,11,21,6,4,9,12,220,28289.00,11233.00,4688.00,16110.00,5630.00,12179.00,11,8,0,0,0,28289.00,8,21
2025-08-29T18:14:46.994000Z,2025-08-29,GWRE,15,0,5,9,0,0,230,0,9565.00,6440.00,0,2605.00,0,9,0,0,0,0,0,0,0
2025-08-29T19:33:59.247000Z,2025-08-29,GWRE,179,0,93,86,0,0,240,0,48586.00,22145.00,0,26441.00,0,9,0,0,0,0,0,0,0
2025-08-29T18:33:20.041000Z,2025-08-29,GWRE,28,0,15,12,0,0,250,0,7872.00,2455.00,0,4547.00,0,15,0,0,0,0,0,0,0
2025-08-29T13:38:22.269000Z,2025-08-29,GWRE,1,0,0,1,0,0,280,0,75.00,75.00,0,0,0,1,0,0,0,0,0,0,0
