timestamp,date,ticker,call_volume,put_volume,call_volume_ask_side,call_volume_bid_side,put_volume_ask_side,put_volume_bid_side,strike,put_premium,call_premium,call_premium_bid_side,put_premium_bid_side,call_premium_ask_side,put_premium_ask_side,call_trades,put_trades,call_otm_premium,call_otm_trades,call_otm_volume,put_otm_premium,put_otm_trades,put_otm_volume
2025-03-06T17:45:38.668000Z,2025-03-06,JD,0,5,0,0,0,0,12.5,50.00,0,0,0,0,0,0,1,0,0,0,0,0,0
2025-03-06T20:00:00.060000Z,2025-03-06,JD,17,0,11,6,0,0,15,0,49668.00,16200.00,0,33468.00,0,10,0,49668.00,10,17,0,0,0
2025-03-06T14:31:00.561000Z,2025-03-06,JD,0,25,0,0,0,25,17.5,500.00,0,0,500.00,0,0,0,1,0,0,0,0,0,0
2025-03-06T16:09:43.093000Z,2025-03-06,JD,0,3,0,0,1,2,18,166.00,0,0,110.00,0,56.00,0,3,0,0,0,0,0,0
2025-03-06T19:42:42.105000Z,2025-03-06,JD,75,357,56,19,101,256,20,25350.00,193570.00,45610.00,17976.00,147960.00,7374.00,9,31,193570.00,9,75,0,0,0
2025-03-06T19:34:18.475000Z,2025-03-06,JD,1,11,0,1,4,7,21,191.00,2430.00,2430.00,75.00,0,116.00,1,3,2430.00,1,1,0,0,0
2025-03-06T20:39:53.817000Z,2025-03-06,JD,8,44,0,8,38,4,22.5,2687.00,18368.00,18368.00,248.00,0,2389.00,1,14,18368.00,1,8,0,0,0
2025-03-06T15:28:02.486000Z,2025-03-06,JD,5,0,0,5,0,0,23,0,10525.00,10525.00,0,0,0,1,0,10525.00,1,5,0,0,0
2025-03-06T16:26:00.044000Z,2025-03-06,JD,1,0,0,1,0,0,24,0,1995.00,1995.00,0,0,0,1,0,1995.00,1,1,0,0,0
2025-03-06T19:58:10.304000Z,2025-03-06,JD,14,36,11,3,31,5,25,828.00,29290.00,5910.00,190.00,23380.00,638.00,8,17,29290.00,8,14,0,0,0
2025-03-06T18:45:19.870000Z,2025-03-06,JD,13,0,2,7,0,0,27,0,22290.00,11770.00,0,3800.00,0,8,0,22290.00,8,13,0,0,0
2025-03-06T20:39:53.817000Z,2025-03-06,JD,19,10,6,13,1,9,27.5,1031.00,32450.00,21050.00,889.00,11400.00,142.00,6,6,32450.00,6,19,0,0,0
2025-03-06T17:27:40.309000Z,2025-03-06,JD,6,0,0,6,0,0,28,0,10516.00,10516.00,0,0,0,5,0,10516.00,5,6,0,0,0
2025-03-06T19:18:59.561000Z,2025-03-06,JD,13,12,5,8,10,2,29,770.00,20747.00,13025.00,70.00,7722.00,700.00,8,2,20747.00,8,13,0,0,0
2025-03-06T16:31:12.299000Z,2025-03-06,JD,1,0,0,1,0,0,29.5,0,1469.00,1469.00,0,0,0,1,0,1469.00,1,1,0,0,0
