timestamp,date,ticker,call_volume,put_volume,call_volume_ask_side,call_volume_bid_side,put_volume_ask_side,put_volume_bid_side,strike,put_premium,call_premium,call_premium_bid_side,put_premium_bid_side,call_premium_ask_side,put_premium_ask_side,call_trades,put_trades,call_otm_premium,call_otm_trades,call_otm_volume,put_otm_premium,put_otm_trades,put_otm_volume
2026-05-28T18:29:32.773000Z,2026-05-28,KNSL,0,7,0,0,7,0,280,3126.00,0,0,0,0,3126.00,0,3,0,0,0,0,0,0
2026-05-28T13:30:17.162000Z,2026-05-28,KNSL,0,3,0,0,3,0,290,3000.00,0,0,0,0,3000.00,0,1,0,0,0,0,0,0
2026-05-28T18:19:19.006000Z,2026-05-28,KNSL,0,2,0,0,0,2,300,2160.00,0,0,2160.00,0,0,0,1,0,0,0,0,0,0
2026-05-28T18:30:23.008000Z,2026-05-28,KNSL,2,0,0,2,0,0,310,0,2825.00,2825.00,0,0,0,2,0,1145.00,1,1,0,0,0
2026-05-28T19:39:32.936000Z,2026-05-28,KNSL,1,12,1,0,8,4,320,21823.00,550.00,0,7176.00,550.00,14647.00,1,10,0,0,0,21823.00,10,12
2026-05-28T18:29:57.928000Z,2026-05-28,KNSL,2,2,2,0,1,1,330,6356.00,3617.00,0,2378.00,3617.00,3978.00,2,2,0,0,0,6356.00,2,2
2026-05-28T14:14:20.399000Z,2026-05-28,KNSL,1,0,1,0,0,0,340,0,142.00,0,0,142.00,0,1,0,0,0,0,0,0,0
2026-05-28T15:45:24.546000Z,2026-05-28,KNSL,3,0,2,1,0,0,360,0,3861.00,1257.00,0,2604.00,0,2,0,0,0,0,0,0,0
2026-05-28T15:21:10.388000Z,2026-05-28,KNSL,2,0,0,2,0,0,370,0,384.00,384.00,0,0,0,1,0,0,0,0,0,0,0
2026-05-28T15:43:32.487000Z,2026-05-28,KNSL,1,0,1,0,0,0,380,0,890.00,0,0,890.00,0,1,0,0,0,0,0,0,0
2026-05-28T18:30:06.264000Z,2026-05-28,KNSL,23,0,23,0,0,0,400,0,14630.00,0,0,14630.00,0,7,0,0,0,0,0,0,0
