timestamp,date,ticker,call_volume,put_volume,call_volume_ask_side,call_volume_bid_side,put_volume_ask_side,put_volume_bid_side,strike,put_premium,call_premium,call_premium_bid_side,put_premium_bid_side,call_premium_ask_side,put_premium_ask_side,call_trades,put_trades,call_otm_premium,call_otm_trades,call_otm_volume,put_otm_premium,put_otm_trades,put_otm_volume
2025-08-29T19:45:23.170000Z,2025-08-29,PII,52,0,27,25,0,0,17.5,0,200402.00,96000.00,0,104402.00,0,4,0,200402.00,4,52,0,0,0
2025-08-29T19:10:00.781000Z,2025-08-29,PII,1960,0,1960,0,0,0,20,0,7080000.00,0,0,7080000.00,0,15,0,7080000.00,15,1960,0,0,0
2025-08-29T19:13:45.134000Z,2025-08-29,PII,85,0,50,0,0,0,22.5,0,287800.00,0,0,169500.00,0,2,0,287800.00,2,85,0,0,0
2025-08-29T19:13:45.134000Z,2025-08-29,PII,96,0,46,50,0,0,25,0,301420.00,155500.00,0,145920.00,0,4,0,301420.00,4,96,0,0,0
2025-08-29T19:46:29.468000Z,2025-08-29,PII,361,2,180,81,1,1,30,83.00,954750.00,213150.00,34.00,477600.00,49.00,5,2,954750.00,5,361,0,0,0
2025-08-29T19:46:29.468000Z,2025-08-29,PII,2640,0,600,1440,0,0,35,0,5590000.00,3058000.00,0,1266000.00,0,16,0,5590000.00,16,2640,0,0,0
2025-08-29T19:46:29.468000Z,2025-08-29,PII,10068,24,0,5268,0,20,40,4840.00,16284140.00,8556140.00,2740.00,0,0,20,5,16284140.00,20,10068,0,0,0
2025-08-29T19:59:54.850000Z,2025-08-29,PII,5630,11,249,3211,2,4,45,4243.00,6309851.00,3621959.00,888.00,278792.00,400.00,29,9,6309851.00,29,5630,0,0,0
2025-08-29T19:49:53.407000Z,2025-08-29,PII,19,15,5,7,9,4,50,6508.00,13691.00,5088.00,2961.00,3603.00,2512.00,16,15,13691.00,16,19,0,0,0
2025-08-29T19:30:05.192000Z,2025-08-29,PII,10,542,2,3,539,1,55,140541.00,5368.00,1829.00,350.00,1409.00,139221.00,8,19,5368.00,8,10,0,0,0
2025-08-29T19:57:29.836000Z,2025-08-29,PII,34,1,23,5,0,0,60,520.00,8709.00,962.00,0,4557.00,0,11,1,0,0,0,520.00,1,1
2025-08-29T17:28:34.921000Z,2025-08-29,PII,2,0,1,1,0,0,65,0,979.00,942.00,0,37.00,0,2,0,0,0,0,0,0,0
2025-08-29T17:08:49.735000Z,2025-08-29,PII,3,0,1,2,0,0,70,0,47.00,34.00,0,13.00,0,2,0,0,0,0,0,0,0
2025-08-29T19:54:32.498000Z,2025-08-29,PII,5,0,0,5,0,0,75,0,835.00,835.00,0,0,0,1,0,0,0,0,0,0,0
2025-08-29T17:34:13.931000Z,2025-08-29,PII,1,0,1,0,0,0,80,0,569.00,0,0,569.00,0,1,0,0,0,0,0,0,0
