timestamp,date,ticker,call_volume,put_volume,call_volume_ask_side,call_volume_bid_side,put_volume_ask_side,put_volume_bid_side,strike,put_premium,call_premium,call_premium_bid_side,put_premium_bid_side,call_premium_ask_side,put_premium_ask_side,call_trades,put_trades,call_otm_premium,call_otm_trades,call_otm_volume,put_otm_premium,put_otm_trades,put_otm_volume
2025-09-15T17:11:55.565000Z,2025-09-15,PSKY,0,3,0,0,0,0,2.5,3.00,0,0,0,0,0,0,1,0,0,0,0,0,0
2025-09-15T19:33:04.892000Z,2025-09-15,PSKY,3,0,3,0,0,0,3,0,4665.00,0,0,4665.00,0,1,0,4665.00,1,3,0,0,0
2025-09-15T19:41:21.414000Z,2025-09-15,PSKY,4,80,2,2,0,0,5,80.00,5485.00,2720.00,0,2765.00,0,4,3,5485.00,4,4,0,0,0
2025-09-15T18:02:51.490000Z,2025-09-15,PSKY,1,0,0,1,0,0,6,0,1255.00,1255.00,0,0,0,1,0,1255.00,1,1,0,0,0
2025-09-15T15:25:54.611000Z,2025-09-15,PSKY,101,0,1,99,0,0,7.5,0,111025.00,108765.00,0,1125.00,0,4,0,111025.00,4,101,0,0,0
2025-09-15T19:34:12.340000Z,2025-09-15,PSKY,7,231,0,7,0,220,8,671.00,7650.00,7650.00,220.00,0,0,3,2,7650.00,3,7,0,0,0
2025-09-15T17:46:54.317000Z,2025-09-15,PSKY,1,1,1,0,1,0,9,6.00,995.00,0,0,995.00,6.00,1,1,995.00,1,1,0,0,0
2025-09-15T17:46:54.317000Z,2025-09-15,PSKY,0,1,0,0,0,1,9.5,21.00,0,0,21.00,0,0,0,1,0,0,0,0,0,0
2025-09-15T19:54:03.525000Z,2025-09-15,PSKY,261,179,24,236,24,146,10,4055.00,226439.00,203437.00,2758.00,22132.00,1166.00,35,27,226439.00,35,261,0,0,0
2025-09-15T18:26:24.106000Z,2025-09-15,PSKY,17,424,10,5,46,378,11,3521.00,13464.00,3850.00,2935.00,8014.00,586.00,8,6,13464.00,8,17,0,0,0
2025-09-15T19:47:00.975000Z,2025-09-15,PSKY,103,274,29,66,34,140,12,9790.00,78403.00,51038.00,6416.00,20845.00,2114.00,30,31,78403.00,30,103,0,0,0
2025-09-15T19:20:43.871000Z,2025-09-15,PSKY,108,162,13,85,0,161,12.5,5217.00,71095.00,55795.00,5185.00,8625.00,0,26,16,71095.00,26,108,0,0,0
2025-09-15T19:55:06.430000Z,2025-09-15,PSKY,87,446,16,63,27,391,13,3071.00,58131.00,43820.00,2571.00,9661.00,217.00,26,28,58131.00,26,87,0,0,0
2025-09-15T14:37:03.025000Z,2025-09-15,PSKY,15,0,0,14,0,0,13.5,0,7955.00,7415.00,0,0,0,11,0,7955.00,11,15,0,0,0
2025-09-15T19:59:50.119000Z,2025-09-15,PSKY,932,504,260,656,41,442,14,8850.00,528207.00,374886.00,7753.00,145771.00,783.00,49,66,528207.00,49,932,0,0,0
2025-09-15T18:21:16.469000Z,2025-09-15,PSKY,0,7,0,0,0,3,14.5,45.00,0,0,21.00,0,0,0,2,0,0,0,0,0,0
2025-09-15T19:59:50.101000Z,2025-09-15,PSKY,2063,598,513,1122,124,378,15,37954.00,1060375.00,607737.00,21631.00,235423.00,8702.00,224,94,1060375.00,224,2063,0,0,0
2025-09-15T19:59:50.119000Z,2025-09-15,PSKY,8,8,0,7,0,5,15.5,120.00,2600.00,2275.00,75.00,0,0,2,3,2600.00,2,8,0,0,0
2025-09-15T19:58:01.634000Z,2025-09-15,PSKY,2201,839,1003,912,389,386,16,29076.00,720667.00,299132.00,7819.00,319920.00,20114.00,167,128,720667.00,167,2201,0,0,0
2025-09-15T19:58:55.869000Z,2025-09-15,PSKY,1591,2643,871,589,2249,334,17,130485.00,546072.00,227507.00,11024.00,271046.00,114620.00,194,188,546072.00,194,1591,0,0,0
2025-09-15T19:51:15.764000Z,2025-09-15,PSKY,369,1050,170,130,48,990,17.5,179780.00,103048.00,34107.00,170876.00,48581.00,8070.00,63,73,103048.00,63,369,0,0,0
2025-09-15T19:58:53.351000Z,2025-09-15,PSKY,6371,2202,702,5475,1103,719,18,176260.00,918795.00,785548.00,67733.00,107004.00,83827.00,221,199,918795.00,221,6371,0,0,0
2025-09-15T19:58:27.220000Z,2025-09-15,PSKY,4123,1094,1889,1857,893,189,19,162770.00,627393.00,313516.00,20800.00,222960.00,140546.00,393,118,2264.00,5,12,162578.00,117,1092
2025-09-15T19:59:51.301000Z,2025-09-15,PSKY,7256,661,3486,3150,119,525,20,186109.00,1030372.00,463869.00,154523.00,461702.00,25502.00,773,105,0,0,0,186109.00,105,661
2025-09-15T19:59:37.744000Z,2025-09-15,PSKY,1297,214,503,594,177,35,21,63259.00,92336.00,43292.00,9925.00,40491.00,52724.00,145,34,0,0,0,63259.00,34,214
2025-09-15T19:59:08.656000Z,2025-09-15,PSKY,6862,127,6222,539,121,4,22,50094.00,312517.00,80534.00,1904.00,204674.00,47150.00,141,12,0,0,0,50094.00,12,127
