timestamp,date,ticker,call_volume,put_volume,call_volume_ask_side,call_volume_bid_side,put_volume_ask_side,put_volume_bid_side,strike,put_premium,call_premium,call_premium_bid_side,put_premium_bid_side,call_premium_ask_side,put_premium_ask_side,call_trades,put_trades,call_otm_premium,call_otm_trades,call_otm_volume,put_otm_premium,put_otm_trades,put_otm_volume
2026-05-27T15:10:54.802000Z,2026-05-27,SLAB,0,5,0,0,0,5,190,785.00,0,0,785.00,0,0,0,1,0,0,0,0,0,0
2026-05-27T15:09:18.904000Z,2026-05-27,SLAB,8,0,7,1,0,0,195,0,24894.00,3080.00,0,21814.00,0,5,0,24894.00,5,8,0,0,0
2026-05-27T15:10:54.802000Z,2026-05-27,SLAB,0,6,0,0,6,0,200,1670.00,0,0,0,0,1670.00,0,2,0,0,0,0,0,0
2026-05-27T19:52:14.721000Z,2026-05-27,SLAB,33,125,2,31,11,114,210,40555.00,52302.00,49022.00,36904.00,3280.00,3651.00,15,117,52302.00,15,33,0,0,0
2026-05-27T19:55:13.380000Z,2026-05-27,SLAB,207,240,134,73,226,7,220,131989.00,179784.00,50530.00,3828.00,129254.00,124356.00,92,175,0,0,0,131989.00,175,240
2026-05-27T19:55:13.380000Z,2026-05-27,SLAB,189,1,96,93,1,0,230,1141.00,32178.00,625.00,0,31553.00,1141.00,87,1,0,0,0,1141.00,1,1
2026-05-27T19:52:14.721000Z,2026-05-27,SLAB,1,113,0,1,0,113,240,240804.00,63.00,63.00,240804.00,0,0,1,112,0,0,0,240804.00,112,113
2026-05-27T19:55:13.380000Z,2026-05-27,SLAB,197,1,193,4,0,1,250,3141.00,9627.00,47.00,3141.00,9580.00,0,87,1,0,0,0,3141.00,1,1
2026-05-27T15:50:29.285000Z,2026-05-27,SLAB,5,0,5,0,0,0,260,0,284.00,0,0,284.00,0,5,0,0,0,0,0,0,0
2026-05-27T19:51:37.075000Z,2026-05-27,SLAB,17,0,17,0,0,0,270,0,1653.00,0,0,1653.00,0,9,0,0,0,0,0,0,0
2026-05-27T19:55:13.380000Z,2026-05-27,SLAB,68,0,68,0,0,0,280,0,8041.00,0,0,8041.00,0,30,0,0,0,0,0,0,0
2026-05-27T14:13:19.637000Z,2026-05-27,SLAB,20,0,20,0,0,0,290,0,200.00,0,0,200.00,0,3,0,0,0,0,0,0,0
2026-05-27T17:00:39.411000Z,2026-05-27,SLAB,115,0,115,0,0,0,300,0,24725.00,0,0,24725.00,0,51,0,0,0,0,0,0,0
