timestamp,date,ticker,call_volume,put_volume,call_volume_ask_side,call_volume_bid_side,put_volume_ask_side,put_volume_bid_side,strike,put_premium,call_premium,call_premium_bid_side,put_premium_bid_side,call_premium_ask_side,put_premium_ask_side,call_trades,put_trades,call_otm_premium,call_otm_trades,call_otm_volume,put_otm_premium,put_otm_trades,put_otm_volume
2025-10-20T18:29:58.805000Z,2025-10-20,TREX,0,4,0,0,2,0,40,310.00,0,0,0,0,220.00,0,2,0,0,0,0,0,0
2025-10-20T16:52:21.437000Z,2025-10-20,TREX,0,10,0,0,1,9,42.5,1069.00,0,0,1016.00,0,53.00,0,7,0,0,0,0,0,0
2025-10-20T19:25:46.160000Z,2025-10-20,TREX,0,63,0,0,8,53,45,9362.00,0,0,8206.00,0,926.00,0,25,0,0,0,0,0,0
2025-10-20T19:31:21.904000Z,2025-10-20,TREX,0,17,0,0,1,14,47.5,3369.00,0,0,2823.00,0,196.00,0,9,0,0,0,0,0,0
2025-10-20T19:44:11.208000Z,2025-10-20,TREX,33,4,1,32,3,0,50,1170.00,15301.00,14480.00,0,821.00,885.00,6,3,15301.00,6,33,0,0,0
2025-10-20T19:46:33.263000Z,2025-10-20,TREX,8,0,4,4,0,0,52.5,0,2205.00,1176.00,0,1029.00,0,6,0,0,0,0,0,0,0
2025-10-20T18:24:49.181000Z,2025-10-20,TREX,40,0,34,5,0,0,55,0,8375.00,1767.00,0,6438.00,0,16,0,0,0,0,0,0,0
2025-10-20T19:46:33.263000Z,2025-10-20,TREX,13,0,3,6,0,0,57.5,0,1423.00,700.00,0,303.00,0,6,0,0,0,0,0,0,0
2025-10-20T19:54:08.588000Z,2025-10-20,TREX,51,0,44,7,0,0,60,0,3005.00,440.00,0,2565.00,0,12,0,0,0,0,0,0,0
2025-10-20T14:12:51.133000Z,2025-10-20,TREX,3,2,0,3,0,2,62.5,2800.00,1068.00,1068.00,2800.00,0,0,1,1,0,0,0,2800.00,1,2
2025-10-20T19:07:51.191000Z,2025-10-20,TREX,5,0,2,2,0,0,65,0,210.00,50.00,0,55.00,0,4,0,0,0,0,0,0,0
2025-10-20T17:23:36.262000Z,2025-10-20,TREX,1,0,1,0,0,0,67.5,0,75.00,0,0,75.00,0,1,0,0,0,0,0,0,0
2025-10-20T18:53:08.450000Z,2025-10-20,TREX,4,0,4,0,0,0,70,0,854.00,0,0,854.00,0,2,0,0,0,0,0,0,0
2025-10-20T18:53:14.235000Z,2025-10-20,TREX,6,0,0,6,0,0,80,0,540.00,540.00,0,0,0,1,0,0,0,0,0,0,0
