date,call_volume,put_volume,call_volume_ask_side,call_volume_bid_side,put_volume_ask_side,put_volume_bid_side,net_call_premium,net_put_premium,put_premium,call_premium,avg_30_day_call_volume,avg_30_day_put_volume,avg_7_day_call_volume,avg_7_day_put_volume,bearish_premium,bullish_premium,put_open_interest,call_open_interest,avg_3_day_put_volume,avg_3_day_call_volume
2026-09-25,25860,17691,11617,12616,6769,9723,-416321.00,-1546549.00,3981407.00,6238736.00,22063.1,17208.5333,23173,20730.5714,4291547.00,5421775.00,616159,444069,20223,18531
2026-09-24,16626,23351,8123,7648,5945,9117,1147186.00,-1046717.00,5144660.00,4477771.00,22116.5333,16839.2,23444.1429,19649.8571,3171942.00,5365845.00,601257,438783,15904.3333,19839.3333
2026-09-23,12278,10625,4984,6216,4141,5721,-799915.00,256328.00,3175334.00,4657168.00,22233.7333,16782.5,27830.4286,22773.4286,4212528.00,3156285.00,598056,435527,16943.6667,24253
2026-09-22,26689,26693,12894,11758,20439,5234,-48349.00,1765022.00,5524461.00,8375873.00,21842.5667,16149.7,30719,20964.2857,7519178.00,5705807.00,580509,425731,17702,27780
2026-09-21,20551,10395,9898,8843,4658,4501,178943.00,-100068.00,2517377.00,6791577.00,21718.3333,16194.9333,30266.7143,20704,4190088.00,4469099.00,576704,415083,24683.3333,28689
2026-09-18,25519,13743,11837,11986,5780,5128,1023279.00,464084.00,3713164.00,9488971.00,21572.4667,16131.3333,29673,20492.5714,5354485.00,5913680.00,640197,483504,25364.3333,26357.3333
2026-09-17,37270,28968,16550,19092,11872,14981,-3570024.00,-3250271.00,11930026.00,24794100.00,21195.2,15610.2667,28856,17728.8571,18071784.00,17006631.00,636243,473691,26538.3333,28261.3333
2026-09-16,23278,31339,10534,9017,11853,18892,1010386.00,-1699177.00,5110439.00,10089274.00,21438.0667,15318.1333,29120.1429,16661.4286,5739647.00,7825710.00,623921,471246,20768.3333,36138.3333
2026-09-15,18524,15786,7322,8042,7908,6494,-423914.00,619247.00,4327432.00,12516800.00,21363.6667,15324.9333,31889.5714,17152.5714,7029589.00,6182428.00,619016,468860,18364,35758.6667
2026-09-14,42982,32490,18082,20623,19080,11190,3657062.00,71950.00,9209333.00,28636347.00,22103.9,14900.7667,27775.7143,14408.4286,13585618.00,17475730.00,605250,456225,11621.6667,28552.3333
2026-09-11,46909,14029,17800,23348,5988,6667,-3390652.00,-383480.00,3439778.00,50691162.00,21314.3333,15147.2,23458.1429,14572.1429,23813834.00,23943431.00,610096,458119,10152.6667,23433
2026-09-10,17385,8573,9475,7019,4309,3411,4537685.00,-451091.00,1653516.00,17356030.00,21731.8333,15563.6333,23086.2857,14644.4286,4852618.00,13782394.00,608258,454752,15250.6667,26013.6667
2026-09-09,21363,12263,9477,8198,3510,8142,-284642.00,-464277.00,3492140.00,14039313.00,21444.2,15438.6333,23060.4286,16195.7143,6345875.00,6525510.00,601531,448665,17571,31529.3333
2026-09-08,31551,9622,17403,13414,4319,4477,6587277.00,-1157033.00,3700507.00,36193657.00,20904.7333,15528.4667,20491,16306.2857,14867839.00,23246887.00,600000,440812,18790.6667,25740.6667
