date,quantity,price
2026-08-31,1264,317.76
2026-08-26,306,310.54
2026-08-24,1020,305.77
2026-08-20,81,310.79
2026-08-18,35326,311.98
2026-08-17,108,315.44
2026-08-14,82,312.67
2026-08-05,30,419.70
2026-07-17,55767,434.48
2026-07-13,121323,506.98
2026-07-10,44,520.43
2026-07-09,115,522.18
2026-07-06,24748,527.06
2026-07-02,2272,564.61
2026-06-30,6476,498.76
2026-06-29,2,477.08
2026-06-26,2426,445.93
2026-06-25,1213,464.96
2026-06-23,249,469.39
2026-06-22,800,469.71
2026-06-17,400,515.20
2026-06-16,4921,520.86
2026-06-12,1129,478.57
2026-06-10,2262,520.84
2026-06-08,2956,557.20
2026-06-05,187,558.87
2026-06-04,61,570.83
2026-06-03,1094,605.63
2026-06-02,661,613.70
2026-06-01,2214,613.09
2026-05-29,125226,599.89
2026-05-27,92649,514.24
2026-05-19,5244,492.38
2026-05-18,12003,501.00
2026-05-15,1700,485.16
2026-05-13,90,490.69
2026-05-08,3343,498.87
2026-05-07,5,468.83
2026-05-04,19644,460.00
2026-04-29,1,449.03
2026-04-27,20060,448.29
2026-04-21,1,490.96
2026-04-20,1913,477.20
2026-04-16,14257,464.63
2026-04-15,204,433.51
2026-04-14,10933,417.45
2026-04-13,1157,391.38
2026-04-10,100,379.14
2026-04-09,285,391.20
2026-04-07,6344,412.68
2026-04-01,15347,398.00
2026-03-30,13,381.20
2026-03-27,811,391.21
2026-03-25,27,435.91
2026-03-24,3863,458.95
2026-03-23,6363,442.39
2026-03-17,2,453.30
2026-03-16,21339,458.67
2026-03-13,12655,449.33
2026-03-09,4165,502.14
2026-03-06,200,508.56
2026-03-05,2,482.81
2026-03-03,4332,432.98
2026-03-02,161,434.77
2026-02-27,947,444.93
2026-02-26,170,421.63
2026-02-12,6464,456.81
2026-02-09,25,406.72
2026-02-02,16,473.11
2026-01-30,100,569.24
2026-01-29,87,542.36
2026-01-23,34204,521.94
2026-01-22,5363,532.56
2026-01-21,1388,565.52
2026-01-20,75710,568.76
2026-01-13,33,658.65
2026-01-12,50,647.72
2026-01-08,39,632.92
2026-01-02,1,673.82
2025-12-30,438,698.82
2025-12-24,667,728.45
2025-12-23,11,733.60
2025-12-22,3500,721.37
2025-12-18,93,657.13
2025-12-17,178,677.30
2025-12-15,200,670.67
2025-12-12,517,716.98
2025-12-09,15,689.76
2025-12-08,1073,691.94
2025-12-04,3406,662.21
2025-12-02,25171,623.59
2025-12-01,700,599.48
2025-11-28,102,586.37
2025-11-25,984,559.80
2025-11-24,500,520.26
2025-11-20,537,530.05
2025-11-10,6003,619.93
2025-11-05,3404,608.68
2025-11-04,4319,632.14
2025-10-31,63,620.62
2025-10-29,1459,626.82
2025-10-28,586,643.10
2025-10-27,1353,620.00
2025-10-23,427,564.82
2025-10-20,17994,599.31
2025-10-17,50,605.68
2025-10-15,832,590.03
2025-10-14,849,590.11
2025-10-10,18045,600.32
2025-10-09,4,629.70
2025-10-07,62939,587.00
2025-10-03,1526,683.64
2025-09-30,79,712.36
2025-09-29,685,669.86
2025-09-24,4534,651.18
2025-09-23,1733,643.50
2025-09-22,40872,649.59
2025-09-19,304389,621.52
2025-09-18,15,606.66
2025-09-15,978,582.00
2025-09-10,1853,558.17
2025-09-09,14,547.04
2025-09-08,28172,490.24
2025-09-04,361,487.35
2025-09-03,70,481.73
2025-09-02,1649,478.59
2025-08-29,56,483.75
2025-08-28,10,462.94
2025-08-27,31,469.33
2025-08-25,200,441.68
2025-08-18,5735,438.68
2025-08-12,85,465.58
2025-08-11,35753,455.98
2025-08-08,39,437.34
2025-08-04,925,379.17
2025-07-31,130,363.31
2025-07-30,5,361.63
2025-07-29,1,370.96
2025-07-28,428,364.14
2025-07-24,29,362.12
2025-07-17,28,355.50
2025-07-09,7588,344.75
2025-07-08,16,345.00
2025-07-07,9720,341.64
2025-07-03,338,336.00
2025-07-01,2893,350.08
2025-06-30,3802,333.78
2025-06-27,7210,347.45
2025-06-26,25,338.80
2025-06-25,77,349.48
2025-06-23,5705,324.70
2025-06-20,62,344.37
2025-06-18,540,360.45
2025-06-16,28221,364.49
2025-06-13,26962,380.58
2025-06-09,22944,417.89
2025-06-06,2094,414.14
2025-06-04,1902,398.51
2025-06-02,74,393.00
2025-05-30,260,384.23
2025-05-28,49632,380.91
2025-05-27,49,354.29
2025-05-21,110299,363.06
2025-05-19,1500,362.34
2025-05-16,6745,366.61
2025-05-15,335084,376.54
2025-05-12,2432,328.54
2025-05-09,33630,339.51
2025-05-08,39,303.46
2025-05-05,6,307.58
2025-05-02,15473,279.49
2025-05-01,7492,269.31
2025-04-28,509,276.83
2025-04-25,12511,267.88
2025-04-23,524,237.71
2025-04-21,384,238.22
2025-04-17,98,229.81
2025-04-16,8,245.47
2025-04-11,1361,263.83
2025-04-10,133,274.96
2025-04-09,1017,235.28
2025-04-08,13929,232.22
2025-04-07,186,219.37
2025-04-04,52,261.98
2025-03-31,1488,272.38
2025-03-28,2494,261.70
2025-03-27,14,327.62
2025-03-24,13473,314.03
2025-03-20,1,297.03
2025-03-18,2,306.85
2025-03-17,1400,292.89
2025-03-14,9,272.00
2025-03-13,58,272.59
2025-03-12,4810,257.76
2025-03-11,59577,238.08
2025-03-07,1654,259.63
2025-03-04,9259,337.34
2025-03-03,300,325.74
2025-02-26,506,377.06
2025-02-24,11214,415.31
2025-02-21,12031,450.01
2025-02-18,107,510.13
2025-02-14,15,471.67
2025-02-13,50,380.32
2025-02-12,67,375.25
2025-02-11,24,384.40
2025-02-05,744,380.26
2025-01-31,1,365.51
2025-01-30,1593,366.34
2025-01-23,88,361.72
2025-01-21,100,342.34
2025-01-16,33,335.03
2025-01-13,1,318.48
2025-01-09,2054,329.20
2025-01-07,728,354.93
2025-01-06,300,350.65
2024-12-31,47,335.38
2024-12-30,581,335.17
2024-12-26,1541,341.83
2024-12-23,2966,340.99
2024-12-20,123134,318.74
2024-12-19,542,313.07
2024-12-17,2027,343.96
2024-12-13,50,326.21
2024-12-12,13641,338.21
2024-12-10,143,342.54
2024-12-09,79045,401.50
2024-12-06,87,379.07
2024-12-05,5681,373.70
2024-12-03,418,340.59
2024-11-29,7771,328.56
2024-11-27,13541,329.77
2024-11-26,509,319.59
2024-11-25,1199422,333.31
2024-11-22,1771835,318.24
2024-11-21,3935,325.22
2024-11-20,108,321.19
2024-11-18,799,291.09
2024-11-13,19,289.03
2024-11-12,103,286.43
2024-11-08,201,246.53
2024-11-05,30,159.11
2024-11-04,3094,163.53
2024-10-28,2662,161.63
2024-10-24,163580,159.40
2024-10-22,6067,158.85
2024-10-16,598,143.81
2024-10-15,596,145.30
2024-10-11,1048,144.84
2024-10-03,236,131.36
2024-10-02,1694,130.65
2024-10-01,2158,130.55
2024-09-30,175,127.75
2024-09-27,1814,128.13
2024-09-24,672,126.12
2024-09-23,66702,126.09
2024-09-19,444,123.16
2024-09-18,12,123.64
2024-09-17,254,116.25
2024-09-16,434,112.58
2024-09-13,375,105.61
2024-09-12,2516,97.57
2024-09-05,72,87.88
2024-09-03,184,92.87
2024-08-23,87875,89.00
2024-08-21,271,86.58
2024-08-20,9913,85.82
2024-08-19,9008,86.35
2024-08-16,29189,85.58
2024-08-14,41,79.79
2024-08-12,121,77.38
2024-08-08,20276,67.19
2024-08-01,288,77.10
2024-07-22,3892,81.80
2024-07-19,4,80.93
2024-07-18,2919,80.19
2024-07-17,26,86.53
2024-07-15,3706,84.86
2024-07-12,2782,82.01
2024-07-08,643,86.80
2024-06-27,46105,80.48
2024-06-25,1176,78.05
2024-06-18,3283,78.46
2024-06-13,3126,76.54
2024-06-11,343,80.38
2024-05-31,267,82.50
2024-05-24,1095,79.26
2024-05-23,492567,80.00
2024-05-22,502385,84.00
2024-05-21,453539,84.57
2024-05-20,310,82.49
2024-05-16,188942,84.06
2024-05-14,1109,86.37
2024-05-10,100,84.69
2024-05-02,132,69.74
2024-04-30,37362,72.99
2024-04-26,2772,69.21
2024-04-23,263,67.85
2024-04-19,2,68.86
2024-04-18,101339,70.90
