date,quantity,price
2026-07-28,4113,301.75
2026-07-27,4833,303.74
2026-07-24,80,306.47
2026-07-23,1949,306.27
2026-07-22,80,305.16
2026-07-20,182,310.58
2026-07-17,9,310.57
2026-07-15,10434,305.16
2026-07-01,37,298.75
2026-06-15,78,287.78
2026-06-04,3309,286.63
2026-05-26,456,286.92
2026-05-15,9,308.40
2026-05-01,3,312.68
2026-04-06,47,297.00
2026-04-02,4,290.04
2026-03-23,3,275.88
2026-03-02,300,293.20
2026-02-24,8,280.82
2026-02-23,188,284.69
2026-02-09,213,265.98
2026-02-03,1112,261.38
2026-01-22,22,261.54
2026-01-20,91,264.08
2026-01-14,22978,254.08
2026-01-13,185,255.59
2025-12-29,6,240.83
2025-12-17,503,240.02
2025-12-03,49859,239.55
2025-12-01,1,227.56
2025-11-24,546,217.04
2025-11-13,1187,207.90
2025-11-12,1187,207.31
2025-10-29,1276,246.19
2025-10-28,1535,242.22
2025-10-27,236,245.36
2025-10-24,306,243.59
2025-10-21,1764,243.38
2025-10-20,21207,237.20
2025-10-15,92,235.99
2025-10-14,3355,236.97
2025-09-26,392,231.78
2025-09-22,3,234.56
2025-09-19,415,237.14
2025-09-18,11016,236.34
2025-09-17,265,235.41
2025-09-03,5268,240.87
2025-09-02,1,242.21
2025-08-25,197,248.49
2025-08-14,41,250.43
2025-07-31,3,230.93
2025-07-30,81,238.29
2025-07-25,90,230.93
2025-07-08,67,234.71
2025-06-26,294,228.45
2025-06-25,44,232.65
2025-06-09,172,225.98
2025-06-02,73,226.79
2025-05-29,16,226.81
2025-05-19,285,232.90
2025-05-13,884,228.54
2025-05-01,7,213.94
2025-04-11,11,194.06
2025-04-08,17,186.36
2025-04-03,698,205.93
2025-03-26,499,200.74
2025-03-18,37,193.80
2025-03-11,15,188.14
2025-03-06,627,202.21
2025-02-27,88,213.59
2025-02-24,3874,218.01
2025-02-20,137,219.80
2025-02-19,452,226.70
2025-02-07,84,236.85
2025-01-30,85,235.00
2025-01-27,749,239.74
2024-12-31,1412,230.16
2024-12-26,22,230.94
2024-12-11,12,242.11
2024-12-10,8511,240.86
2024-11-07,1730,259.67
2024-11-05,3,237.70
2024-11-04,10,233.00
2024-10-31,30,235.15
2024-10-09,607,251.43
2024-10-04,5547,243.60
2024-10-01,61,241.71
2024-09-26,12,245.76
2024-09-23,345,246.88
2024-09-17,3,244.30
2024-09-16,42,243.97
2024-09-10,39,234.83
2024-08-28,2,244.37
2024-08-20,16800,241.51
2024-08-19,94,236.65
2024-08-15,139,236.39
2024-08-14,95,234.35
2024-08-01,1860,238.73
2024-07-25,2,227.32
2024-07-11,35,223.53
2024-07-09,5,223.19
2024-07-01,1816,226.15
2024-06-27,17,227.98
2024-06-26,530,228.93
2024-06-25,13,227.99
2024-05-30,91,211.59
2024-05-29,19,214.59
2024-05-24,21,215.26
2024-05-21,96,214.08
2024-05-20,22,213.11
2024-05-13,18,211.34
2024-05-07,520,212.54
2024-05-06,6,207.35
2024-05-02,774,202.36
2024-04-25,207,196.00
2024-04-15,449,196.77
2024-03-21,354,193.35
2024-03-19,397,191.29
2024-03-18,11,187.84
2024-02-14,1,179.49
2024-02-12,30,179.88
2024-02-05,4580,172.87
2024-02-02,36124,172.62
2024-01-29,97,169.13
2024-01-25,2323,168.08
2024-01-22,9702,169.77
2023-12-27,28,178.50
2023-12-20,1539,178.07
2023-11-17,351,164.14
2023-11-09,404,155.69
2023-11-03,38,155.04
2023-11-01,408,153.67
2023-10-30,14720,151.02
2023-10-11,91,165.31
2023-10-02,512,167.36
2023-09-29,4725,168.13
2023-09-27,372,164.28
2023-09-26,1112,169.02
2023-09-22,37,167.20
2023-09-20,371,169.39
2023-09-13,60,167.22
2023-09-11,70,165.35
2023-09-07,10,167.63
2023-08-28,1563,169.98
2023-08-25,81,168.76
2023-08-24,280,171.73
2023-08-23,285,170.43
2023-08-21,50,171.53
2023-08-17,99,172.73
2023-08-15,100,177.72
2023-08-11,35,172.71
2023-08-10,1833,174.29
2023-08-09,1242,170.79
2023-08-08,8,168.89
2023-08-07,69,167.13
2023-08-04,1234,167.28
2023-08-01,92,166.26
2023-07-31,135,165.19
2023-07-26,21,170.00
2023-07-21,213,170.08
2023-07-17,7,165.27
2023-07-12,323,168.08
2023-07-11,385,171.87
2023-07-10,161,167.68
2023-07-06,40,165.02
2023-06-26,162,155.42
2023-06-22,128,159.54
2023-06-20,504,156.67
2023-06-13,111,157.62
2023-06-12,110,156.38
2023-06-08,36,156.08
