date,quantity,price
2026-08-28,50735,23.28
2026-08-26,388,23.47
2026-08-25,16441,24.16
2026-08-24,103250,23.95
2026-08-21,374703,23.77
2026-08-20,101020,23.81
2026-08-19,13420,22.86
2026-08-18,22374,22.68
2026-08-17,42779,23.17
2026-08-14,49607,23.28
2026-08-13,221721,22.60
2026-08-12,7601,22.72
2026-08-11,136562,22.42
2026-08-10,16738,23.05
2026-08-07,3991,22.56
2026-08-06,18563,23.05
2026-08-05,109000,22.76
2026-08-04,5047,22.37
2026-08-03,1440,21.98
2026-07-31,18333,22.08
2026-07-28,10678,22.37
2026-07-27,99645,21.84
2026-07-24,190933,21.41
2026-07-22,104,22.34
2026-07-21,1065,22.09
2026-07-20,98556,22.08
2026-07-17,49516,22.65
2026-07-16,26797,21.89
2026-07-14,46,22.15
2026-07-13,965,22.07
2026-07-10,170799,21.47
2026-07-09,3,21.99
2026-07-08,1351,22.90
2026-07-07,17051,22.66
2026-07-06,28954,23.32
2026-07-02,901760,23.47
2026-07-01,439658,22.27
2026-06-30,812551,23.01
2026-06-29,61972,22.73
2026-06-26,13901,22.35
2026-06-25,146124,22.24
2026-06-24,3406365,21.21
2026-06-23,12076658,20.40
2026-06-22,13911284,21.15
2026-06-18,500837,21.11
2026-06-17,43362,21.77
2026-06-16,86770,22.31
2026-06-15,78660,22.81
2026-06-12,62191,22.73
2026-06-11,6977,22.88
2026-06-10,884,22.13
2026-06-09,2967,21.49
2026-06-08,3651,21.68
2026-06-05,21510,21.55
2026-06-04,314240,20.99
2026-06-03,84597,20.99
2026-06-02,234715,21.08
2026-06-01,118616,21.11
2026-05-29,495,20.80
2026-05-28,3768,20.50
2026-05-27,9240,20.13
2026-05-26,61536,20.58
2026-05-22,151163,20.05
2026-05-21,2523,20.00
2026-05-20,28761,20.21
2026-05-19,50144,20.34
2026-05-15,263877,20.12
2026-05-14,72209,20.35
2026-05-08,114149,21.25
2026-05-07,32104,20.96
2026-05-06,302,20.91
2026-05-05,83136,20.50
2026-05-04,149168,20.73
2026-05-01,224,20.79
2026-04-29,3370,20.54
2026-04-28,51002,20.55
2026-04-27,275,20.62
2026-04-24,348851,20.96
2026-04-22,321,20.91
2026-04-21,831,21.26
2026-04-20,7122,20.99
2026-04-17,10608,20.94
2026-04-16,20,20.49
2026-04-15,3,20.00
2026-04-14,2,20.17
2026-04-13,20961,20.43
2026-04-10,298898,20.79
2026-04-09,94329,20.69
2026-04-08,6,20.88
2026-04-07,15,22.02
2026-04-02,639233,22.38
2026-04-01,364360,22.27
2026-03-31,122076,22.18
2026-03-30,538247,21.99
2026-03-27,149511,20.95
2026-03-25,460686,20.91
2026-03-24,1193,21.00
2026-03-23,199479,21.07
2026-03-19,74320,21.08
2026-03-17,114773,21.39
2026-03-13,138361,21.65
2026-03-11,4453,24.68
2026-03-10,25167,25.29
2026-03-09,2564,25.80
2026-03-06,297518,25.06
2026-03-05,2764,25.09
2026-02-27,31,26.86
2026-02-26,13400,26.49
2026-02-20,32250,26.96
2026-02-18,161434,27.77
2026-02-17,10600,29.49
2026-02-13,4868,29.02
2026-02-12,620,29.32
2026-02-11,167,29.15
2026-02-10,55692,28.93
2026-02-09,51,28.83
2026-02-06,12197,28.71
2026-02-05,19673,28.43
2026-02-04,10154,26.90
2026-02-02,1946,27.98
2026-01-30,5007,27.01
2026-01-29,119,26.98
2026-01-28,449028,27.37
2026-01-26,205,26.79
2026-01-22,355,26.20
2026-01-13,1233,26.39
2026-01-09,82195,26.46
2026-01-08,72976,26.26
2026-01-07,133927,27.01
2026-01-06,69772,26.67
2026-01-05,91320,27.71
2026-01-02,71700,27.87
2025-12-22,49946,28.58
2025-12-19,32016,28.69
2025-12-16,23854,28.27
2025-12-15,1974,28.74
2025-12-11,224247,28.18
2025-12-09,10735,30.04
2025-12-05,836,29.36
2025-12-03,78,29.89
2025-11-24,238015,31.66
2025-11-21,13030,30.80
2025-11-19,22907,31.03
2025-11-18,2369,30.73
2025-11-17,3200,31.29
2025-11-13,240,31.17
2025-11-12,29229,31.55
2025-11-07,3454,30.06
2025-10-22,3191,31.07
2025-10-21,175,31.02
2025-10-20,155,30.86
2025-10-09,240,30.49
2025-10-02,494277,31.99
2025-10-01,364279,31.58
2025-09-29,442552,32.08
2025-09-22,160002,33.43
2025-09-19,32744,33.57
2025-09-12,123964,33.76
2025-09-11,5389,33.49
2025-09-10,4,33.74
2025-09-08,282517,34.03
2025-09-03,28356,31.46
2025-08-29,2762,31.64
2025-08-18,25960,32.51
2025-08-08,293,32.91
2025-08-07,667,32.69
2025-08-06,377,32.63
2025-08-05,2,32.29
2025-08-04,77,32.33
2025-08-01,300755,31.92
2025-07-31,366941,32.09
2025-07-30,12695,32.85
2025-07-29,17282,32.24
2025-07-25,3081,32.76
2025-07-24,4850,33.31
2025-07-23,2729,32.21
2025-07-22,2798,30.79
2025-07-21,3157,30.98
2025-07-07,61,31.25
2025-07-03,3317,31.94
2025-07-02,101979,31.69
2025-07-01,16417,30.65
2025-06-30,98,30.79
2025-06-26,33,31.18
2025-06-23,520,31.84
2025-06-18,34,31.82
2025-06-10,1179,34.27
2025-06-09,1917,34.48
2025-06-05,25,34.28
2025-05-29,17,33.79
2025-05-27,67063,33.50
2025-05-01,1298,36.46
2025-04-30,382,36.04
