date,quantity,price
2026-08-27,12262,144.84
2026-08-24,7164,153.05
2026-08-11,34,142.22
2026-08-10,100,134.74
2026-08-03,100,148.69
2026-07-29,162671,139.64
2026-07-28,353,140.31
2026-07-24,110,145.49
2026-07-16,5952,137.47
2026-07-01,297,129.73
2026-06-22,1900,129.98
2026-06-12,67312,136.53
2026-06-05,3686,140.88
2026-05-21,1733,141.63
2026-05-20,270,144.30
2026-05-19,1332,142.99
2026-05-18,60,140.26
2026-05-14,4123,134.93
2026-05-13,16785,134.13
2026-05-11,43922,130.03
2026-05-04,979,138.95
2026-04-29,42,135.78
2026-04-28,401,133.22
2026-04-21,104,129.16
2026-04-16,200,132.39
2026-04-15,5913,133.59
2026-04-10,6007,136.58
2026-04-09,38,139.05
2026-04-01,11450,144.57
2026-03-30,25419,149.56
2026-03-25,54,142.53
2026-03-24,492,139.68
2026-03-23,6235,138.73
2026-03-20,32604,138.82
2026-03-13,101384,133.04
2026-03-12,30290,132.51
2026-03-10,25849,131.67
2026-03-09,56990,131.41
2026-03-05,52,127.82
2026-03-03,330,128.65
2026-02-23,100,123.08
2026-02-12,6826,118.22
2026-02-02,344,112.13
2026-01-30,3366,112.08
2026-01-21,20608,106.21
2026-01-16,14500,108.02
2026-01-15,2500,110.74
2026-01-12,69,104.92
2026-01-08,4609,102.55
2025-12-29,3,103.50
2025-12-23,675,103.42
2025-12-22,13113,101.93
2025-12-17,11324,101.78
2025-11-24,1000,106.97
2025-11-17,58,110.40
2025-11-12,540,109.34
2025-11-07,2190,105.00
2025-10-22,471,106.04
2025-10-17,30997,107.25
2025-09-17,7463,120.84
2025-09-09,34641,117.65
2025-08-29,3113,124.34
2025-08-25,3776,121.11
2025-08-21,33,118.36
2025-08-12,44302,116.84
2025-08-06,39800,117.78
2025-08-04,5,116.60
2025-07-31,106,121.24
2025-07-29,27782,121.65
2025-07-24,122,118.88
2025-07-15,48072,122.60
2025-07-14,259,123.04
2025-07-10,47423,121.89
2025-07-09,424,123.95
2025-07-08,85,119.61
2025-07-02,46154,121.19
2025-07-01,32,119.61
2025-06-23,48220,125.32
2025-06-18,592,124.64
2025-06-13,121,120.59
2025-06-05,1006,110.77
2025-05-22,135,111.38
2025-05-19,100,115.50
2025-05-13,188,114.06
2025-05-12,100,111.12
2025-05-09,456452,109.71
2025-05-07,71,108.72
2025-05-01,15,110.33
2025-04-25,9227,113.46
2025-04-21,4226,110.50
2025-04-03,12,129.97
2025-03-31,36,126.59
2025-03-27,165,129.18
2025-03-25,422,128.27
2025-03-24,1857,125.17
2025-03-21,23,124.30
2025-03-12,4,124.49
2025-03-11,19,125.89
2025-03-10,1034,125.26
2025-03-07,570,122.19
2025-03-05,233,122.11
2025-03-04,333,120.54
2025-02-28,1,130.61
2025-02-25,7,133.63
2025-02-21,244,135.67
2025-02-19,31,130.94
2025-02-18,1602,129.31
2025-02-14,87712,129.02
2025-02-07,2407,126.68
2025-02-04,77,126.40
2025-01-31,150,129.78
2025-01-17,58816,138.05
2025-01-08,18026,127.56
2024-12-31,5036,120.58
2024-12-26,3029,120.83
2024-12-19,1245,119.63
2024-12-17,100,124.62
2024-12-02,1610,133.26
2024-11-29,8310,133.09
2024-11-14,9387,134.35
2024-11-13,100,133.13
2024-11-12,111,133.10
2024-11-08,28,126.46
2024-11-04,503,120.84
2024-10-29,17,122.07
2024-10-17,918,127.36
2024-10-16,170,127.28
2024-10-15,37328,131.47
2024-09-18,46,123.19
2024-09-11,212,118.97
2024-09-09,83,120.35
2024-08-27,26628,130.06
2024-08-26,22508,126.90
2024-08-12,78,126.53
2024-08-08,3346,123.12
2024-08-06,30401,123.12
2024-08-05,88,122.92
2024-08-01,4873,126.80
2024-07-31,794,126.15
2024-07-30,77,125.18
2024-07-29,2022,127.15
2024-07-26,20,127.04
2024-07-22,75768,129.25
2024-07-17,2211,131.52
2024-07-16,1727,132.65
2024-07-15,111,128.95
2024-07-11,16250,126.22
2024-07-10,392,125.67
2024-07-09,432,125.63
2024-07-05,416,126.77
2024-07-02,18142,126.54
2024-06-27,1710,124.58
2024-06-26,74,125.55
2024-06-25,18667,125.30
2024-06-21,11898,121.99
2024-06-17,52,118.24
2024-06-11,377,121.59
2024-06-10,31,120.19
2024-06-07,31,121.21
2024-06-06,4221,120.31
2024-06-05,495,119.80
2024-06-04,793,119.64
2024-05-30,301,121.92
2024-05-28,39,123.27
2024-05-23,322,126.05
2024-05-22,304,128.90
2024-05-14,3367,129.40
2024-05-02,3396,129.95
2024-05-01,3139,132.13
2024-04-30,2641,136.25
2024-04-26,583,135.36
2024-04-19,3657,131.76
2024-04-18,404,132.40
2024-04-16,1795,132.39
2024-04-10,118881,137.06
2024-04-09,1231,135.45
2024-04-08,24022,135.94
2024-04-04,17,133.78
2024-04-03,37,132.24
2024-04-02,100,129.76
2024-04-01,261,127.84
2024-03-27,146,125.78
2024-03-25,40796,124.84
2024-03-21,23131,125.70
2024-03-19,1100,123.57
2024-03-13,5,120.84
2024-03-11,15084,118.72
2024-03-07,22197,116.49
2024-03-06,767,116.20
2024-03-01,14029,114.46
2024-02-26,43243,111.86
2024-02-23,66640,116.40
2024-02-22,113,116.36
2024-02-09,6,113.06
2024-02-06,3329,109.65
2024-02-01,1,113.79
2024-01-24,4137,110.37
2024-01-16,227,116.05
2024-01-09,70,117.77
2024-01-05,104,121.02
2024-01-03,140,121.60
2023-12-22,1,121.08
2023-12-18,328,120.11
2023-12-15,26183,120.60
2023-12-13,134,117.67
2023-12-12,3209,119.20
2023-12-07,9537,119.75
2023-12-06,69460,121.95
2023-11-30,1,123.24
2023-11-21,62064,125.23
2023-11-16,82324,123.07
2023-11-13,3488,122.70
2023-11-06,10,128.16
2023-11-02,629,124.22
2023-10-25,126,129.94
2023-10-24,24935,131.64
2023-10-23,23,133.23
2023-10-18,674,134.30
2023-10-17,1756,134.03
