date,quantity,price
2026-07-30,178,1008.02
2026-07-27,81,1084.24
2026-07-20,49,1020.00
2026-07-09,15,1015.97
2026-07-08,118,1022.93
2026-07-02,7320,1013.62
2026-06-30,510,1085.17
2026-06-25,45,1095.00
2026-06-22,5875,1092.19
2026-06-15,594,1055.85
2026-06-09,1255,1062.74
2026-06-04,57,1077.00
2026-06-03,1048,1071.80
2026-05-29,1231,1069.44
2026-05-19,26940,1062.62
2026-05-18,7938,1059.44
2026-05-15,2061,1079.68
2026-05-14,74,1077.28
2026-05-13,2144,1080.63
2026-05-12,790,1086.22
2026-05-01,1,1082.83
2026-04-22,2,1094.34
2026-04-20,15600,1088.62
2026-04-15,3,1057.37
2026-04-09,25,1017.66
2026-04-07,390,1016.08
2026-04-06,57,1000.37
2026-03-31,537,964.05
2026-03-25,11,964.53
2026-03-19,1,973.56
2026-03-10,20473,944.91
2026-03-09,62716,937.20
2026-03-06,75760,953.00
2026-03-05,33575,969.04
2026-03-03,2,966.10
2026-02-26,8,960.52
2026-02-25,3604,951.90
2026-02-23,12181,928.11
2026-02-19,2596,924.24
2026-02-17,11456,956.19
2026-02-13,107,957.87
2026-02-09,4,848.12
2026-01-15,1,799.02
2025-12-30,2,765.00
2025-12-22,58195,758.51
2025-12-17,128,758.15
2025-12-15,73,750.32
2025-12-10,10,740.67
2025-12-05,120,726.09
2025-12-04,1595,732.72
2025-12-03,1611,727.38
2025-12-02,2856,733.28
2025-12-01,2,753.31
2025-11-25,4,760.62
2025-11-21,38,752.81
2025-11-14,6,786.54
2025-11-06,6,822.12
2025-11-03,101,846.01
2025-10-28,951,842.77
2025-10-27,951,839.49
2025-10-22,19,822.00
2025-10-17,12,812.77
2025-09-29,23,790.34
2025-09-23,5,798.07
2025-09-12,38,797.48
2025-09-08,111,773.68
2025-09-05,109,767.93
2025-08-28,101,790.56
2025-08-18,319,781.31
2025-08-15,51,775.37
2025-08-11,606,776.20
2025-08-04,48,771.75
2025-07-28,6,801.43
2025-07-25,2578,789.54
2025-07-23,367,800.55
2025-07-21,129,777.78
2025-07-17,68,765.64
2025-07-14,41,756.70
2025-07-11,3,758.89
2025-06-27,850,745.53
2025-06-17,112,888.15
2025-06-13,21,896.42
2025-06-09,14,914.43
2025-06-05,2488,912.20
2025-06-04,1519,894.84
2025-06-03,36,890.49
2025-05-28,289,876.81
2025-05-16,52,867.24
2025-05-13,4,870.47
2025-05-08,1,872.48
2025-04-28,10,838.10
2025-04-25,3532,817.19
2025-04-23,44,791.12
2025-04-22,38,773.20
2025-04-10,528,797.43
2025-04-08,5,747.74
2025-04-03,6,831.55
2025-03-26,118,841.22
2025-03-21,986,851.72
2025-03-18,84,857.25
2025-03-13,43,854.99
2025-03-11,122,830.63
2025-02-28,8808,910.38
2025-02-21,15509,940.25
2025-02-20,21732,939.08
2025-02-19,22562,931.90
2025-02-14,56773,923.00
2025-01-31,65,922.13
2025-01-30,10,908.23
2025-01-29,803,906.81
2025-01-27,857,940.85
2025-01-22,2965,934.00
2025-01-21,1,915.59
2025-01-10,16,951.04
2025-01-07,6,940.00
2024-12-31,286,935.93
2024-12-03,30335,964.84
2024-12-02,101,981.48
2024-11-27,137,978.26
2024-11-13,317,903.02
2024-11-08,65,907.74
2024-11-07,109,890.82
2024-10-30,3114,905.91
2024-10-25,285,895.76
2024-10-24,709,891.16
2024-10-23,56,878.37
2024-10-17,15,880.20
2024-10-15,3511,866.02
2024-10-11,633,870.54
2024-10-03,16,886.60
2024-10-02,120,883.00
2024-09-30,1026,882.69
2024-09-27,851,878.98
2024-09-16,114,871.54
2024-09-12,20,867.70
2024-09-10,16499,831.80
2024-09-09,51,817.96
2024-09-06,39,821.74
2024-09-05,22131,827.59
2024-08-23,16990,818.95
2024-08-21,16,829.84
2024-08-12,8,818.88
2024-08-09,123,809.48
2024-08-07,163,784.61
2024-08-01,90,790.24
2024-07-29,7,772.43
2024-07-24,6,802.97
2024-07-23,303,798.86
2024-07-12,51,797.80
2024-07-11,29,775.96
2024-07-10,38,766.83
2024-07-01,3,756.60
2024-06-27,280,741.87
2024-06-24,4,765.00
2024-06-18,643,762.38
2024-05-29,2,768.71
2024-05-21,54,795.28
2024-05-20,3,799.83
2024-05-14,15,776.89
2024-05-02,10661,695.33
2024-04-24,5,761.90
2024-04-22,135,748.00
2024-04-19,860,739.85
2024-04-02,1778,800.05
2024-03-28,68,815.31
2024-02-28,174,873.05
2024-02-26,69,882.29
2024-02-23,115,880.82
2024-02-22,117,864.73
2024-02-21,480,854.74
2024-02-16,19892,874.97
2024-02-12,1718,855.76
