date,quantity,price
2026-08-21,21040,136.40
2026-08-20,15,138.17
2026-08-18,32768,143.82
2026-08-17,10,150.29
2026-08-06,4,143.03
2026-07-31,270,137.55
2026-07-30,5,144.36
2026-07-28,54128,150.30
2026-07-24,12,154.79
2026-07-17,158997,152.43
2026-07-16,15807,141.80
2026-07-15,42,144.75
2026-07-14,168555,148.37
2026-07-13,84,149.53
2026-07-10,37,154.25
2026-07-09,52,143.30
2026-07-08,51,144.72
2026-07-07,51,152.68
2026-07-06,39,150.81
2026-07-02,44,155.77
2026-07-01,601,151.00
2026-06-30,4894,149.69
2026-06-29,6914492,153.89
2026-06-26,1,158.53
2026-06-25,68,160.45
2026-06-24,46,166.47
2026-06-23,57,160.94
2026-06-22,51702,162.85
2026-06-17,209,163.84
2026-06-16,25,167.16
2026-06-15,25,174.76
2026-06-12,269,180.00
2026-06-11,141,175.35
2026-06-10,181,188.46
2026-06-09,15,178.77
2026-06-08,49,167.84
2026-06-05,113,157.71
2026-06-04,256,152.00
2026-06-03,11137,153.34
2026-06-02,725670,149.53
