symbol,short_interest,market_date,short_shares_available,total_float,si_float,si_float_with_synth_long_pct_of_total_shares,days_to_cover,fee_rate,rebate_rate
DT,12030854,2026-08-31,8400000.0,289002128,0.04162894606782964587720959619,0.03996523543722528051760122417,1.54,0.2782,3.3518
DT,9198695,2026-08-14,10000000.0,289002128,0.03182916009531943654061952097,0.03084731593782355188201475889,1.22,0.4148,3.2152
DT,11518906,2026-07-31,10000000.0,289002128,0.03985751274468124331596617171,0.03832978293293107729690561360,2.87,0.4041,3.2259
DT,11237295,2026-07-15,8200000.0,291475733,0.03855310658057423943419673980,0.03712194045378185705307668489,2.48,0.4078,3.2122
DT,10387118,2026-06-30,7200000.0,291475733,0.03563630458388794925854084738,0.03441005730115495397610221339,1.50,0.4092,3.2108
DT,9051005,2026-06-15,8300000.0,291475733,0.03105234493054692824119255238,0.03011713719795541120870250154,1.81,0.3955,3.2245
DT,8580583,2026-05-29,9900000.0,291475733,0.02943841297416001351989052207,0.02859657518423974784786733168,1.60,0.3576,3.2624
DT,10153252,2026-05-15,10000000.0,291475733,0.03483395305502156503711408455,0.03366139364888954554549855346,1.31,0.4058,3.2242
DT,11225176,2026-04-30,10000000.0,298251114,0.03763666076365434799348310230,0.03627152180220332872673379922,1.67,0.4089,3.2311
DT,9859626,2026-04-15,9300000.0,298251114,0.03305813637296254994038345822,0.03200026717666511722376182018,1.72,0.3896,3.2404
DT,8595415,2026-03-31,6800000.0,298251114,0.02881938942229734638979420543,0.02801209786537947118182979349,1.00,0.3968,3.2432
DT,7971056,2026-03-13,7800000.0,298251114,0.02672598902681718063926493834,0.02603030342316495242653397695,1.21,0.3757,3.2644
DT,9207674,2026-02-27,5900000.0,298251114,0.03087221997769302548187632251,0.02994766895392822533340631005,1.08,1.4295,2.2105
DT,8724608,2026-02-13,2800000.0,298251114,0.02925255796362256001498120138,0.02842116615332856843968918167,1.00,0.3821,3.2479
DT,9450260,2026-01-30,5600000.0,298251114,0.03168558156667941230221188713,0.03071244004259792483084589671,1.76,0.3883,3.2517
DT,8056140,2026-01-15,3900000.0,298251114,0.02701126541307738418036554257,0.02630084627378756103503836706,2.13,0.3865,3.2435
DT,7491979,2025-12-31,3500000.0,301488271,0.02484998496011143332338789392,0.02424743652709194196069166233,2.45,0.2915,3.3485
DT,7291148,2025-12-15,4000000.0,301488271,0.02418385291015185131364529932,0.02361280432359385973195318435,2.43,0.3384,3.3016
DT,6771251,2025-11-28,3600000.0,301488271,0.02245941766669921298530382961,0.02196607247058535307791724922,1.85,0.3202,3.5598
DT,6570515,2025-11-14,3600000.0,301488271,0.02179360072020844883879413007,0.02132877002248525383723352075,1.27,0.2500,3.6200
DT,6563609,2025-10-31,3600000.0,301488271,0.02177069435646469974946388545,0.02130682987553914619836113320,2.80,0.3738,3.4962
DT,7619688,2025-10-15,5200000.0,301488271,0.02527358021168259643506994008,0.02465057200290336102280692164,2.85,0.2601,3.8399
DT,7377947,2025-09-30,5700000.0,301488271,0.02447175465741418511103538088,0.02388719312773791272958184116,2.25,0.2500,3.8400
DT,7246619,2025-09-15,5600000.0,301506242,0.02403472296935066438856678795,0.02347061328121587835262196971,1.97,0.2500,4.0800
DT,7910925,2025-08-29,4700000.0,301506242,0.02623801400436678189899630668,0.02556718192691616234725592973,2.58,0.3413,3.9887
DT,7269399,2025-08-15,5100000.0,301506242,0.02411027696070053501578915902,0.02354265698050967692752680578,1.70,0.3483,3.9817
DT,7090510,2025-07-31,4800000.0,301506242,0.02351695922766335298623767796,0.02297661901509579076840056956,3.19,0.2500,4.0800
