symbol,short_interest,market_date,short_shares_available,total_float,si_float,si_float_with_synth_long_pct_of_total_shares,days_to_cover,fee_rate,rebate_rate
ELAN,30920811,2026-08-31,3700000.0,499621830,0.06188843069567236483642037819,0.05828148128059701048609964604,6.43,0.4135,3.2165
ELAN,29719014,2026-08-14,4600000.0,499621830,0.05948301738536925017868014294,0.05614343638292910569357085168,2.49,0.4115,3.2185
ELAN,36003865,2026-07-31,3900000.0,499621830,0.07206223354972299749192304107,0.06721833051717207106727768167,7.31,0.4145,3.2155
ELAN,35819082,2026-07-15,1400000.0,499449583,0.07171711263597150705800068713,0.06691795044643609018286172235,8.43,0.4041,3.2159
ELAN,35223208,2026-06-30,1400000.0,499449583,0.07052405127345956758962796051,0.06587806335557479303262319926,6.91,0.4028,3.2172
ELAN,35572526,2026-06-15,1900000.0,499449583,0.07122345720328692315676635573,0.06648795517345620571354743772,6.41,0.4027,3.2173
ELAN,33151799,2026-05-29,1600000.0,499449583,0.06637666769260271862115059569,0.06224504877458241368213347971,4.38,0.4081,3.2119
ELAN,31873775,2026-05-15,1500000.0,499449583,0.06381780280713539008000333039,0.05998941044108962361861757262,3.93,0.2500,3.3800
ELAN,24342462,2026-04-30,2900000.0,499449583,0.04873857708276432778601398892,0.04647352366720269682598940578,5.82,0.2656,3.3744
ELAN,24563390,2026-04-15,2600000.0,497168077,0.04940661143856989836457259101,0.04708052236381594365286769257,5.72,0.2551,3.3749
ELAN,25535642,2026-03-31,1700000.0,497168077,0.05136219154312274961290404814,0.04885299467325963295853267116,3.46,0.2891,3.3510
ELAN,17135901,2026-03-13,3400000.0,497168077,0.03446701788135926514847412458,0.03331862426310068323056991793,4.81,0.2891,3.3510
ELAN,15072733,2026-02-27,3600000.0,497168077,0.03031717782636313553977440913,0.02942509207729856588349530370,2.88,0.2891,3.3510
ELAN,18414142,2026-02-13,3500000.0,497168077,0.03703806187861896853043523146,0.03571523865915166480944914045,4.03,0.2500,3.3800
