symbol,short_interest,market_date,short_shares_available,total_float,si_float,si_float_with_synth_long_pct_of_total_shares,days_to_cover,fee_rate,rebate_rate
FAF,5999799,2026-08-31,2200000.0,102100000,0.05876394711067580803134182174,0.05550240662334626542645097795,9.95,0.2782,3.3518
FAF,5567312,2026-08-14,2000000.0,102100000,0.05452803134182174338883447600,0.05170847025511326966164066583,8.86,0.2782,3.3518
FAF,5965079,2026-07-31,1600000.0,102100000,0.05842388834476003917727717924,0.05519895099507584684225326851,6.86,0.2802,3.3498
FAF,6558825,2026-07-15,1700000.0,102100000,0.06423922624877571008814887365,0.06036164112763045247360258129,8.34,0.4081,3.2119
FAF,6414402,2026-06-30,1400000.0,101900000,0.06294800785083415112855740922,0.05922021339322909247100861066,4.99,0.4080,3.2120
FAF,5698585,2026-06-15,2000000.0,101900000,0.05592330716388616290480863592,0.05296152361111440266616889060,5.28,0.4084,3.2116
FAF,4944079,2026-05-29,1800000.0,101900000,0.04851893032384690873405299313,0.04627377620055108528756188726,5.60,0.4081,3.2119
FAF,4288305,2026-05-15,2400000.0,101900000,0.04208346418056918547595682041,0.04038396695379966748692334810,5.57,0.3246,3.3054
FAF,3960261,2026-04-30,2800000.0,101900000,0.03886419038272816486751717370,0.03741027050745699559535376547,4.08,0.3741,3.2659
FAF,3973557,2026-04-15,2800000.0,101900000,0.03899467124631992149165848871,0.03753115615072798583691676667,3.91,0.3594,3.2706
FAF,3828859,2026-03-31,1800000.0,101900000,0.03757467124631992149165848871,0.03621394419852766972544364637,3.12,0.4081,3.2319
FAF,3749445,2026-03-13,2000000.0,101900000,0.03679533856722276741903827282,0.03548949073987090041031450757,4.38,0.4081,3.2319
FAF,3808352,2026-02-27,2100000.0,101900000,0.03737342492639842983316977429,0.03602697353563888688757535450,3.49,0.3817,3.2583
FAF,3628887,2026-02-13,2500000.0,101900000,0.03561223748773307163886162905,0.03438761748714359130879490845,3.27,0.4081,3.2219
FAF,3231362,2026-01-30,2600000.0,101900000,0.03171110893032384690873405299,0.03073642287636300193656770089,2.67,0.4081,3.2319
FAF,2653192,2026-01-15,2300000.0,101900000,0.02603721295387634936211972522,0.02537648013654140755453932004,2.69,0.4081,3.2219
FAF,2127545,2025-12-31,2700000.0,101900000,0.02087875368007850834151128557,0.02045174669843453481479352416,3.31,0.4069,3.2331
FAF,2147479,2025-12-15,2600000.0,101900000,0.02107437684003925417075564279,0.02063941405057973581464669605,4.29,0.4081,3.2319
FAF,2100918,2025-11-28,1800000.0,101900000,0.02061744847890088321884200196,0.02020095630309724766083314765,4.61,0.4004,3.4796
FAF,2106471,2025-11-14,2500000.0,101900000,0.02067194308145240431795878312,0.02025326866440839051254801252,2.91,0.3540,3.5160
FAF,2176203,2025-10-31,2300000.0,101900000,0.02135626104023552502453385672,0.02090970786088343365101434379,2.48,0.4107,3.4593
FAF,1751938,2025-10-15,3200000.0,101900000,0.01719271835132482826300294406,0.01690212487874563425914911499,3.00,0.3576,3.7424
FAF,2265336,2025-09-30,2600000.0,101900000,0.02223097154072620215897939156,0.02174750341130757740751683458,2.98,0.5759,3.5141
FAF,1886791,2025-09-15,2200000.0,101800000,0.01853429273084479371316306483,0.01819702376554406047728876092,2.64,0.4081,3.9219
FAF,2162894,2025-08-29,2600000.0,101800000,0.02124650294695481335952848723,0.02080448049089514572381950045,4.53,0.4054,3.9246
FAF,2149095,2025-08-15,2600000.0,101800000,0.02111095284872298624754420432,0.02067449456871173337295529124,3.28,0.3594,3.9706
