symbol,short_interest,market_date,short_shares_available,total_float,si_float,si_float_with_synth_long_pct_of_total_shares,days_to_cover,fee_rate,rebate_rate
HMC,2110842,2026-08-31,850000.0,1297526813,0.001626819560760784062502452502,0.001624177317330806331554005335,2.42,0.4490,3.1810
HMC,2561074,2026-08-14,800000.0,1297526813,0.001973812004762016428557611626,0.001969923745624437157762704392,2.16,0.3704,3.2596
HMC,2259803,2026-07-31,650000.0,3892580441,0.0005805411177114836661637534031,0.0005802042852672136454385470297,1.96,0.3928,3.2372
HMC,2081567,2026-07-15,2500000.0,3892580441,0.0005347524685874564820586067370,0.0005344666612209908613974904905,1.44,0.4920,3.1280
HMC,1744187,2026-06-30,1300000.0,3892580441,0.0004480798859360039619538333903,0.0004478792002750316171125320989,1.00,0.6512,2.9688
HMC,2370684,2026-06-15,3500000.0,3892580441,0.0006090263350835143344954191019,0.0006086556477650281170087853156,1.09,1.7512,1.8688
HMC,2379856,2026-05-29,2300000.0,4346509571,0.0005475326721649130817018049079,0.0005472330441939286399796524420,1.13,0.8556,2.7644
HMC,3326429,2026-05-15,2100000.0,4346509571,0.0007653104049727629139965834899,0.0007647251528563375722670923685,1.81,0.6281,3.0019
HMC,2127086,2026-04-30,1800000.0,4346509571,0.0004893779629963225956968679593,0.0004891385893498436744654429288,1.20,2.0932,1.5468
HMC,3057511,2026-04-15,1300000.0,4346509571,0.0007034405308571676443226679369,0.0007029460501145111434333776761,1.44,1.2700,2.3600
HMC,2023048,2026-03-31,1400000.0,4346509571,0.0004654419752110560807505466781,0.0004652254397634541464618136282,1.22,7.4849,-3.8449
HMC,2637763,2026-03-13,1100000.0,4346509571,0.0006068692492015221194597479928,0.0006065011822843893565827862110,1.24,0.6980,2.9420
HMC,2359806,2026-02-27,950000.0,4346509571,0.0005429197753859035503317887437,0.0005426251734486160907288156519,3.03,0.5963,3.0437
HMC,2654096,2026-02-13,950000.0,4346509571,0.0006106269770365127766101955743,0.0006102543392740984194375686161,1.90,0.6842,2.9458
HMC,2533548,2026-01-30,200000.0,4346509571,0.0005828925390855880390743996362,0.0005825529733038271125037332609,2.56,0.5720,3.0680
HMC,2679145,2026-01-15,300000.0,4346509571,0.0006163899920698000460010950704,0.0006160102894923449442702913515,2.23,0.5128,3.1172
HMC,2256648,2025-12-31,300000.0,4346509571,0.0005191862489056509200540766507,0.0005189168344208939413673273845,2.41,0.7622,2.8778
HMC,2499280,2025-12-15,350000.0,4346509571,0.0005750085118126155392745136555,0.0005746780670325198195371527424,2.17,1.3245,2.3155
HMC,2922939,2025-11-28,150000.0,4346509571,0.0006724795959272489083862182987,0.0006720276710305823322224627415,3.07,1.1494,2.7306
HMC,2719216,2025-11-14,600000.0,4346509571,0.0006256091136075402420872755050,0.0006252179715465495009379923889,2.88,1.7558,2.1142
HMC,2661655,2025-10-31,150000.0,4346509571,0.0006123660736326490882124874539,0.0006119913109164858619893757202,2.86,2.3690,1.5010
