symbol,short_interest,market_date,short_shares_available,total_float,si_float,si_float_with_synth_long_pct_of_total_shares,days_to_cover,fee_rate,rebate_rate
HXL,3549967,2026-08-31,1200000.0,75623452,0.04694267328605946208327014747,0.04483786408163073013178829627,4.87,0.4134,3.2166
HXL,4512760,2026-08-14,800000.0,75623452,0.05967408099804806583016072845,0.05631361761896107592407786882,5.96,0.4081,3.2219
HXL,4378809,2026-07-31,1000000.0,75623452,0.05790279184822189814873830409,0.05473356559260243907356568335,3.22,0.4216,3.2084
HXL,4202028,2026-07-15,1000000.0,75427184,0.05570972926683833245053931750,0.05276993071336684833701481311,4.44,0.2761,3.3439
HXL,4262446,2026-06-30,1000000.0,75427184,0.05651074021270633674989112679,0.05348808872622447864295517497,3.45,0.4081,3.2119
HXL,4664745,2026-06-15,800000.0,75427184,0.06184434778845780587539898082,0.05824238544685320289888385632,6.31,0.2848,3.3352
HXL,4609041,2026-05-29,850000.0,75427184,0.06110583420428369697588073817,0.05758693641535442232564067083,4.37,0.2500,3.3700
HXL,3770323,2026-05-15,850000.0,75427184,0.04998626224730860958563692369,0.04760658690935814431633561395,4.49,0.4135,3.2165
HXL,4091458,2026-04-30,950000.0,75427184,0.05424381215133260178452373351,0.05145281530335993413972034382,2.67,0.4244,3.2156
HXL,4138232,2026-04-15,800000.0,75427184,0.05486393340629023085364024726,0.05201043629307487061966721823,4.21,0.4135,3.2165
HXL,4330905,2026-03-31,700000.0,75870417,0.05708292073839530893839689849,0.05400041909533610929754998303,3.75,0.4229,3.2171
HXL,4994376,2026-03-13,700000.0,75870417,0.06582771253254084526779390180,0.06176205756193551376555183911,3.33,0.4154,3.2246
HXL,5810277,2026-02-27,1100000.0,75870417,0.07658158778803074194254132016,0.07113403076619304924123196113,4.53,0.4103,3.2297
HXL,6188764,2026-02-13,1300000.0,75870417,0.08157018564956615435499715258,0.07541830084801845633823715594,5.08,0.4073,3.2227
HXL,5048195,2026-01-30,2100000.0,75870417,0.06653706674631826526009472177,0.06238607997873221058215877455,3.19,0.2500,3.3900
HXL,5558262,2026-01-15,1400000.0,75870417,0.07325993740089763840364815709,0.06825926772065159008658362246,4.83,0.3422,3.2878
HXL,5831660,2025-12-31,1500000.0,79605875,0.07325665348191951913096866280,0.06825641680790533107023745477,6.16,0.4233,3.2167
HXL,6173281,2025-12-15,1400000.0,79605875,0.07754805785377021482396870834,0.07196714549161570207102527332,4.50,0.2891,3.3510
HXL,6767876,2025-11-28,1300000.0,79605875,0.08501729300758266899270939488,0.07835570322747706071026138485,5.69,0.4135,3.4665
HXL,6709969,2025-11-14,2000000.0,79605875,0.08428987182164632949515346700,0.07773739662442505920465772194,7.09,0.2500,3.6200
HXL,6986814,2025-10-31,1000000.0,79605875,0.08776756740630010033807178176,0.08068595721747363683324350858,4.64,0.3892,3.4808
HXL,4563163,2025-10-15,1600000.0,79605875,0.05732193760824813495235119267,0.05421427057298670801013550850,5.81,0.3811,3.7189
HXL,4661718,2025-09-30,1700000.0,79605875,0.05855997437375068108980649983,0.05532041243897876613136440245,4.61,0.2500,3.8400
HXL,4578200,2025-09-15,1600000.0,79563346,0.05754157196958509009915193863,0.05441069504475232722726535117,5.19,0.2769,4.0531
