symbol,short_interest,market_date,short_shares_available,total_float,si_float,si_float_with_synth_long_pct_of_total_shares,days_to_cover,fee_rate,rebate_rate
MTN,5754554,2026-08-31,200000.0,35633526,0.1614926909001371348993080281,0.1390389213512682878741898634,10.87,0.5448,3.0852
MTN,5892661,2026-08-14,50000.0,35633526,0.1653684510480382996619531842,0.1419022892711050017667165059,13.55,0.5959,3.0341
MTN,5835016,2026-07-31,35000.0,35633526,0.1637507329473934182095816170,0.1407094563392173276793768153,7.61,0.7004,2.9296
MTN,6786994,2026-07-15,40000.0,35633526,0.1904665286281239751575524690,0.1599931825446741341218825229,9.33,0.7718,2.8482
MTN,7038325,2026-06-30,25000.0,35633526,0.1975197458707847211078690332,0.1649407006037774175767533496,7.22,0.8855,2.7345
MTN,7205171,2026-06-15,45000.0,35633526,0.2022020217701722810142336181,0.1681930475149605974243334245,7.98,1.0313,2.5887
MTN,7302942,2026-05-29,100000.0,35633526,0.2049458142312383006946884796,0.1700871622696119298867340462,11.46,0.6421,2.9779
MTN,7309923,2026-05-15,25000.0,35633051,0.2051444598443170078251228052,0.1702239579401277610628458104,10.75,0.6404,2.9896
MTN,7652560,2026-04-30,20000.0,35633051,0.2147601674636280794479260280,0.1767922370323015655248576715,7.51,0.6312,3.0088
MTN,7338160,2026-04-15,60000.0,35633051,0.2059368983026460462226487426,0.1707692156965276124054311618,11.78,0.6474,2.9826
MTN,5880976,2026-03-31,15000.0,35633051,0.1650427295714868760466231196,0.1416623831747279058232534271,5.64,0.6974,2.9426
MTN,4957245,2026-03-13,9000.0,35633051,0.1391192968572912827475817325,0.1221288211349826076656351558,4.91,0.7910,2.8490
MTN,4946048,2026-02-27,100000.0,35633051,0.1388050661168475301202807472,0.1218865899412897265165990995,5.77,0.3738,3.2662
MTN,4192562,2026-02-13,150000.0,35633051,0.1176593606873573638137245110,0.1052730060928377926034685266,5.05,0.4155,3.2145
MTN,3819152,2026-01-30,200000.0,35775575,0.1067530570787471619952998659,0.09645607608306025193708243019,5.18,0.4289,3.2111
MTN,3698546,2026-01-15,60000.0,35775575,0.1033818743654015344267702196,0.09369546189514897621152856070,3.69,0.4158,3.2142
MTN,4131771,2025-12-31,200000.0,35775575,0.1154913932200949949791163385,0.1035340962037415367085548611,3.67,0.4271,3.2129
MTN,3716550,2025-12-15,150000.0,35775575,0.1038851227408644025987003703,0.09410863558241041726673355764,3.41,0.4346,3.2054
MTN,3531209,2025-11-28,250000.0,35775575,0.09870446526715503524401774115,0.08983713854585508699974029928,4.29,0.4148,3.4652
MTN,4145807,2025-11-14,150000.0,35775575,0.1158837279344916189327495086,0.1038492855783399482512904989,7.02,0.4051,3.4649
MTN,4002071,2025-10-31,250000.0,35775575,0.1118660147321182119364957796,0.1006110567729422701383586148,6.36,0.4028,3.4672
MTN,3966145,2025-10-15,100000.0,35884970,0.1105238488425655643574454709,0.09952406601421315313260369252,4.80,0.4621,3.6379
MTN,4325851,2025-09-30,100000.0,35884970,0.1205477112005388328316841285,0.1075792757377423355767841696,4.73,0.3748,3.7152
MTN,4209727,2025-09-15,250000.0,35884970,0.1173117045938731452192937600,0.1049946081398245758036280958,6.06,0.3594,3.9706
MTN,4114592,2025-08-29,300000.0,35884970,0.1146605946723656171372025670,0.1028659263818938817380050312,8.81,0.3594,3.9706
MTN,3774748,2025-08-15,400000.0,35884970,0.1051902230934009419542499269,0.09517838729967772337665134180,8.04,0.3861,3.9439
MTN,3335951,2025-07-31,300000.0,35884970,0.09296234607413633061418192631,0.08505539683782540445697335868,5.74,0.3875,3.9425
MTN,3310086,2025-07-15,350000.0,37152403,0.08909480229313834693276771357,0.08180628729982478339382433938,5.02,0.3863,3.9437
MTN,3358402,2025-06-30,250000.0,37152403,0.09039528344909480013984559761,0.08290138890105985304414464240,3.86,0.3622,3.9678
MTN,2910513,2025-06-13,300000.0,37152403,0.07833983174654947622095938182,0.07264855608613212278407293169,2.78,0.2577,4.0723
MTN,2628373,2025-05-30,250000.0,37152403,0.07074570654285807569432319088,0.06607143611275959021010550423,3.14,0.3090,4.0210
MTN,1879148,2025-05-15,300000.0,37152403,0.05057944704142017408672058171,0.04814433328565395723065168484,3.65,0.2500,4.0800
MTN,1833796,2025-04-30,300000.0,37152403,0.04935874538182631147707996169,0.04703705534361018369603048504,2.95,0.3335,3.9965
MTN,1907346,2025-04-15,300000.0,37337967,0.05108328474338198434853188445,0.04860060614117155849922766573,2.30,0.4081,3.9219
MTN,1843379,2025-03-31,350000.0,37337967,0.04937009559197478534382978056,0.04704736279350893152062718825,3.48,0.2500,4.0800
MTN,2059892,2025-03-14,350000.0,37337967,0.05516883123283064661769078108,0.05228436398028633992522284015,2.59,0.2500,4.0800
MTN,2408554,2025-02-28,450000.0,37337967,0.06450683295102810498493396815,0.06059785710553132436421290809,4.08,0.2611,4.0689
MTN,2422468,2025-02-14,450000.0,37337967,0.06487948312772358495040718205,0.06092659700528930329861833755,5.91,0.2500,4.0800
MTN,2411903,2025-01-31,400000.0,37337967,0.06459652717567616897834849980,0.06067700347196104037572953069,3.19,0.2500,4.0800
MTN,2364760,2025-01-15,450000.0,37438353,0.06316410339952721744997703291,0.05941143347255276239323291120,3.69,0.3434,3.9866
MTN,2305766,2024-12-31,450000.0,37438353,0.06158833963662878011754416654,0.05801527516561632678283798416,4.89,0.2577,4.0723
MTN,2291100,2024-12-13,450000.0,37438353,0.06119660231848340123295487918,0.05766754452924383328408775223,2.83,0.2500,4.3300
MTN,1950782,2024-11-29,450000.0,37438353,0.05210651227098585239580384319,0.04952589083258619413703804361,4.05,0.2500,4.3300
MTN,1784778,2024-11-15,500000.0,37438353,0.04767244969350013874809076136,0.04550320064963707257332414386,3.74,0.2500,4.3300
MTN,1739160,2024-10-31,450000.0,37438353,0.04645396660478093146886028881,0.04439179179137787536437037236,4.27,0.2565,4.5735
MTN,1723347,2024-10-15,400000.0,37485473,0.04597372960986780132132786480,0.04395304423851572171771555482,3.10,0.2612,4.5688
MTN,1695836,2024-09-30,550000.0,37485473,0.04523981863587528960885727652,0.04328175967780964132668461893,2.16,0.2500,4.5800
MTN,2079045,2024-09-13,550000.0,37485473,0.05546268550486211018332355043,0.05254822009963573927527690341,5.11,0.2587,5.0713
