symbol,short_interest,market_date,short_shares_available,total_float,si_float,si_float_with_synth_long_pct_of_total_shares,days_to_cover,fee_rate,rebate_rate
STLD,3809629,2026-08-31,1500000.0,143328088,0.02657977967305333759841964821,0.02589158699533172721444359504,2.77,0.2500,3.3800
STLD,3904382,2026-08-14,1100000.0,143328088,0.02724087130779278936589177133,0.02651848467936454506264820525,3.93,0.2777,3.3523
STLD,4056934,2026-07-31,1100000.0,143328088,0.02830522653731346782495277548,0.02752609420514928579377624953,3.26,0.3091,3.3209
STLD,3554612,2026-07-15,1800000.0,144212781,0.02464838397367844948500091681,0.02405545586095573872647262580,3.21,0.4027,3.2173
STLD,3677525,2026-06-30,1200000.0,144212781,0.02550068707155713195767301651,0.02486657239048514782300876435,2.25,0.4027,3.2173
STLD,4007162,2026-06-15,1800000.0,144212781,0.02778645534891945534286590035,0.02703524180953166336057759785,3.88,0.2595,3.3605
STLD,3789571,2026-05-29,1400000.0,144212781,0.02627763623808072878089772085,0.02560480255070541041131562558,3.24,0.2547,3.3653
STLD,3703157,2026-05-15,2100000.0,144212781,0.02567842443867717938259577700,0.02503555093569429955546778198,3.83,0.2500,3.3800
STLD,3685235,2026-04-30,2100000.0,144212781,0.02555414973933551700941125322,0.02491740659996412663169193561,2.67,0.2829,3.3571
STLD,4097050,2026-04-15,2200000.0,144212781,0.02840975655271497746097830261,0.02762493876754535577617912598,4.49,0.2784,3.3516
STLD,4068739,2026-03-31,1600000.0,144882401,0.02808304508978975300112537478,0.02731593057965182408137326106,3.03,0.2899,3.3501
STLD,3633235,2026-03-13,1700000.0,144882401,0.02507713134875504996635167580,0.02446365310653216338783345344,3.28,0.2891,3.3510
STLD,3656327,2026-02-27,2300000.0,144882401,0.02523651578634454021782811288,0.02461531109920370396601215004,3.51,0.2891,3.3510
STLD,4434070,2026-02-13,2200000.0,144882401,0.03060461428990260866811559811,0.02969578620700190536916720996,2.84,0.2782,3.3518
STLD,3693970,2026-01-30,1800000.0,144882401,0.02549633340215006514145220440,0.02486243253309774270903413033,2.67,0.2891,3.3510
STLD,3608345,2026-01-15,1400000.0,144882401,0.02490533684626057515432809538,0.02430013382786830365846501977,2.70,0.2500,3.3800
STLD,4101431,2025-12-31,1700000.0,146034859,0.02808528749974689262376731572,0.02731805215114879953407667127,3.30,0.2500,3.3900
STLD,3142490,2025-12-15,1700000.0,146034859,0.02151876628305574629958727868,0.02106546349741072285712759247,2.55,0.2891,3.3510
STLD,3221869,2025-11-28,1700000.0,146034859,0.02206232828286566839496862869,0.02158608890314143828745863972,3.13,0.2500,3.6300
STLD,3695394,2025-11-14,1800000.0,146034859,0.02530487600909040491489775054,0.02468034298986992294736855884,3.02,0.4027,3.4673
STLD,2859542,2025-10-31,1400000.0,146034859,0.01958122889001454098024636707,0.01920516809762376491242273106,1.95,0.2500,3.6200
STLD,2999263,2025-10-15,2800000.0,146034859,0.02053799360329440246865989716,0.02012467319396829136887188828,2.83,0.2500,3.8500
STLD,2990525,2025-09-30,2500000.0,146034859,0.02047815857445378846156176999,0.02006721888399898368991956431,1.94,0.4081,3.6819
STLD,2508765,2025-09-15,2600000.0,147204589,0.01704270917804063839341312926,0.01675712241407670287047339812,2.23,0.2500,4.0800
STLD,2263908,2025-08-29,2900000.0,147204589,0.01537933032780656043270498857,0.01514638900797938712128750448,1.89,0.2500,4.0800
STLD,3019039,2025-08-15,3700000.0,147204589,0.02050913643731582308211872389,0.02009696503934787142805524574,2.45,0.3594,3.9706
STLD,3139752,2025-07-31,2600000.0,147204589,0.02132917201378823862617489459,0.02088373914918420507759583715,2.28,0.2500,4.0800
STLD,3383461,2025-07-15,2700000.0,147204589,0.02298475219410449221797018842,0.02246832334969474669470784700,2.88,0.4081,3.9219
STLD,3623734,2025-06-30,1700000.0,147204589,0.02461699071079910423173016705,0.02402555387425477110157884604,2.26,0.4081,3.9219
STLD,3334761,2025-06-13,1400000.0,148453876,0.02246328010997840164173281673,0.02196976707815091586862328832,2.23,0.3919,3.9381
STLD,3175985,2025-05-30,2600000.0,148453876,0.02139374926121834636368807238,0.02094564341782256200841600719,1.98,0.2500,4.0800
STLD,2570863,2025-05-15,2900000.0,148453876,0.01731758758525105804580003017,0.01702279386160700466431529473,2.25,0.2500,4.0800
STLD,2553112,2025-04-30,2900000.0,148453876,0.01719801509258000107723694597,0.01690724405416257954896762791,2.00,0.2500,4.0800
STLD,2788268,2025-04-15,1700000.0,148453876,0.01878204918004296499473008034,0.01843578731600102151421497966,1.39,0.3983,3.9317
STLD,2671132,2025-03-31,2900000.0,148453876,0.01799300949205260225068155176,0.01767498334888425613846783055,1.22,0.4103,3.9197
STLD,2697026,2025-03-14,3400000.0,150163986,0.01796053815460119712059321601,0.01764364872842788715804131926,1.27,0.2500,4.0800
STLD,3337656,2025-02-28,1800000.0,150163986,0.02222674083784643276584306972,0.02174345470519461935136824139,2.29,0.3093,4.0207
STLD,3972592,2025-02-14,4400000.0,150163986,0.02645502497516281966569534189,0.02577319447172364239200898829,2.02,0.2500,4.0800
STLD,3013897,2025-01-31,5400000.0,150163986,0.02007070456960299388962677110,0.01967579745177702971648981466,1.77,0.2500,4.0800
STLD,3698758,2025-01-15,6300000.0,150163986,0.02463145857089861746211238692,0.02403933469430390504409566490,2.08,0.2500,4.0800
STLD,3754098,2024-12-31,5300000.0,150163986,0.02499998901201250744635934211,0.02439023344391423167663651530,2.44,0.4105,3.9195
STLD,3021407,2024-12-13,5600000.0,152244995,0.01984569016538113453253422223,0.01945950290005432083110936003,2.15,0.2500,4.3300
STLD,2962066,2024-11-29,5600000.0,152244995,0.01945591708942550131122537066,0.01908460852821638056789181776,2.13,0.2500,4.3300
STLD,3993607,2024-11-15,5600000.0,152244995,0.02623145017016815560997588131,0.02556094939968804892404247191,2.80,0.2773,4.3027
STLD,3458366,2024-10-31,6000000.0,152244995,0.02271579436814983638706809377,0.02221124822090385062400804566,2.75,0.2500,4.5800
STLD,3976496,2024-10-15,3000000.0,152244995,0.02611905895494298515363345770,0.02545421871565673381007482511,4.08,0.2500,4.5800
STLD,4463102,2024-09-30,6400000.0,152244995,0.02931526254771133855664680471,0.02848035350719624908724403692,2.40,0.2500,4.5800
STLD,4736252,2024-09-13,6200000.0,154302528,0.03069458460200989059621887724,0.02978048498611470736885682850,3.19,0.2500,5.0800
STLD,4941180,2024-08-30,7000000.0,154302528,0.03202267690649890065313771139,0.03102904386024470115955853025,5.12,0.2500,5.0800
STLD,5200739,2024-08-15,7100000.0,154302528,0.03370482044208634093149789484,0.03260584624890473246544849768,4.31,0.2694,5.0506
STLD,4495662,2024-07-31,7200000.0,154302528,0.02913537489158959210311836239,0.02831053678886390329763834210,3.50,0.2501,5.0699
STLD,5262941,2024-07-15,6600000.0,154302528,0.03410793762238295927335681759,0.03298295698300488810646117927,4.18,0.2573,5.0627
STLD,6187978,2024-06-28,6100000.0,157133196,0.03938046292904269572675146250,0.03788840018992271020535279767,3.21,0.2500,5.0700
STLD,6794231,2024-06-14,6800000.0,157133196,0.04323867376820872401780716024,0.04144657867411046474852557772,5.91,0.2500,5.0700
STLD,6330925,2024-05-31,6000000.0,157133196,0.04029018158581844157233332160,0.03872975281223945161641923857,5.80,0.2500,5.0700
STLD,5365748,2024-05-15,6000000.0,157133196,0.03414776849571620754153056239,0.03302020227282215446273915478,5.11,0.2500,5.0700
STLD,5228740,2024-04-30,,157133196,0.03327584579899972250293948072,0.03220422303907487281994469443,3.97,,
STLD,4892464,2024-04-15,,157133196,0.03113577604569310739406076867,0.03019561222586595234359792147,5.48,,
STLD,4547826,2024-03-28,,158154594,0.02875557317038795597679571673,0.02795180305246842671424309485,4.58,,
STLD,4856365,2024-03-15,,158154594,0.03070644283655775437038521941,0.02979164732108593999499137969,3.77,,
STLD,4329732,2024-02-29,,158154594,0.02737658066385349514412461519,0.02664707486924000287880075276,4.01,,
STLD,4992099,2024-02-15,,158154594,0.03156467905067620103403382642,0.03059883659425447256843876082,4.26,,
STLD,5184415,2024-01-31,,158154594,0.03278067913727501333284065084,0.03174021338650340409497647926,3.47,,
STLD,4357238,2024-01-12,,158154594,0.02755049910216329220256478923,0.02681182007719905588166651152,3.78,,
STLD,4660311,2023-12-29,7000000.0,161816470,0.02879997938405157398378545769,0.02799375968231870124879456914,5.09,0.2500,5.0700
