symbol,short_interest,market_date,short_shares_available,total_float,si_float,si_float_with_synth_long_pct_of_total_shares,days_to_cover,fee_rate,rebate_rate
TAL,21590540,2026-08-31,10000000.0,410074751,0.05265025448982105216226784955,0.05001685437803707965948089164,4.17,0.2500,3.3800
TAL,43714205,2025-02-14,7000000.0,152253821,0.2871140094408533760213479306,0.2230680478457235671700851852,4.88,0.4081,3.9219
TAL,44064278,2025-01-31,6700000.0,152253821,0.2894132817855520355052370081,0.2244534672271862208690193154,4.07,0.2552,4.0748
TAL,40162694,2025-01-15,7900000.0,152253821,0.2637877574185806476410204510,0.2087278942766425220828887791,6.95,0.4081,3.9219
TAL,44971060,2024-12-31,9000000.0,152253821,0.2953690075206716815336936601,0.2280192021005706678560500691,12.08,0.2525,4.0775
TAL,48534282,2024-12-13,8500000.0,152253821,0.3187721771527822608800077339,0.2417189129975494613841737426,7.01,0.2500,4.3300
TAL,39953898,2024-11-29,9200000.0,152253821,0.2624163895367854183442791889,0.2078683322806614233843542985,5.25,0.4081,4.1719
TAL,35542842,2024-11-15,6600000.0,152253821,0.2334446634347521564007250761,0.1892623725694210019056621895,5.79,0.4342,4.1458
TAL,36864132,2024-10-31,6700000.0,152253821,0.2421228692841803950522857485,0.1949266656878419152516947981,4.63,0.2632,4.5668
TAL,32404059,2024-10-15,10000000.0,152253821,0.2128292005229872030600795234,0.1754815933119128195341568960,3.27,0.4081,4.4219
TAL,31056129,2024-09-30,7800000.0,152253821,0.2039760236953265034970780799,0.1694186758547476555418841149,2.28,0.2500,4.5800
TAL,27671324,2024-09-13,5900000.0,152253821,0.1817446932908173122302132568,0.1537935345279282670579479038,7.68,0.2500,5.0800
TAL,27570927,2024-08-30,6300000.0,152253821,0.1810852878365528836218829608,0.1533210934904243547167378764,7.52,0.2500,5.0700
TAL,27600292,2024-08-15,9600000.0,152253821,0.1812781565593680568450232852,0.1534593317863128323342819522,2.78,0.4081,4.9119
TAL,27820980,2024-07-31,10000000.0,152253821,0.1827276308553202090080878824,0.1544967971393176772134819685,5.41,0.4081,4.9119
TAL,22695206,2024-07-15,9800000.0,152253821,0.1490616514642348450486507002,0.1297246768911724213247553529,6.45,0.4128,4.9072
TAL,24840872,2024-06-28,7100000.0,152253821,0.1631543421166421826615438439,0.1402688673454489118993531895,5.78,0.3982,4.9218
TAL,23275386,2024-06-14,9800000.0,152253821,0.1528722619053350391777688128,0.1326012143380787905000903924,3.76,0.2500,5.0700
TAL,16285228,2024-05-31,7100000.0,152253821,0.1069610463175173777740527116,0.09662584485094608549737337132,1.99,0.5378,4.7822
TAL,20799515,2024-05-15,6200000.0,152253821,0.1366107915281810891301046560,0.1201913553402980916819771680,3.62,0.4081,4.9119
TAL,24848360,2024-04-30,,152253821,0.1632035231483615770798947634,0.1403052173592373772065517364,2.86,,
TAL,21509241,2024-04-15,,152253821,0.1412722574627535948670871124,0.1237848870319746091951349246,3.81,,
TAL,20058176,2024-03-28,,152253821,0.1317416920525101304354128492,0.1164061490158459483236097600,4.07,,
TAL,24347197,2024-03-15,,152253821,0.1599118947563227329447449467,0.1378655529607422761288952479,2.82,,
TAL,25637604,2024-02-29,,152253821,0.1683872616898067865239322959,0.1441193919268452653071951051,3.66,,
TAL,24926401,2024-02-15,,163162785,0.1527701368912034689773161202,0.1325243706461678238109871984,2.85,,
